,tg_ecotypeid,name,CS_number,country,latitude,longitude,collector,seq_by,Soil Mapping Unit,Unnamed: 9,MU.GLOBAL,MU.SOURCE1,MU.SOURCE2,ISSOIL,SHARE,SEQ,SU.SYM74,SU.CODE74,SU.SYM85,SU.CODE85,SU.SYM90,SU.CODE90,T.TEXTURE,DRAINAGE,REF.DEPTH,AWC.CLASS,PHASE1,PHASE2,ROOTS,IL,SWR,ADD.PROP,T.GRAVEL,T.SAND,T.SILT,T.CLAY,T.USDA.TEX.CLASS,T.REF.BULK.DENSITY,T.OC,T.PH.H2O,T.CEC.CLAY,T.CEC.SOIL,T.BS,T.TEB,T.CACO3,T.CASO4,T.ESP,T.ECE,S.GRAVEL,S.SAND,S.SILT,S.CLAY,S.USDA.TEX.CLASS,S.REF.BULK.DENSITY,S.OC,S.PH.H2O,S.CEC.CLAY,S.CEC.SOIL,S.BS,S.TEB,S.CACO3,S.CASO4,S.ESP,S.ECE,T.BULK.DENSITY,S.BULK.DENSITY
2,9606.0,Aitba-1,CS76649,MAR,31.48,-7.45,0,Monsanto,1947,Leptosols,8164.0,71159,70052.0,1.0,40.0,1.0,,,Gx,90.0,GLi,17.0,2.0,2.0,100.0,1.0,7.0,,1.0,1.0,2.0,2.0,4.0,37.0,46.0,17.0,9.0,1.43,3.14,6.3,104.0,37.0,82.0,8.8,0.0,0.0,0.0,0.1,5.0,33.0,46.0,21.0,9.0,1.39,0.8,6.7,87.0,15.0,86.0,10.0,0.0,0.0,2.0,0.1,1.44,1.54
3,6989.0,Alst-1,CS76432,UK,54.8,-2.4333,Maarten Koornneef,Salk,10742,Gleysols,12077.0,AO166,,1.0,80.0,1.0,,,,,ARh,39.0,1.0,6.0,100.0,3.0,,,,,,0.0,0.0,93.0,0.0,7.0,13.0,1.66,0.9,4.9,19.0,4.0,14.0,0.6,0.0,0.0,2.0,0.0,0.0,93.0,1.0,6.0,13.0,1.68,0.37,4.8,25.0,3.0,17.0,0.5,0.0,0.0,2.0,0.0,1.5,1.53
4,9758.0,Altai-5,CS76433,CHN,47.75,88.4,0,Salk,11233,Calcisols,12233.0,AO92,,1.0,40.0,1.0,,,,,FRx,73.0,2.0,4.0,100.0,1.0,,,,,,0.0,6.0,76.0,2.0,22.0,10.0,1.46,0.77,5.5,5.0,4.0,21.0,0.8,0.0,0.0,1.0,0.0,5.0,48.0,2.0,50.0,8.0,1.28,0.15,5.6,6.0,3.0,17.0,0.6,0.0,0.0,2.0,0.0,1.36,1.38
5,9759.0,Anz-0,CS76439,IRN,37.47,49.47,0,Salk,6997,Water Bodies,10074.0,460048,4600480.0,1.0,52.0,1.0,,,Po,169.0,PZh,149.0,2.0,4.0,100.0,5.0,1.0,25.0,3.0,1.0,1.0,0.0,15.0,50.0,40.0,10.0,9.0,1.53,5.27,4.5,89.0,28.0,11.0,5.6,0.0,0.0,1.0,0.1,15.0,55.0,35.0,10.0,11.0,1.54,0.81,5.0,55.0,8.0,13.0,0.8,0.0,0.0,0.0,0.1,1.41,1.44
18,7058.0,Bur-0,CS76734,IRL,53.08,-9.07555556,Albert Kranz,Mott,10331,Rock Outcrop,11745.0,56322,,1.0,100.0,1.0,,,,,CMi,70.0,2.0,4.0,100.0,5.0,18.0,,,,,2.0,17.0,31.0,49.0,20.0,9.0,1.39,2.02,5.1,41.0,13.0,77.0,9.1,0.0,0.0,3.0,0.1,32.0,37.0,44.0,19.0,9.0,1.41,0.84,5.5,39.0,10.0,84.0,22.1,0.0,0.0,1.0,0.1,1.39,1.66
19,9661.0,Cimin-1,CS76771,ITA,39.58,16.21,0,Monsanto,9833,Cambisols,11220.0,20224,,1.0,100.0,1.0,,,,,ARh,39.0,1.0,6.0,100.0,3.0,22.0,,,,,0.0,4.0,90.0,5.0,5.0,13.0,1.71,0.4,6.2,35.0,3.0,93.0,3.3,0.0,0.0,3.0,0.1,4.0,90.0,5.0,5.0,13.0,1.71,0.21,6.1,39.0,2.0,100.0,2.6,0.0,0.0,3.0,0.1,1.49,1.52
20,7077.0,Co-1,CS76468,POR,40.12,-8.25,Albert Kranz,Salk,10296,Cambisols,11695.0,52408,,1.0,100.0,1.0,,,,,ATc,48.0,2.0,4.0,100.0,1.0,19.0,,,,,0.0,10.0,29.0,50.0,21.0,7.0,1.38,1.12,7.8,34.0,11.0,100.0,24.1,9.3,0.0,1.0,0.3,10.0,34.0,45.0,21.0,9.0,1.39,0.82,7.9,41.0,13.0,100.0,32.9,9.4,0.0,1.0,0.3,1.41,1.5
22,7067.0,Ct-1,CS76786,ITA,37.3,15.0,Albert Kranz,Mott,9823,Regosols,11210.0,20117,,1.0,100.0,1.0,,,,,CMc,65.0,2.0,4.0,100.0,5.0,18.0,,,,,0.0,6.0,36.0,43.0,21.0,9.0,1.39,0.65,8.0,52.0,16.0,100.0,24.3,7.0,0.0,1.0,0.4,10.0,34.0,43.0,23.0,9.0,1.38,0.43,8.1,54.0,16.0,100.0,28.7,8.7,0.4,1.0,0.3,1.41,1.45
26,6913.0,Eden-2,CS76827,SWE,62.877,18.177,Magnus Nordborg,GMI,10075,Podzols,11474.0,42117,,1.0,100.0,1.0,,,,,FLc,3.0,1.0,2.0,100.0,1.0,,,,,,0.0,10.0,79.0,15.0,6.0,12.0,1.66,0.41,8.3,109.0,6.0,100.0,11.0,9.1,0.0,4.0,0.4,10.0,79.0,15.0,6.0,12.0,1.66,0.17,8.3,137.0,6.0,94.0,13.9,9.9,0.0,4.0,0.4,1.4,1.5
30,9762.0,Etna-2,CS76487,ITA,37.69,14.98,0,Salk,9822,Regosols,11209.0,20116,,1.0,100.0,1.0,,,,,CMc,65.0,2.0,4.0,100.0,1.0,,,,,,0.0,6.0,36.0,43.0,21.0,9.0,1.39,0.65,8.0,52.0,16.0,100.0,24.3,7.0,0.0,1.0,0.4,10.0,34.0,43.0,23.0,9.0,1.38,0.43,8.1,54.0,16.0,100.0,28.7,8.7,0.4,1.0,0.3,1.41,1.45
