,ensgene,YM.16wk.8,YM.16wk.3,YM.16wk.4,YM.16wk.1,SM.16wk.6,SM.16wk.5,SM.16wk.2,WT.16wk.7,WT.16wk.6,WT.16wk.2,YI.6wk.4,YI.6wk.1,YI.6wk.3,YI.6wk.2,HGNC
714,ENSNFUG00015003689,61,47,81,97,86,77,68,59,65,115,50,59,66,70,HGF
1526,ENSNFUG00015023667,176,184,273,304,163,213,141,209,262,249,149,149,230,134,TLR6
2165,ENSNFUG00015003624,141,139,175,186,176,189,177,167,169,140,82,123,198,106,SYK
2795,ENSNFUG00015010834,135,75,136,178,131,118,165,128,192,134,101,144,161,131,F2RL1
3470,ENSNFUG00015001797,660,791,969,840,735,960,567,902,850,748,398,509,671,461,TNFAIP3
6057,ENSNFUG00015000317,2342,1267,1772,1721,1849,2114,1256,2272,2364,2065,996,1424,1853,1244,PTPN6
6206,ENSNFUG00015001391,1835,1384,1908,1757,1445,1954,1263,1993,2125,2468,765,751,1062,576,AGER
6289,ENSNFUG00015002243,294,229,320,334,220,237,206,303,310,310,119,174,229,150,AIF1
6372,ENSNFUG00015002703,7,27,20,17,10,10,14,15,23,13,18,24,36,12,POU2F2
6575,ENSNFUG00015003865,21,24,27,32,25,37,22,27,29,27,31,32,27,7,MBP
6776,ENSNFUG00015005451,56,65,75,91,55,70,65,67,52,76,36,66,67,49,NOD2
7435,ENSNFUG00015022075,1991,877,2217,3809,1996,1532,1125,1499,1951,2759,1621,1605,1968,1332,GBA
7961,ENSNFUG00015003845,257,148,198,481,191,239,187,278,234,298,114,83,187,82,C5AR1
8042,ENSNFUG00015004668,72,77,98,165,65,89,60,77,66,75,37,47,103,30,TIRAP
8597,ENSNFUG00015020892,82,69,143,147,137,130,104,120,106,91,115,123,120,89,ZC3H12A
8765,ENSNFUG00015001371,493,476,644,534,381,442,368,801,507,571,197,331,357,261,CYBA
9603,ENSNFUG00015020429,362,289,597,947,521,511,507,385,458,471,489,583,606,505,GAS6
13105,ENSNFUG00015020387,75,64,73,81,73,74,60,97,87,104,74,87,66,61,HYAL2
13585,ENSNFUG00015006396,74,79,118,70,62,76,59,83,50,66,26,45,70,46,CARD9
14290,ENSNFUG00015020952,29,25,39,22,18,31,107,18,13,15,2,18,20,15,IL37
14594,ENSNFUG00015005120,738,595,813,1036,642,849,618,928,734,719,368,444,694,364,INPP5D
14912,ENSNFUG00015012246,160,141,194,240,177,206,155,214,235,150,223,257,325,225,AFAP1L2
16238,ENSNFUG00015021854,434,335,471,511,497,569,370,550,604,466,380,420,572,373,CSK
16843,ENSNFUG00015009237,55,58,92,67,36,44,48,46,34,66,30,38,48,28,TLR8
16844,ENSNFUG00015009290,1,3,4,115,1,5,9,0,9,5,2,7,48,3,TLR7
17180,ENSNFUG00015020149,1225,1638,1483,1664,1102,2560,984,1440,1446,2693,910,1220,1518,1018,IFIH1
17943,ENSNFUG00015015756,246,380,383,395,194,404,200,273,305,350,156,180,352,169,LBP
17945,ENSNFUG00015015773,1011,870,1096,1511,929,957,1204,1013,895,854,776,650,865,541,CEBPB
20079,ENSNFUG00015024799,582,536,756,825,859,1088,736,473,454,631,813,590,863,487,LPL
22019,ENSNFUG00015014917,183,221,347,366,227,292,223,237,227,254,176,203,206,164,RIPK2
24479,ENSNFUG00015012633,841,568,899,1014,887,915,646,849,1075,828,624,789,883,632,NLRX1
