"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSNFUG00015000040",2.15025829112346,-2.51582788552195,1.71722079327204,-1.46505789784214,0.142905122116009,0.299656428451493
"ENSNFUG00015000041",22.3697216679593,-0.351537962177079,0.300993113088748,-1.16792692885776,0.242836240785593,0.42955543579407
"ENSNFUG00015000042",465.438807340511,-0.110484706742306,0.0976265170877647,-1.13170796253012,0.257757232823054,0.447091415404029
"ENSNFUG00015000043",1388.86718028095,-0.51058335915374,0.264509675103066,-1.930301260076,0.0535695210199932,0.148282747213997
"ENSNFUG00015000044",109.707480302001,0.247555763242334,0.151295849607018,1.63623631372139,0.101790139100521,0.235598020317357
"ENSNFUG00015000045",264.933105529275,-0.380744590203922,0.101730650335375,-3.74267331378224,0.000182072871546137,0.00179934948583826
"ENSNFUG00015000046",9.97344002314359,-0.248544591489573,0.47427329586157,-0.524053522849233,0.600241313571621,0.759139857096688
"ENSNFUG00015000047",405.492250988033,0.0640638236973294,0.0708554162948085,0.904148575329494,0.365916624033894,0.560814463119012
"ENSNFUG00015000048",112.823574520479,-0.104186802397452,0.139446122502897,-0.747147360768584,0.454974614528098,0.642371345753359
"ENSNFUG00015000049",653.880061821092,-0.416797523444094,0.116163835092011,-3.58801448931123,0.000333205777043307,0.00289459439819297
"ENSNFUG00015000050",259.159213027146,-0.181952339501064,0.0973658475501433,-1.86874909508038,0.0616577300833529,0.164452918018684
"ENSNFUG00015000051",529.078651079918,-0.287153971892347,0.126229310220749,-2.27485970881228,0.0229143470210613,0.0786016635332813
"ENSNFUG00015000052",180.274064801136,-0.407338666636139,0.129457004730922,-3.14651700371717,0.0016522765392332,0.0102728092810008
"ENSNFUG00015000053",4.45184059973759,-0.32269799584219,0.659142745714253,-0.489572248106154,0.624436618372305,0.777039879526263
"ENSNFUG00015000054",409.601333627553,0.343430480964078,0.106499883844095,3.22470286884844,0.00126103475296667,0.00829394554344589
"ENSNFUG00015000055",39.4804978908921,0.636866047972483,0.321214116619964,1.98268387041649,0.0474027523796486,0.135078549971365
