"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSNFUG00015000040",2.15025829112346,-0.0063414822440472,0.00447955093519157,-1.41565133108058,0.156877614426457,NA
"ENSNFUG00015000041",22.3697216679593,-0.00047120044592002,0.000828688942139574,-0.568609549324307,0.569621142867024,0.842872294884267
"ENSNFUG00015000042",465.438807340511,-5.98950039853163e-05,0.000276195445773454,-0.216857319343507,0.828319540291761,0.946882317923599
"ENSNFUG00015000043",1388.86718028095,-0.00126643722742729,0.000717202713301592,-1.7658009429403,0.077429250271425,0.382611382160278
"ENSNFUG00015000044",109.707480302001,1.85299984736804e-05,0.0004522595680351,0.0409720430110222,0.967318183585466,0.990922059679638
"ENSNFUG00015000045",264.933105529275,-0.00059376991854711,0.000352904479746244,-1.68252304128885,0.0924674607930818,0.41258634380331
"ENSNFUG00015000046",9.97344002314359,-0.000132950228009441,0.00127373056179313,-0.104378611927374,0.916868895168041,0.976670988298868
"ENSNFUG00015000047",405.492250988033,0.000117846949203754,0.00019490847396172,0.604627119634105,0.545426782967731,0.830528391499214
"ENSNFUG00015000048",112.823574520479,-0.000295185170637552,0.000375845921773286,-0.785388781777472,0.432225656106848,0.766832484182829
"ENSNFUG00015000049",653.880061821092,-0.000667969619981555,0.00039313447398216,-1.69908686260841,0.0893028183345793,0.404803433915818
"ENSNFUG00015000050",259.159213027146,-0.000289073979650466,0.000285084683919264,-1.01399337093933,0.310585915471196,0.67223296604553
"ENSNFUG00015000051",529.078651079918,-0.000824830272630055,0.000330090688629777,-2.49879896962246,0.0124614979577309,0.151766683685866
"ENSNFUG00015000052",180.274064801136,-0.000732070853570556,0.000407177460545958,-1.79791595681394,0.0721903270568823,0.371225226936725
"ENSNFUG00015000053",4.45184059973759,0.000645297353366978,0.00172387316399532,0.374329948887545,0.708158853067847,0.904171550933014
"ENSNFUG00015000054",409.601333627553,0.000658308525510138,0.000345859450816845,1.90339897884923,0.056988504178185,0.330315153834277
"ENSNFUG00015000055",39.4804978908921,0.00129707837120174,0.000924168963418816,1.4035078243738,0.16046546040976,0.518680650038493
"ENSNFUG00015000056",6.98584843599677,0.000669797626005811,0.00107169957993487,0.624986366091996,0.531980006368437,0.823801594005153
"ENSNFUG00015000058",758.100470095401,-0.000110364634736355,0.000160840174717122,-0.686175794887437,0.492602259478282,0.801359914502095
"ENSNFUG00015000063",92.8158113924579,-0.000421379554493534,0.000367455129058211,-1.14675104841653,0.251484525831008,0.618448896872274
"ENSNFUG00015000126",500.97349674339,-1.80428007147316e-05,0.000254767792603291,-0.0708205716678903,0.943540559108852,0.984632190769637
"ENSNFUG00015000127",363.860925150646,0.00146629495133603,0.000551172438800611,2.66031979851313,0.00780664889272777,0.117798314947313
"ENSNFUG00015000133",33.9983074212329,0.000842097104799778,0.000483155741260753,1.74291027278781,0.0813492893378715,0.390719883634424
"ENSNFUG00015000165",0.587714428971847,0.000960718146371974,0.00385340738046133,0.249316527300821,0.803115947955069,NA
"ENSNFUG00015000166",64.2484903845189,0.00122587822291725,0.00152678884451162,0.802912745481432,0.422025168714439,0.758454613379548
"ENSNFUG00015000167",1.1018236552873,0.00172558961005411,0.00586232180067077,0.294352590786925,0.768488489989447,NA
"ENSNFUG00015000168",48.6311647164503,-0.00163894159447272,0.000744026883897103,-2.20279889066398,0.0276089263997211,0.234832545480604
"ENSNFUG00015000176",132.018551655622,-4.20221018762997e-05,0.000374156951512249,-0.112311428951024,0.910576480146698,0.974110089028884
"ENSNFUG00015000179",202.765991593553,0.000410506684042202,0.000295753489183946,1.38800284376995,0.165136179169121,0.524902699573856
"ENSNFUG00015000180",405.220191464863,0.00111297871316253,0.00114553360342749,0.971581025499773,0.331259025888976,0.688832225759268
"ENSNFUG00015000184",143.305235612249,0.00401739143364883,0.00151525364632027,2.65129963119039,0.00801826730508997,0.119038619896182
"ENSNFUG00015000189",5.85824761574067,0.00126166743274668,0.00114136419795217,1.10540302123578,0.268984995227339,0.636334432349028
"ENSNFUG00015000192",0.707696243976113,-2.81722668464518e-05,0.00429010201393704,-0.0065668058136916,0.994760484684708,NA
"ENSNFUG00015000196",233.791794601751,-0.000324767356542013,0.00132364494621247,-0.245358362505985,0.806178965668509,0.937907857776248
"ENSNFUG00015000197",173.899188473077,-0.000331667257238878,0.000570265942756598,-0.581601025717296,0.560835451866983,0.838618962071227
"ENSNFUG00015000201",2.77222657538933,0.00111743106494849,0.00161723453971217,0.690951768286727,0.489595851770975,NA
"ENSNFUG00015000204",131.617291560331,-0.000177487824927606,0.000509386791449706,-0.348434289830088,0.727514054440766,0.909898441906724
"ENSNFUG00015000207",322.45240296739,0.000697065234058734,0.00139865942624,0.498380964644584,0.61821555093116,0.867245494973199
"ENSNFUG00015000208",595.588577489518,-0.000496848390332406,0.000355184408029616,-1.39884628688706,0.161859082635498,0.520653653048828
"ENSNFUG00015000209",965.436636615588,-0.000340256674195546,0.000373991815459569,-0.909797113547609,0.362929517123566,0.714747470748425
"ENSNFUG00015000213",7606.92409206869,-0.000145840534762105,0.000423681868384704,-0.344221798582331,0.730679489980918,0.911042117069254
"ENSNFUG00015000214",647.575692728352,0.00142372274391022,0.000892747983674713,1.59476444634455,0.110764920360243,0.441506891872445
"ENSNFUG00015000218",121.682295519038,0.00231764154650768,0.00128167483422107,1.80829137361991,0.0705611637566086,0.366872256717886
"ENSNFUG00015000221",453.796376217157,0.00104954237518965,0.00137892027757714,0.761133469611289,0.446577351179972,0.775883120226274
"ENSNFUG00015000228",10.1041855530455,0.00116154421093797,0.00179300483985783,0.647819897145437,0.517101444668158,0.815807557528472
"ENSNFUG00015000230",123.907296880912,-0.000194458391916841,0.000277187497536521,-0.701540991729689,0.482965462229241,0.797347858227555
"ENSNFUG00015000231",64.8970445146049,0.00224266784487215,0.000869890544908436,2.57810348439667,0.00993442417119516,0.134733963206524
"ENSNFUG00015000246",62.9158502054764,0.000369675842707409,0.000444004714364697,0.832594408904776,0.405073513330661,0.746270282233743
"ENSNFUG00015000247",281.997123566963,-0.000466536777980285,0.000509094979614072,-0.916404200909526,0.359454932790627,0.711769308642561
"ENSNFUG00015000251",4.50430575623662,0.00127908871871099,0.00149767634932215,0.854048819886827,0.393077939911304,0.737362762038123
"ENSNFUG00015000260",26.7651464770421,0.000541161572450352,0.000673151338743663,0.803922597049795,0.421441678727019,0.757831011200678
"ENSNFUG00015000263",6.69423611053498,0.000865518520315502,0.00138386237385712,0.625436847381809,0.531684384723614,0.823595921678201
"ENSNFUG00015000268",19.5950074999243,0.0014132705843667,0.00106995078021821,1.32087439020183,0.186543250207745,0.550933460346978
"ENSNFUG00015000269",7259.98465057885,-0.000984140421157245,0.000646764274161018,-1.52163695564952,0.128100072358353,0.471738813758396
"ENSNFUG00015000273",12.6682843403124,0.000771846402743836,0.000865674641687381,0.891612582343114,0.37260062367424,0.722407257479428
"ENSNFUG00015000278",54.652176080862,-5.26352587294821e-05,0.00060703893655891,-0.086708208583543,0.930903451488922,0.980523207583068
"ENSNFUG00015000282",3.42156248972513,0.00138245103859644,0.00154302737407887,0.895934227622966,0.370287892338108,0.721029030375606
"ENSNFUG00015000291",36.868144987151,0.00966361255968567,0.00459198115979359,2.10445387805556,0.035338873825102,0.263965342137667
"ENSNFUG00015000294",18.9344494559297,0.00239454525673414,0.000730496773913835,3.27796828438367,0.00104557142629479,0.0355582148085297
"ENSNFUG00015000299",127.758950362479,0.000212742953134466,0.000595038660951804,0.357527950863175,0.720696605294502,0.907678548977972
"ENSNFUG00015000302",0.717489094580274,-0.000694175737013371,0.00348437969264721,-0.199225055317086,0.842086700943827,NA
"ENSNFUG00015000304",464.258062539874,-0.000277371584611293,0.000361197521235257,-0.767922170846333,0.442533424773963,0.772833092064922
