,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HGNC
493,ENSNFUG00015002441,1717.41693332688,0.0012226786749223,0.0009382530088919,1.30314388905222,0.192525642221056,0.837575325426165,MTUS1
1593,ENSNFUG00015000248,650.833956472975,0.001767555030722,0.0008215457580996,2.15149918710648,0.0314368199125141,0.649047882422942,RAC2
1801,ENSNFUG00015001308,416.620901237479,0.0023732055118049,0.0007272378255326,3.26331418482923,0.0011011736823127,0.248894185107325,VAV1
2165,ENSNFUG00015003624,155.46894295547,0.0021302419714164,0.0008496560058762,2.5071816790366,0.0121698141862465,0.558738546659192,SYK
2176,ENSNFUG00015003721,1016.36308657045,0.001075895993746,0.0005361162854948,2.00683326146861,0.0447674199572835,0.694355947621395,ITGA1
2414,ENSNFUG00015005328,38.1117328425177,0.0011529899020393,0.0010283768507873,1.12117450053119,0.262213591592765,0.87008174445849,PDGFB
2795,ENSNFUG00015010834,136.771756670609,0.0011533567251322,0.0009177885051299,1.2566693946215,0.208873374942108,0.845072736107115,F2RL1
3172,ENSNFUG00015020814,14.958488596585,0.0003332919133605,0.0017702980130054,0.188268817403629,0.850665928339594,0.988336429727402,CMKLR1
3391,ENSNFUG00015000967,19.4285617234565,0.0057787185260061,0.0019826868954738,2.91458955985344,0.0035615660175924,0.372155382441442,BMP5
3615,ENSNFUG00015002864,311.847653101679,0.0017449065370915,0.0009116255759499,1.91406053441777,0.0556124214525074,0.717218311605816,CXCL12
3964,ENSNFUG00015006956,1232.21481870479,0.0016329229859142,0.0007770903401151,2.10132966737484,0.0356120372066403,0.663492568673528,MERTK
3989,ENSNFUG00015007252,104.487202701348,0.0014549359203828,0.0012292553060224,1.18359132822502,0.236574874773439,0.863145579576834,ADAM8
4313,ENSNFUG00015017310,1785.63441280318,0.002895036508836,0.0033537519367098,0.86322320895212,0.388014755436982,0.920406162257317,HMOX1
4374,ENSNFUG00015018403,64.3369839818641,0.0024601583542339,0.0008753864577043,2.81036830371544,0.004948483625231,0.423063216946703,NKX2-3
4442,ENSNFUG00015019354,137.436783142425,0.0032754063974231,0.0012177183239469,2.6897898578111,0.0071497025721512,0.481909474735202,PECAM1
4603,ENSNFUG00015025186,530.014707680139,0.0012951593779987,0.0005529731312672,2.3421741577763,0.0191717664380281,0.603864777327937,RET
4698,ENSNFUG00015000298,139.398977454951,-7.51258662875882e-05,0.0005930544504148,-0.126676169844167,0.899196707578745,0.992974400873022,MMP14
6289,ENSNFUG00015002243,246.479804082296,0.0015463117644952,0.0008616474877771,1.79459905173556,0.0727176043478702,0.743667194973936,AIF1
6465,ENSNFUG00015003187,50.5566435792662,0.0003036798668569,0.0013553776620427,0.224055534749787,0.822714091011834,0.986247806019937,CXCR3
6776,ENSNFUG00015005451,64.0360946597965,0.0016883329257504,0.0010446680117353,1.61614302992377,0.10606339270945,0.772596888144384,NOD2
6781,ENSNFUG00015005522,30.370014941043,0.0010814138408689,0.0011701309743802,0.924181877538661,0.355391629414038,0.911185358081899,CX3CR1
7435,ENSNFUG00015022075,1839.14828755106,0.0022447212260284,0.0011569022997986,1.94028590523087,0.0523449533563654,0.710058961157226,GBA
7916,ENSNFUG00015003403,28.6634076858631,-0.0001192844206235,0.0012634249161734,-0.0944135413957445,0.924780659377002,0.994341522311381,ESAM
7961,ENSNFUG00015003845,211.296762215923,0.0031505283913748,0.0010697534269188,2.94509773195974,0.0032285266509042,0.370871300154454,C5AR1
8041,ENSNFUG00015004662,208.131456419057,0.0022158392992889,0.0011931187635534,1.85718250938358,0.0632851925411393,0.725758846699697,ST3GAL4
