"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","immune_system_processes","inflammatory_response","regulation_of_immune_system_processes","regulation_of_inflammatory_response","immune_response_regulating_signaling_pathway","cytokine_production"
"GO:0000070","GO:0000070","GO:0000070","mitotic sister chromatid segregation",118,-0.710831658354339,-2.14033956803784,1e-10,6.72125e-08,5.75657894736842e-08,1276,"tags=36%, list=9%, signal=33%","ENSG00000138411/ENSG00000143228/ENSG00000112941/ENSG00000146670/ENSG00000124688/ENSG00000100918/ENSG00000164109/ENSG00000136982/ENSG00000161800/ENSG00000129810/ENSG00000161800/ENSG00000112029/ENSG00000198901/ENSG00000178999/ENSG00000155657/ENSG00000010292/ENSG00000040275/ENSG00000178295/ENSG00000149503/ENSG00000167842/ENSG00000237649/ENSG00000077935/ENSG00000128789/ENSG00000121152/ENSG00000128944/ENSG00000136824/ENSG00000121621/ENSG00000137807/ENSG00000013810/ENSG00000177602/ENSG00000175063/ENSG00000109805/ENSG00000198901/ENSG00000137807/ENSG00000168802/ENSG00000112742/ENSG00000117650/ENSG00000118193/ENSG00000146918/ENSG00000138778/ENSG00000169679/ENSG00000117724/ENSG00000126787/ENSG00000090889/ENSG00000166851/ENSG00000123219/ENSG00000134057/ENSG00000080986/ENSG00000134690","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0000280","GO:0000280","GO:0000280","nuclear division",288,-0.586339413270382,-1.89407790935478,1e-10,6.72125e-08,5.75657894736842e-08,1995,"tags=32%, list=14%, signal=29%","ENSG00000178966/ENSG00000124006/ENSG00000160789/ENSG00000074054/ENSG00000175334/ENSG00000108106/ENSG00000179218/ENSG00000185627/ENSG00000204899/ENSG00000149311/ENSG00000083535/ENSG00000053900/ENSG00000167244/ENSG00000164754/ENSG00000104983/ENSG00000120498/ENSG00000127564/ENSG00000072864/ENSG00000168556/ENSG00000154429/ENSG00000173715/ENSG00000143452/ENSG00000054796/ENSG00000103056/ENSG00000085999/ENSG00000068796/ENSG00000138411/ENSG00000198765/ENSG00000143228/ENSG00000154229/ENSG00000133101/ENSG00000112941/ENSG00000051180/ENSG00000204410/ENSG00000137090/ENSG00000136492/ENSG00000288000/ENSG00000146670/ENSG00000124688/ENSG00000154920/ENSG00000100918/ENSG00000164109/ENSG00000136982/ENSG00000113575/ENSG00000161800/ENSG00000129810/ENSG00000100814/ENSG00000161800/ENSG00000112029/ENSG00000198901/ENSG00000249961/ENSG00000178999/ENSG00000155657/ENSG00000160207/ENSG00000010292/ENSG00000040275/ENSG00000178295/ENSG00000149503/ENSG00000152670/ENSG00000138182/ENSG00000163611/ENSG00000167842/ENSG00000197275/ENSG00000101057/ENSG00000237649/ENSG00000152670/ENSG00000077935/ENSG00000128789/ENSG00000121152/ENSG00000128944/ENSG00000136824/ENSG00000138182/ENSG00000121621/ENSG00000137807/ENSG00000170312/ENSG00000013810/ENSG00000087586/ENSG00000177602/ENSG00000175063/ENSG00000109805/ENSG00000088325/ENSG00000136122/ENSG00000157456/ENSG00000198901/ENSG00000137807/ENSG00000131747/ENSG00000168802/ENSG00000112742/ENSG00000066923/ENSG00000117650/ENSG00000118193/ENSG00000146918/ENSG00000138778/ENSG00000169679/ENSG00000148773/ENSG00000117724/ENSG00000011426/ENSG00000126787/ENSG00000090889/ENSG00000166851/ENSG00000123219/ENSG00000134057/ENSG00000156509/ENSG00000080986/ENSG00000134690/ENSG00000017427/ENSG00000138798","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0000819","GO:0000819","GO:0000819","sister chromatid segregation",144,-0.692825553149307,-2.12318305749905,1e-10,6.72125e-08,5.75657894736842e-08,910,"tags=30%, list=6%, signal=29%","ENSG00000146670/ENSG00000124688/ENSG00000100918/ENSG00000164109/ENSG00000136982/ENSG00000161800/ENSG00000129810/ENSG00000161800/ENSG00000112029/ENSG00000198901/ENSG00000178999/ENSG00000155657/ENSG00000013573/ENSG00000010292/ENSG00000040275/ENSG00000178295/ENSG00000149503/ENSG00000167842/ENSG00000237649/ENSG00000077935/ENSG00000128789/ENSG00000121152/ENSG00000128944/ENSG00000136824/ENSG00000171320/ENSG00000121621/ENSG00000137807/ENSG00000013810/ENSG00000177602/ENSG00000175063/ENSG00000109805/ENSG00000198901/ENSG00000137807/ENSG00000131747/ENSG00000168802/ENSG00000112742/ENSG00000066923/ENSG00000117650/ENSG00000118193/ENSG00000146918/ENSG00000138778/ENSG00000169679/ENSG00000117724/ENSG00000126787/ENSG00000090889/ENSG00000166851/ENSG00000123219/ENSG00000134057/ENSG00000080986/ENSG00000134690","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0006260","GO:0006260","GO:0006260","DNA replication",211,-0.615219431906179,-1.95208028384029,1e-10,6.72125e-08,5.75657894736842e-08,2846,"tags=45%, list=20%, signal=36%","ENSG00000101003/ENSG00000004700/ENSG00000111445/ENSG00000084073/ENSG00000140534/ENSG00000020922/ENSG00000147601/ENSG00000183765/ENSG00000069275/ENSG00000161036/ENSG00000204371/ENSG00000256525/ENSG00000128951/ENSG00000175643/ENSG00000065328/ENSG00000182156/ENSG00000097046/ENSG00000167325/ENSG00000163918/ENSG00000138311/ENSG00000113522/ENSG00000176208/ENSG00000062822/ENSG00000138375/ENSG00000134452/ENSG00000168411/ENSG00000149136/ENSG00000152193/ENSG00000178966/ENSG00000165283/ENSG00000049541/ENSG00000135336/ENSG00000131153/ENSG00000178460/ENSG00000149311/ENSG00000132740/ENSG00000198783/ENSG00000101347/ENSG00000048392/ENSG00000006634/ENSG00000140451/ENSG00000146143/ENSG00000119335/ENSG00000115942/ENSG00000106028/ENSG00000162521/ENSG00000160949/ENSG00000106399/ENSG00000174371/ENSG00000285816/ENSG00000163781/ENSG00000138376/ENSG00000143971/ENSG00000092853/ENSG00000101868/ENSG00000160957/ENSG00000051180/ENSG00000136492/ENSG00000100297/ENSG00000112118/ENSG00000112312/ENSG00000181938/ENSG00000117748/ENSG00000133119/ENSG00000154920/ENSG00000159147/ENSG00000198554/ENSG00000132646/ENSG00000111877/ENSG00000136982/ENSG00000113575/ENSG00000104738/ENSG00000132383/ENSG00000112029/ENSG00000189057/ENSG00000166803/ENSG00000105486/ENSG00000076003/ENSG00000164815/ENSG00000167670/ENSG00000073111/ENSG00000013573/ENSG00000178295/ENSG00000147536/ENSG00000165891/ENSG00000132780/ENSG00000171848/ENSG00000171320/ENSG00000129173/ENSG00000170312/ENSG00000143476/ENSG00000146648/ENSG00000159259/ENSG00000111328/ENSG00000168802/ENSG00000167325/ENSG00000146263/ENSG00000161692/ENSG00000100479/ENSG00000183763/ENSG00000145386/ENSG00000162599/ENSG00000111732/ENSG00000162599/ENSG00000138798","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007059","GO:0007059","GO:0007059","chromosome segregation",227,-0.632907127081664,-2.01449427039171,1e-10,6.72125e-08,5.75657894736842e-08,1375,"tags=27%, list=10%, signal=24%","ENSG00000143452/ENSG00000054796/ENSG00000138411/ENSG00000198765/ENSG00000163029/ENSG00000075188/ENSG00000143228/ENSG00000112941/ENSG00000136492/ENSG00000146670/ENSG00000124688/ENSG00000154920/ENSG00000100918/ENSG00000164109/ENSG00000136982/ENSG00000161800/ENSG00000129810/ENSG00000100814/ENSG00000161800/ENSG00000112029/ENSG00000198901/ENSG00000249961/ENSG00000178999/ENSG00000155657/ENSG00000013573/ENSG00000010292/ENSG00000040275/ENSG00000178295/ENSG00000149503/ENSG00000163611/ENSG00000159055/ENSG00000166451/ENSG00000167842/ENSG00000114346/ENSG00000237649/ENSG00000077935/ENSG00000128789/ENSG00000121152/ENSG00000128944/ENSG00000136824/ENSG00000171320/ENSG00000102901/ENSG00000121621/ENSG00000137807/ENSG00000013810/ENSG00000177602/ENSG00000175063/ENSG00000109805/ENSG00000198901/ENSG00000137807/ENSG00000131747/ENSG00000168802/ENSG00000112742/ENSG00000066923/ENSG00000117650/ENSG00000089685/ENSG00000118193/ENSG00000146918/ENSG00000138778/ENSG00000169679/ENSG00000148773/ENSG00000117724/ENSG00000126787/ENSG00000090889/ENSG00000166851/ENSG00000123219/ENSG00000134057/ENSG00000080986/ENSG00000134690","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0050900","GO:0050900","GO:0050900","leukocyte migration",262,0.507305444767378,2.23291025327126,1e-10,6.72125e-08,5.75657894736842e-08,1506,"tags=23%, list=11%, signal=21%","ENSG00000211899/ENSG00000160683/ENSG00000137801/ENSG00000007908/ENSG00000141655/ENSG00000112175/ENSG00000133789/ENSG00000075340/ENSG00000150455/ENSG00000123454/ENSG00000100292/ENSG00000174600/ENSG00000261371/ENSG00000115232/ENSG00000162897/ENSG00000147573/ENSG00000119630/ENSG00000162692/ENSG00000134830/ENSG00000122592/ENSG00000063660/ENSG00000100600/ENSG00000140678/ENSG00000127129/ENSG00000130300/ENSG00000101336/ENSG00000169313/ENSG00000169508/ENSG00000177628/ENSG00000101280/ENSG00000145147/ENSG00000183087/ENSG00000110080/ENSG00000182578/ENSG00000138135/ENSG00000147443/ENSG00000130876/ENSG00000089060/ENSG00000136160/ENSG00000141968/ENSG00000090863/ENSG00000119919/ENSG00000021488/ENSG00000015413/ENSG00000196415/ENSG00000183018/ENSG00000177398/ENSG00000107562/ENSG00000168918/ENSG00000170962/ENSG00000147443/ENSG00000166923/ENSG00000121966/ENSG00000166923/ENSG00000165025/ENSG00000153208/ENSG00000171522/ENSG00000154721/ENSG00000129422/ENSG00000149564/ENSG00000057593/ENSG00000177105/ENSG00000110651/ENSG00000174059/ENSG00000189058/ENSG00000167207/ENSG00000151651/ENSG00000110651/ENSG00000129244/ENSG00000186810/ENSG00000128340/ENSG00000157404/ENSG00000172817/ENSG00000136286/ENSG00000184588/ENSG00000173757/ENSG00000157227/ENSG00000120129/ENSG00000204472/ENSG00000164251/ENSG00000119919/ENSG00000182578","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0098813","GO:0098813","GO:0098813","nuclear chromosome segregation",182,-0.656057401464532,-2.05786779079599,1e-10,6.72125e-08,5.75657894736842e-08,1375,"tags=30%, list=10%, signal=27%","ENSG00000143452/ENSG00000054796/ENSG00000138411/ENSG00000198765/ENSG00000143228/ENSG00000112941/ENSG00000136492/ENSG00000146670/ENSG00000124688/ENSG00000154920/ENSG00000100918/ENSG00000164109/ENSG00000136982/ENSG00000161800/ENSG00000129810/ENSG00000100814/ENSG00000161800/ENSG00000112029/ENSG00000198901/ENSG00000249961/ENSG00000178999/ENSG00000155657/ENSG00000013573/ENSG00000010292/ENSG00000040275/ENSG00000178295/ENSG00000149503/ENSG00000163611/ENSG00000167842/ENSG00000114346/ENSG00000237649/ENSG00000077935/ENSG00000128789/ENSG00000121152/ENSG00000128944/ENSG00000136824/ENSG00000171320/ENSG00000121621/ENSG00000137807/ENSG00000013810/ENSG00000177602/ENSG00000175063/ENSG00000109805/ENSG00000198901/ENSG00000137807/ENSG00000131747/ENSG00000168802/ENSG00000112742/ENSG00000066923/ENSG00000117650/ENSG00000118193/ENSG00000146918/ENSG00000138778/ENSG00000169679/ENSG00000117724/ENSG00000126787/ENSG00000090889/ENSG00000166851/ENSG00000123219/ENSG00000134057/ENSG00000080986/ENSG00000134690","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0140014","GO:0140014","GO:0140014","mitotic nuclear division",212,-0.641451142650275,-2.0370182414554,1e-10,6.72125e-08,5.75657894736842e-08,1973,"tags=34%, list=14%, signal=30%","ENSG00000124006/ENSG00000160789/ENSG00000074054/ENSG00000175334/ENSG00000108106/ENSG00000204899/ENSG00000149311/ENSG00000083535/ENSG00000053900/ENSG00000167244/ENSG00000164754/ENSG00000104983/ENSG00000127564/ENSG00000072864/ENSG00000154429/ENSG00000103056/ENSG00000068796/ENSG00000138411/ENSG00000143228/ENSG00000154229/ENSG00000112941/ENSG00000137090/ENSG00000288000/ENSG00000146670/ENSG00000124688/ENSG00000100918/ENSG00000164109/ENSG00000136982/ENSG00000113575/ENSG00000161800/ENSG00000129810/ENSG00000161800/ENSG00000112029/ENSG00000198901/ENSG00000178999/ENSG00000155657/ENSG00000010292/ENSG00000040275/ENSG00000178295/ENSG00000149503/ENSG00000138182/ENSG00000163611/ENSG00000167842/ENSG00000101057/ENSG00000237649/ENSG00000077935/ENSG00000128789/ENSG00000121152/ENSG00000128944/ENSG00000136824/ENSG00000138182/ENSG00000121621/ENSG00000137807/ENSG00000170312/ENSG00000013810/ENSG00000087586/ENSG00000177602/ENSG00000175063/ENSG00000109805/ENSG00000088325/ENSG00000136122/ENSG00000157456/ENSG00000198901/ENSG00000137807/ENSG00000168802/ENSG00000112742/ENSG00000117650/ENSG00000118193/ENSG00000146918/ENSG00000138778/ENSG00000169679/ENSG00000148773/ENSG00000117724/ENSG00000011426/ENSG00000126787/ENSG00000090889/ENSG00000166851/ENSG00000123219/ENSG00000134057/ENSG00000156509/ENSG00000080986/ENSG00000134690/ENSG00000017427/ENSG00000138798","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0006281","GO:0006281","GO:0006281","DNA repair",412,-0.52528167319496,-1.71125255079123,5.15156172182455e-10,2.76999473782506e-07,2.37242974031394e-07,3478,"tags=41%, list=25%, signal=32%","ENSG00000148300/ENSG00000189403/ENSG00000014824/ENSG00000132436/ENSG00000035928/ENSG00000187790/ENSG00000137074/ENSG00000168090/ENSG00000152457/ENSG00000221829/ENSG00000149923/ENSG00000145736/ENSG00000158161/ENSG00000101596/ENSG00000113318/ENSG00000141510/ENSG00000096717/ENSG00000181163/ENSG00000128908/ENSG00000169592/ENSG00000102978/ENSG00000101442/ENSG00000175792/ENSG00000133302/ENSG00000154767/ENSG00000112249/ENSG00000010295/ENSG00000070950/ENSG00000110107/ENSG00000166848/ENSG00000165280/ENSG00000140521/ENSG00000163104/ENSG00000156384/ENSG00000004700/ENSG00000111445/ENSG00000084073/ENSG00000087206/ENSG00000140534/ENSG00000020922/ENSG00000183765/ENSG00000204991/ENSG00000198890/ENSG00000069275/ENSG00000169189/ENSG00000189046/ENSG00000256525/ENSG00000175643/ENSG00000137337/ENSG00000166199/ENSG00000214941/ENSG00000114026/ENSG00000097046/ENSG00000134278/ENSG00000188486/ENSG00000123562/ENSG00000189403/ENSG00000122678/ENSG00000163918/ENSG00000138311/ENSG00000143799/ENSG00000113522/ENSG00000128513/ENSG00000062822/ENSG00000138375/ENSG00000183624/ENSG00000134452/ENSG00000168411/ENSG00000183161/ENSG00000198690/ENSG00000178028/ENSG00000149136/ENSG00000178966/ENSG00000103152/ENSG00000188486/ENSG00000049541/ENSG00000136319/ENSG00000118655/ENSG00000100823/ENSG00000131153/ENSG00000178460/ENSG00000125319/ENSG00000064655/ENSG00000149311/ENSG00000183207/ENSG00000132740/ENSG00000115233/ENSG00000112039/ENSG00000164754/ENSG00000198783/ENSG00000101347/ENSG00000048392/ENSG00000011485/ENSG00000136936/ENSG00000140451/ENSG00000112319/ENSG00000116717/ENSG00000077152/ENSG00000172273/ENSG00000160949/ENSG00000089280/ENSG00000170430/ENSG00000115392/ENSG00000181544/ENSG00000116062/ENSG00000106399/ENSG00000054796/ENSG00000174371/ENSG00000085999/ENSG00000136518/ENSG00000163781/ENSG00000138376/ENSG00000143971/ENSG00000173120/ENSG00000092853/ENSG00000198765/ENSG00000163029/ENSG00000101868/ENSG00000160957/ENSG00000164104/ENSG00000160117/ENSG00000140525/ENSG00000112941/ENSG00000051180/ENSG00000076248/ENSG00000158169/ENSG00000204410/ENSG00000136492/ENSG00000109674/ENSG00000100297/ENSG00000095002/ENSG00000112118/ENSG00000146670/ENSG00000117748/ENSG00000133119/ENSG00000154920/ENSG00000109685/ENSG00000100918/ENSG00000197837/ENSG00000185504/ENSG00000083093/ENSG00000198554/ENSG00000132646/ENSG00000111877/ENSG00000196584/ENSG00000104738/ENSG00000132383/ENSG00000276043/ENSG00000166803/ENSG00000124795/ENSG00000177143/ENSG00000105486/ENSG00000076003/ENSG00000111802/ENSG00000175854/ENSG00000167670/ENSG00000073111/ENSG00000013573/ENSG00000160207/ENSG00000178295/ENSG00000147536/ENSG00000188486/ENSG00000163312/ENSG00000197275/ENSG00000068878/ENSG00000129355/ENSG00000171320/ENSG00000170312/ENSG00000188486/ENSG00000143476/ENSG00000146648/ENSG00000159259/ENSG00000101204/ENSG00000146263/ENSG00000100479/ENSG00000183763/ENSG00000111206/ENSG00000185480/ENSG00000111802/ENSG00000104313","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0042060","GO:0042060","GO:0042060","wound healing",347,0.422986283408687,1.90149921024027,1.27451539722486e-09,6.23006299170733e-07,5.33588982091747e-07,907,"tags=14%, list=6%, signal=14%","ENSG00000213931/ENSG00000244734/ENSG00000244734/ENSG00000143954/ENSG00000244734/ENSG00000213931/ENSG00000244734/ENSG00000004939/ENSG00000244734/ENSG00000274286/ENSG00000178732/ENSG00000137801/ENSG00000213931/ENSG00000124491/ENSG00000169704/ENSG00000162552/ENSG00000142871/ENSG00000113721/ENSG00000158856/ENSG00000115956/ENSG00000132703/ENSG00000100292/ENSG00000196581/ENSG00000069018/ENSG00000160323/ENSG00000128271/ENSG00000158856/ENSG00000169313/ENSG00000124762/ENSG00000143278/ENSG00000134954/ENSG00000244734/ENSG00000183087/ENSG00000137509/ENSG00000110080/ENSG00000109758/ENSG00000043462/ENSG00000141968/ENSG00000164690/ENSG00000196415/ENSG00000154127/ENSG00000154764/ENSG00000189114/ENSG00000184160/ENSG00000150594/ENSG00000149781/ENSG00000166501/ENSG00000138639/ENSG00000167601/ENSG00000164111/ENSG00000076706/ENSG00000166311/ENSG00000139567/ENSG00000121966/ENSG00000185532/ENSG00000142615/ENSG00000166501/ENSG00000096968/ENSG00000070193/ENSG00000165025/ENSG00000153208/ENSG00000103175","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
