"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","immune_system_processes","inflammatory_response","regulation_of_immune_system_processes","regulation_of_inflammatory_response"
"GO:0050900","GO:0050900","GO:0050900","leukocyte migration",269,0.505433873544994,2.1085145128446,1e-10,5.448e-07,4.66105263157895e-07,3022,"tags=36%, list=20%, signal=30%","ENSG00000211899/ENSG00000171522/ENSG00000160683/ENSG00000007908/ENSG00000137801/ENSG00000141655/ENSG00000112175/ENSG00000150455/ENSG00000133789/ENSG00000237412/ENSG00000075340/ENSG00000162897/ENSG00000188372/ENSG00000174600/ENSG00000115232/ENSG00000140678/ENSG00000261371/ENSG00000162692/ENSG00000130300/ENSG00000177398/ENSG00000101336/ENSG00000134830/ENSG00000123454/ENSG00000101280/ENSG00000169508/ENSG00000119630/ENSG00000100292/ENSG00000119919/ENSG00000169313/ENSG00000122592/ENSG00000182578/ENSG00000100600/ENSG00000141968/ENSG00000136160/ENSG00000147573/ENSG00000196415/ENSG00000130876/ENSG00000110080/ENSG00000177105/ENSG00000138135/ENSG00000165025/ENSG00000168918/ENSG00000063660/ENSG00000177628/ENSG00000021488/ENSG00000188372/ENSG00000147443/ENSG00000167207/ENSG00000128340/ENSG00000184371/ENSG00000186810/ENSG00000089060/ENSG00000015413/ENSG00000183087/ENSG00000090863/ENSG00000127129/ENSG00000133789/ENSG00000153208/ENSG00000107562/ENSG00000124126/ENSG00000121966/ENSG00000204472/ENSG00000160255/ENSG00000151651/ENSG00000186111/ENSG00000171522/ENSG00000166923/ENSG00000168329/ENSG00000166923/ENSG00000119919/ENSG00000100311/ENSG00000165731/ENSG00000127129/ENSG00000145147/ENSG00000149564/ENSG00000091879/ENSG00000189058/ENSG00000182578/ENSG00000172817/ENSG00000196415/ENSG00000107562/ENSG00000147443/ENSG00000110651/ENSG00000129422/ENSG00000154721/ENSG00000162512/ENSG00000136286/ENSG00000184588/ENSG00000157227/ENSG00000164251/ENSG00000213949/ENSG00000102879/ENSG00000170890/ENSG00000121053/ENSG00000183018/ENSG00000271447/ENSG00000151490/ENSG00000168421/ENSG00000129244/ENSG00000157404/ENSG00000204305/ENSG00000174059/ENSG00000111679/ENSG00000102181/ENSG00000197635/ENSG00000151651/ENSG00000110651/ENSG00000117407/ENSG00000169347/ENSG00000173757/ENSG00000057593/ENSG00000157404/ENSG00000168003/ENSG00000135046/ENSG00000143369/ENSG00000196639/ENSG00000158769/ENSG00000124145/ENSG00000147065/ENSG00000121966/ENSG00000126353/ENSG00000164251/ENSG00000105974/ENSG00000051382/ENSG00000107099/ENSG00000182197/ENSG00000130529/ENSG00000171608/ENSG00000119535/ENSG00000113384/ENSG00000106299/ENSG00000177119/ENSG00000112486/ENSG00000172461/ENSG00000120129","TRUE","FALSE","FALSE","FALSE"
"GO:0050865","GO:0050865","GO:0050865","regulation of cell activation",323,0.4127261615553,1.76404971034177,3.78176880526801e-07,0.000955652750236652,0.000817611557703048,1286,"tags=9%, list=8%, signal=8%","ENSG00000123999/ENSG00000109685/ENSG00000168811/ENSG00000004468/ENSG00000188372/ENSG00000069764/ENSG00000091972/ENSG00000070193/ENSG00000198805/ENSG00000154342/ENSG00000164850/ENSG00000134258/ENSG00000073861/ENSG00000100292/ENSG00000136854/ENSG00000111537/ENSG00000140873/ENSG00000122641/ENSG00000175505/ENSG00000136235/ENSG00000100078/ENSG00000100097/ENSG00000135046/ENSG00000138795/ENSG00000166407/ENSG00000184599/ENSG00000166527/ENSG00000166527/ENSG00000184599/ENSG00000017427/ENSG00000166527/ENSG00000168811/ENSG00000115457/ENSG00000113302/ENSG00000188372","FALSE","FALSE","FALSE","FALSE"
"GO:0060326","GO:0060326","GO:0060326","cell chemotaxis",179,0.487575440245854,1.97865955510294,5.26240501231636e-07,0.000955652750236652,0.000817611557703048,3022,"tags=39%, list=20%, signal=32%","ENSG00000160683/ENSG00000137801/ENSG00000141655/ENSG00000138795/ENSG00000150455/ENSG00000133789/ENSG00000237412/ENSG00000113721/ENSG00000174600/ENSG00000162692/ENSG00000179388/ENSG00000134830/ENSG00000169508/ENSG00000119630/ENSG00000075388/ENSG00000182578/ENSG00000173585/ENSG00000100600/ENSG00000099250/ENSG00000141968/ENSG00000136160/ENSG00000154928/ENSG00000177105/ENSG00000138135/ENSG00000165025/ENSG00000110934/ENSG00000198121/ENSG00000148400/ENSG00000167207/ENSG00000128340/ENSG00000173578/ENSG00000184371/ENSG00000186810/ENSG00000089060/ENSG00000015413/ENSG00000183087/ENSG00000127129/ENSG00000133789/ENSG00000107562/ENSG00000124126/ENSG00000121966/ENSG00000204472/ENSG00000160255/ENSG00000123358/ENSG00000151651/ENSG00000186111/ENSG00000166923/ENSG00000156427/ENSG00000128512/ENSG00000168329/ENSG00000166923/ENSG00000184451/ENSG00000100311/ENSG00000127129/ENSG00000145147/ENSG00000182578/ENSG00000172817/ENSG00000107562/ENSG00000019991/ENSG00000129422/ENSG00000184588/ENSG00000164251/ENSG00000213949/ENSG00000102879/ENSG00000170890/ENSG00000146242/ENSG00000271447/ENSG00000151490/ENSG00000157404/ENSG00000065675/ENSG00000129048/ENSG00000197635/ENSG00000151651/ENSG00000148400/ENSG00000128052/ENSG00000057593/ENSG00000173585/ENSG00000157404/ENSG00000135046/ENSG00000196639/ENSG00000062598/ENSG00000129048/ENSG00000171680/ENSG00000173578/ENSG00000121966/ENSG00000126353/ENSG00000164251/ENSG00000130529/ENSG00000171608/ENSG00000119535/ENSG00000177119/ENSG00000112486/ENSG00000120129","FALSE","FALSE","FALSE","FALSE"
"GO:0002521","GO:0002521","GO:0002521","leukocyte differentiation",333,0.399811432304719,1.72678312384419,1.5075023584075e-06,0.00188964872027364,0.00161669459258283,2729,"tags=31%, list=18%, signal=26%","ENSG00000171522/ENSG00000109101/ENSG00000105369/ENSG00000175097/ENSG00000141655/ENSG00000138795/ENSG00000162367/ENSG00000129993/ENSG00000149635/ENSG00000162552/ENSG00000127951/ENSG00000132703/ENSG00000092067/ENSG00000159216/ENSG00000134321/ENSG00000008513/ENSG00000115232/ENSG00000136997/ENSG00000162692/ENSG00000095752/ENSG00000179388/ENSG00000174004/ENSG00000108342/ENSG00000170345/ENSG00000159189/ENSG00000169508/ENSG00000119919/ENSG00000122592/ENSG00000135047/ENSG00000182578/ENSG00000173585/ENSG00000010671/ENSG00000141968/ENSG00000066336/ENSG00000129993/ENSG00000160199/ENSG00000196415/ENSG00000165025/ENSG00000168918/ENSG00000164326/ENSG00000177628/ENSG00000066336/ENSG00000129993/ENSG00000164690/ENSG00000106003/ENSG00000135047/ENSG00000125538/ENSG00000184916/ENSG00000128917/ENSG00000184371/ENSG00000107957/ENSG00000183087/ENSG00000154127/ENSG00000048052/ENSG00000128606/ENSG00000033327/ENSG00000137265/ENSG00000071553/ENSG00000152518/ENSG00000135905/ENSG00000119457/ENSG00000110719/ENSG00000153208/ENSG00000134516/ENSG00000124126/ENSG00000068024/ENSG00000173334/ENSG00000122122/ENSG00000151651/ENSG00000171522/ENSG00000140968/ENSG00000086300/ENSG00000179348/ENSG00000108175/ENSG00000100097/ENSG00000119919/ENSG00000056586/ENSG00000204103/ENSG00000130584/ENSG00000163513/ENSG00000092067/ENSG00000180353/ENSG00000128606/ENSG00000131188/ENSG00000156127/ENSG00000167601/ENSG00000198286/ENSG00000182578/ENSG00000196415/ENSG00000100060/ENSG00000072274/ENSG00000197046/ENSG00000110651/ENSG00000161031/ENSG00000077585/ENSG00000119714/ENSG00000172216/ENSG00000184916/ENSG00000157227/ENSG00000164251/ENSG00000107957/ENSG00000198846/ENSG00000168214/ENSG00000134198/ENSG00000165240/ENSG00000168421/ENSG00000163874/ENSG00000081087/ENSG00000131507/ENSG00000065000/ENSG00000157404/ENSG00000204305/ENSG00000111679/ENSG00000104312/ENSG00000145022/ENSG00000088992/ENSG00000136630/ENSG00000151651/ENSG00000110651/ENSG00000020633/ENSG00000184916/ENSG00000143772/ENSG00000127152/ENSG00000198805/ENSG00000153551/ENSG00000173757/ENSG00000197943/ENSG00000163874/ENSG00000160219/ENSG00000173585/ENSG00000160685/ENSG00000157404/ENSG00000135046/ENSG00000134198","TRUE","FALSE","FALSE","FALSE"
"GO:0060627","GO:0060627","GO:0060627","regulation of vesicle-mediated transport",379,0.377043329043794,1.69525291747609,1.87314079590117e-06,0.00188964872027364,0.00161669459258283,2116,"tags=22%, list=14%, signal=20%","ENSG00000163032/ENSG00000012124/ENSG00000207864/ENSG00000130643/ENSG00000185652/ENSG00000007908/ENSG00000171450/ENSG00000175471/ENSG00000067715/ENSG00000102468/ENSG00000188372/ENSG00000164756/ENSG00000128271/ENSG00000101336/ENSG00000100292/ENSG00000118432/ENSG00000167964/ENSG00000099250/ENSG00000150594/ENSG00000176170/ENSG00000172007/ENSG00000196415/ENSG00000136717/ENSG00000165025/ENSG00000175471/ENSG00000120907/ENSG00000170743/ENSG00000100385/ENSG00000006283/ENSG00000167371/ENSG00000169684/ENSG00000116675/ENSG00000188906/ENSG00000154764/ENSG00000148400/ENSG00000188372/ENSG00000125538/ENSG00000041353/ENSG00000166501/ENSG00000100385/ENSG00000167207/ENSG00000128340/ENSG00000153071/ENSG00000186792/ENSG00000166311/ENSG00000069696/ENSG00000161835/ENSG00000143858/ENSG00000183087/ENSG00000105186/ENSG00000079841/ENSG00000006740/ENSG00000150594/ENSG00000033327/ENSG00000155099/ENSG00000071553/ENSG00000108405/ENSG00000187391/ENSG00000131238/ENSG00000153208/ENSG00000115234/ENSG00000134516/ENSG00000167964/ENSG00000139998/ENSG00000151577/ENSG00000101098/ENSG00000160255/ENSG00000149927/ENSG00000000938/ENSG00000162139/ENSG00000124507/ENSG00000143553/ENSG00000166923/ENSG00000104888/ENSG00000186318/ENSG00000163956/ENSG00000179348/ENSG00000186912/ENSG00000166923/ENSG00000185896/ENSG00000103034/ENSG00000124839/ENSG00000114520/ENSG00000109103/ENSG00000167601/ENSG00000196415/ENSG00000131374/ENSG00000180447/ENSG00000079841/ENSG00000105514/ENSG00000166128/ENSG00000204176/ENSG00000073969/ENSG00000118473/ENSG00000117533/ENSG00000103319/ENSG00000112335/ENSG00000137710/ENSG00000169032/ENSG00000138246/ENSG00000104142/ENSG00000164251/ENSG00000136111/ENSG00000079805/ENSG00000173548/ENSG00000123384/ENSG00000051523/ENSG00000091428/ENSG00000102879","FALSE","FALSE","FALSE","FALSE"
"GO:0030099","GO:0030099","GO:0030099","myeloid cell differentiation",294,0.408679602390847,1.69487221755446,2.40000656688435e-06,0.00188964872027364,0.00161669459258283,2403,"tags=24%, list=16%, signal=21%","ENSG00000004939/ENSG00000078399/ENSG00000158578/ENSG00000137801/ENSG00000069122/ENSG00000141655/ENSG00000204389/ENSG00000138795/ENSG00000162367/ENSG00000129993/ENSG00000149635/ENSG00000150455/ENSG00000132703/ENSG00000158856/ENSG00000158856/ENSG00000092067/ENSG00000159216/ENSG00000174946/ENSG00000136997/ENSG00000095752/ENSG00000174004/ENSG00000108342/ENSG00000170345/ENSG00000159189/ENSG00000169508/ENSG00000119919/ENSG00000178467/ENSG00000122592/ENSG00000182578/ENSG00000081189/ENSG00000066336/ENSG00000129993/ENSG00000134954/ENSG00000160199/ENSG00000196415/ENSG00000168918/ENSG00000164326/ENSG00000177628/ENSG00000066336/ENSG00000151702/ENSG00000129993/ENSG00000204389/ENSG00000172819/ENSG00000166501/ENSG00000184371/ENSG00000107957/ENSG00000154127/ENSG00000128606/ENSG00000033327/ENSG00000137265/ENSG00000071553/ENSG00000118689/ENSG00000110719/ENSG00000143479/ENSG00000096968/ENSG00000105612/ENSG00000173334/ENSG00000140968/ENSG00000086300/ENSG00000179348/ENSG00000119919/ENSG00000204103/ENSG00000130584/ENSG00000163513/ENSG00000092067/ENSG00000180353/ENSG00000128606/ENSG00000156127/ENSG00000182578/ENSG00000196415/ENSG00000057757/ENSG00000072274/ENSG00000197046/ENSG00000110651/ENSG00000077585/ENSG00000119714/ENSG00000160796/ENSG00000172216/ENSG00000164251/ENSG00000101335/ENSG00000107957/ENSG00000168214/ENSG00000134198/ENSG00000055609/ENSG00000023330/ENSG00000144659/ENSG00000081087/ENSG00000131507/ENSG00000166501/ENSG00000162775/ENSG00000157404/ENSG00000065675/ENSG00000111679/ENSG00000145022/ENSG00000150867/ENSG00000088992","TRUE","FALSE","FALSE","FALSE"
"GO:0072593","GO:0072593","GO:0072593","reactive oxygen species metabolic process",188,0.461137573013453,1.88207689955504,2.42796274631342e-06,0.00188964872027364,0.00161669459258283,1664,"tags=21%, list=11%, signal=19%","ENSG00000244734/ENSG00000207864/ENSG00000244734/ENSG00000244734/ENSG00000213931/ENSG00000188536/ENSG00000244734/ENSG00000244734/ENSG00000137801/ENSG00000213931/ENSG00000213931/ENSG00000244734/ENSG00000075891/ENSG00000267200/ENSG00000113721/ENSG00000142871/ENSG00000137203/ENSG00000124588/ENSG00000158517/ENSG00000174004/ENSG00000244734/ENSG00000167419/ENSG00000124212/ENSG00000141968/ENSG00000124762/ENSG00000165025/ENSG00000188906/ENSG00000080546/ENSG00000125538/ENSG00000137880/ENSG00000116701/ENSG00000168209/ENSG00000128340/ENSG00000137509/ENSG00000107957/ENSG00000165168/ENSG00000116717/ENSG00000213931/ENSG00000174130/ENSG00000102393/ENSG00000096968/ENSG00000124126/ENSG00000160255/ENSG00000068024/ENSG00000080824/ENSG00000196139/ENSG00000168329/ENSG00000165646/ENSG00000256053/ENSG00000100311/ENSG00000163513/ENSG00000153823/ENSG00000196139","FALSE","FALSE","FALSE","FALSE"
"GO:0006261","GO:0006261","GO:0006261","DNA-dependent DNA replication",123,-0.609228554330601,-1.81645516100162,4.1134416457228e-06,0.00219145803275478,0.00187490844907608,3663,"tags=57%, list=24%, signal=44%","ENSG00000093009/ENSG00000147601/ENSG00000161036/ENSG00000111445/ENSG00000084073/ENSG00000109917/ENSG00000140521/ENSG00000140534/ENSG00000131153/ENSG00000166508/ENSG00000106399/ENSG00000049541/ENSG00000187790/ENSG00000198783/ENSG00000256525/ENSG00000121988/ENSG00000178295/ENSG00000168411/ENSG00000113318/ENSG00000006634/ENSG00000183765/ENSG00000165283/ENSG00000062822/ENSG00000020922/ENSG00000107815/ENSG00000163918/ENSG00000135336/ENSG00000101347/ENSG00000134452/ENSG00000138375/ENSG00000097046/ENSG00000146143/ENSG00000154920/ENSG00000101868/ENSG00000112312/ENSG00000065328/ENSG00000117748/ENSG00000160957/ENSG00000160949/ENSG00000285816/ENSG00000163781/ENSG00000112118/ENSG00000181938/ENSG00000178460/ENSG00000115942/ENSG00000111877/ENSG00000100297/ENSG00000143971/ENSG00000106028/ENSG00000133119/ENSG00000051180/ENSG00000198554/ENSG00000076003/ENSG00000132646/ENSG00000129173/ENSG00000147536/ENSG00000159147/ENSG00000105486/ENSG00000104738/ENSG00000136982/ENSG00000132383/ENSG00000013573/ENSG00000073111/ENSG00000204086/ENSG00000112029/ENSG00000164815/ENSG00000165891/ENSG00000183763/ENSG00000146263/ENSG00000111328/ENSG00000168802/ENSG00000161692/ENSG00000100479/ENSG00000111732","FALSE","FALSE","FALSE","FALSE"
"GO:0001525","GO:0001525","GO:0001525","angiogenesis",382,0.367016406809056,1.65739126518351,4.53632410896092e-06,0.00219145803275478,0.00187490844907608,1497,"tags=10%, list=10%, signal=9%","ENSG00000136574/ENSG00000164283/ENSG00000113296/ENSG00000159184/ENSG00000179348/ENSG00000166086/ENSG00000129173/ENSG00000178878/ENSG00000168811/ENSG00000136110/ENSG00000181790/ENSG00000132855/ENSG00000070193/ENSG00000184058/ENSG00000144810/ENSG00000165891/ENSG00000138798/ENSG00000117560/ENSG00000199161/ENSG00000100292/ENSG00000170989/ENSG00000111241/ENSG00000160199/ENSG00000112761/ENSG00000121753/ENSG00000172179/ENSG00000189058/ENSG00000204291/ENSG00000132329/ENSG00000136235/ENSG00000204291/ENSG00000135046/ENSG00000025708/ENSG00000138795/ENSG00000132855/ENSG00000107831/ENSG00000169436/ENSG00000125730/ENSG00000148482/ENSG00000091583/ENSG00000125730/ENSG00000106804/ENSG00000125730/ENSG00000168811/ENSG00000204301/ENSG00000067225/ENSG00000102554/ENSG00000113302/ENSG00000263761","FALSE","FALSE","FALSE","FALSE"
"GO:0050853","GO:0050853","GO:0050853","B cell receptor signaling pathway",38,0.733043990521765,2.31034208000189,4.72429605419246e-06,0.00219145803275478,0.00187490844907608,3268,"tags=54%, list=21%, signal=43%","ENSG00000012124/ENSG00000211899/ENSG00000196092/ENSG00000105369/ENSG00000159216/ENSG00000081189/ENSG00000010671/ENSG00000131378/ENSG00000165025/ENSG00000160999/ENSG00000166501/ENSG00000196950/ENSG00000131378/ENSG00000110651/ENSG00000109381/ENSG00000166501/ENSG00000111679/ENSG00000110651/ENSG00000197943/ENSG00000135605/ENSG00000171608/ENSG00000067955/ENSG00000132522/ENSG00000101096/ENSG00000171791","TRUE","FALSE","TRUE","FALSE"
