"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","immune_system_processes","inflammatory_response","regulation_of_immune_system_processes","regulation_of_inflammatory_response","immune_response_regulating_signaling_pathway","cytokine_production","cytokine_mediated_signaling_pathway","defence_response_to_other_organism","leukocyte_proliferation"
"GO:0000070","GO:0000070","GO:0000070","mitotic sister chromatid segregation",118,0.712737764885222,1.83552717416869,1e-10,1.787e-08,1.60631578947368e-08,1701,"tags=44%, list=14%, signal=38%","ENSG00000077935/ENSG00000100918/ENSG00000013810/ENSG00000212916/ENSG00000123219/ENSG00000137807/ENSG00000080986/ENSG00000117650/ENSG00000168802/ENSG00000124688/ENSG00000109805/ENSG00000128944/ENSG00000121621/ENSG00000129810/ENSG00000136982/ENSG00000112742/ENSG00000198901/ENSG00000138411/ENSG00000146670/ENSG00000177602/ENSG00000143228/ENSG00000138778/ENSG00000178999/ENSG00000167842/ENSG00000134690/ENSG00000161800/ENSG00000117724/ENSG00000166851/ENSG00000155657/ENSG00000112029/ENSG00000040275/ENSG00000149503/ENSG00000118193/ENSG00000090889/ENSG00000126787/ENSG00000169679/ENSG00000175063/ENSG00000121152/ENSG00000164109/ENSG00000146918/ENSG00000134057/ENSG00000144535/ENSG00000010292/ENSG00000136824/ENSG00000086065/ENSG00000133302/ENSG00000178295/ENSG00000154473/ENSG00000053900/ENSG00000119906/ENSG00000237649/ENSG00000116213","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0000226","GO:0000226","GO:0000226","microtubule cytoskeleton organization",416,0.669720354916439,1.77179310788752,1e-10,1.787e-08,1.60631578947368e-08,1576,"tags=35%, list=13%, signal=31%","ENSG00000169126/ENSG00000111640/ENSG00000110318/ENSG00000154099/ENSG00000172426/ENSG00000160188/ENSG00000181378/ENSG00000138100/ENSG00000155530/ENSG00000131044/ENSG00000142609/ENSG00000162643/ENSG00000198003/ENSG00000080572/ENSG00000119661/ENSG00000144451/ENSG00000101222/ENSG00000141933/ENSG00000181085/ENSG00000152763/ENSG00000141519/ENSG00000148935/ENSG00000039139/ENSG00000165506/ENSG00000129295/ENSG00000138002/ENSG00000141013/ENSG00000167216/ENSG00000244607/ENSG00000111554/ENSG00000136811/ENSG00000197748/ENSG00000103995/ENSG00000096093/ENSG00000187726/ENSG00000118690/ENSG00000013810/ENSG00000212916/ENSG00000146425/ENSG00000272514/ENSG00000171811/ENSG00000137807/ENSG00000080986/ENSG00000160401/ENSG00000117650/ENSG00000163611/ENSG00000157456/ENSG00000177143/ENSG00000164114/ENSG00000156876/ENSG00000128944/ENSG00000121621/ENSG00000129810/ENSG00000176749/ENSG00000141577/ENSG00000170312/ENSG00000155761/ENSG00000112742/ENSG00000198901/ENSG00000131351/ENSG00000136122/ENSG00000143228/ENSG00000138778/ENSG00000256061/ENSG00000178999/ENSG00000164118/ENSG00000142731/ENSG00000137821/ENSG00000162063/ENSG00000188229/ENSG00000168309/ENSG00000101350/ENSG00000087586/ENSG00000074935/ENSG00000204104/ENSG00000284862/ENSG00000196584/ENSG00000034677/ENSG00000161800/ENSG00000150764/ENSG00000123473/ENSG00000100078/ENSG00000151414/ENSG00000166851/ENSG00000147316/ENSG00000177082/ENSG00000152240/ENSG00000112029/ENSG00000040275/ENSG00000149503/ENSG00000066279/ENSG00000090889/ENSG00000117632/ENSG00000126787/ENSG00000147874/ENSG00000068796/ENSG00000101057/ENSG00000214367/ENSG00000088325/ENSG00000131437/ENSG00000151849/ENSG00000164109/ENSG00000104671/ENSG00000074054/ENSG00000044459/ENSG00000166803/ENSG00000134057/ENSG00000103540/ENSG00000137343/ENSG00000132436/ENSG00000261308/ENSG00000108395/ENSG00000186638/ENSG00000139323/ENSG00000154429/ENSG00000180376/ENSG00000175764/ENSG00000176225/ENSG00000084764/ENSG00000117155/ENSG00000106665/ENSG00000086065/ENSG00000137941/ENSG00000122735/ENSG00000058453/ENSG00000104983/ENSG00000105948/ENSG00000163462/ENSG00000115266/ENSG00000126001/ENSG00000277586/ENSG00000101004/ENSG00000100271/ENSG00000126756/ENSG00000213397/ENSG00000243910/ENSG00000178295/ENSG00000159069/ENSG00000186439/ENSG00000130640/ENSG00000112984/ENSG00000140463/ENSG00000198718/ENSG00000166483/ENSG00000101871","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0000280","GO:0000280","GO:0000280","nuclear division",288,0.68521391621508,1.79861824422489,1e-10,1.787e-08,1.60631578947368e-08,1564,"tags=37%, list=13%, signal=33%","ENSG00000138798/ENSG00000133101/ENSG00000173809/ENSG00000196074/ENSG00000141255/ENSG00000066923/ENSG00000152670/ENSG00000077935/ENSG00000163806/ENSG00000167014/ENSG00000249961/ENSG00000143452/ENSG00000137090/ENSG00000162039/ENSG00000204410/ENSG00000100814/ENSG00000181085/ENSG00000160207/ENSG00000100918/ENSG00000120498/ENSG00000203910/ENSG00000156509/ENSG00000175305/ENSG00000197275/ENSG00000013810/ENSG00000212916/ENSG00000123219/ENSG00000137807/ENSG00000080986/ENSG00000117650/ENSG00000163611/ENSG00000157456/ENSG00000113575/ENSG00000164114/ENSG00000168802/ENSG00000124688/ENSG00000109805/ENSG00000128944/ENSG00000121621/ENSG00000129810/ENSG00000136982/ENSG00000170312/ENSG00000112742/ENSG00000198901/ENSG00000138411/ENSG00000085999/ENSG00000146670/ENSG00000136122/ENSG00000177602/ENSG00000143228/ENSG00000051180/ENSG00000138778/ENSG00000178999/ENSG00000101350/ENSG00000087586/ENSG00000107831/ENSG00000288000/ENSG00000167842/ENSG00000134690/ENSG00000161800/ENSG00000127564/ENSG00000117724/ENSG00000166851/ENSG00000155657/ENSG00000112029/ENSG00000040275/ENSG00000149503/ENSG00000118193/ENSG00000090889/ENSG00000126787/ENSG00000138182/ENSG00000169679/ENSG00000131747/ENSG00000068796/ENSG00000101057/ENSG00000175063/ENSG00000121152/ENSG00000088325/ENSG00000164109/ENSG00000146918/ENSG00000074054/ENSG00000179218/ENSG00000134057/ENSG00000144535/ENSG00000100462/ENSG00000132436/ENSG00000011426/ENSG00000136492/ENSG00000154429/ENSG00000198765/ENSG00000010292/ENSG00000176170/ENSG00000136824/ENSG00000086065/ENSG00000104983/ENSG00000113456/ENSG00000133302/ENSG00000187790/ENSG00000178295/ENSG00000159069/ENSG00000154473/ENSG00000154920/ENSG00000148773/ENSG00000053900/ENSG00000119906/ENSG00000198718","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0000819","GO:0000819","GO:0000819","sister chromatid segregation",144,0.697837641564818,1.81602827884716,1e-10,1.787e-08,1.60631578947368e-08,1740,"tags=41%, list=15%, signal=35%","ENSG00000066923/ENSG00000077935/ENSG00000143452/ENSG00000181085/ENSG00000100918/ENSG00000171320/ENSG00000013810/ENSG00000212916/ENSG00000123219/ENSG00000137807/ENSG00000080986/ENSG00000117650/ENSG00000168802/ENSG00000124688/ENSG00000109805/ENSG00000128944/ENSG00000121621/ENSG00000129810/ENSG00000136982/ENSG00000112742/ENSG00000198901/ENSG00000138411/ENSG00000146670/ENSG00000177602/ENSG00000143228/ENSG00000138778/ENSG00000178999/ENSG00000167842/ENSG00000134690/ENSG00000161800/ENSG00000117724/ENSG00000166851/ENSG00000155657/ENSG00000112029/ENSG00000040275/ENSG00000149503/ENSG00000118193/ENSG00000090889/ENSG00000126787/ENSG00000169679/ENSG00000131747/ENSG00000013573/ENSG00000175063/ENSG00000121152/ENSG00000164109/ENSG00000146918/ENSG00000134057/ENSG00000144535/ENSG00000010292/ENSG00000136824/ENSG00000086065/ENSG00000133302/ENSG00000178295/ENSG00000154473/ENSG00000053900/ENSG00000119906/ENSG00000237649/ENSG00000116213/ENSG00000175643","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0001539","GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility",64,0.814621426451249,2.03407399470169,1e-10,1.787e-08,1.60631578947368e-08,791,"tags=52%, list=7%, signal=48%","ENSG00000146221/ENSG00000183914/ENSG00000152670/ENSG00000172426/ENSG00000151023/ENSG00000181378/ENSG00000145491/ENSG00000131044/ENSG00000162643/ENSG00000080572/ENSG00000144451/ENSG00000158023/ENSG00000141933/ENSG00000141519/ENSG00000039139/ENSG00000165506/ENSG00000129295/ENSG00000167858/ENSG00000141013/ENSG00000166171/ENSG00000197748/ENSG00000096093/ENSG00000118690/ENSG00000272514/ENSG00000171811/ENSG00000160401/ENSG00000084674/ENSG00000141577/ENSG00000284862/ENSG00000158486/ENSG00000100078/ENSG00000125863/ENSG00000004809","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0001578","GO:0001578","GO:0001578","microtubule bundle formation",70,0.779018736277965,1.96107117277662,1e-10,1.787e-08,1.60631578947368e-08,761,"tags=49%, list=6%, signal=46%","ENSG00000169126/ENSG00000154099/ENSG00000172426/ENSG00000160188/ENSG00000181378/ENSG00000155530/ENSG00000142609/ENSG00000162643/ENSG00000198003/ENSG00000080572/ENSG00000119661/ENSG00000144451/ENSG00000101222/ENSG00000141933/ENSG00000152763/ENSG00000141519/ENSG00000039139/ENSG00000165506/ENSG00000129295/ENSG00000141013/ENSG00000197748/ENSG00000187726/ENSG00000118690/ENSG00000272514/ENSG00000171811/ENSG00000160401/ENSG00000141577/ENSG00000155761/ENSG00000198901/ENSG00000256061/ENSG00000137821/ENSG00000284862/ENSG00000100078/ENSG00000166851","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0003341","GO:0003341","GO:0003341","cilium movement",82,0.807509196566658,2.0454121269756,1e-10,1.787e-08,1.60631578947368e-08,791,"tags=51%, list=7%, signal=48%","ENSG00000169126/ENSG00000146221/ENSG00000183833/ENSG00000152670/ENSG00000154099/ENSG00000172426/ENSG00000179532/ENSG00000151023/ENSG00000181378/ENSG00000145491/ENSG00000131044/ENSG00000162643/ENSG00000198003/ENSG00000080572/ENSG00000144451/ENSG00000112981/ENSG00000158023/ENSG00000101222/ENSG00000141933/ENSG00000152763/ENSG00000141519/ENSG00000039139/ENSG00000165506/ENSG00000156042/ENSG00000129295/ENSG00000167858/ENSG00000141013/ENSG00000166171/ENSG00000197748/ENSG00000165115/ENSG00000118690/ENSG00000272514/ENSG00000171811/ENSG00000160401/ENSG00000084674/ENSG00000141577/ENSG00000155761/ENSG00000256061/ENSG00000284862/ENSG00000100078/ENSG00000125863/ENSG00000004809","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0006260","GO:0006260","GO:0006260","DNA replication",211,0.665596564449369,1.7461468067655,1e-10,1.787e-08,1.60631578947368e-08,2483,"tags=50%, list=21%, signal=40%","ENSG00000138798/ENSG00000171320/ENSG00000165891/ENSG00000175305/ENSG00000143476/ENSG00000113575/ENSG00000168802/ENSG00000164815/ENSG00000136982/ENSG00000111732/ENSG00000170312/ENSG00000146648/ENSG00000152193/ENSG00000051180/ENSG00000138375/ENSG00000161692/ENSG00000160949/ENSG00000111328/ENSG00000146263/ENSG00000147536/ENSG00000256525/ENSG00000105486/ENSG00000100479/ENSG00000181938/ENSG00000097046/ENSG00000117748/ENSG00000145386/ENSG00000159259/ENSG00000178460/ENSG00000073111/ENSG00000112029/ENSG00000112312/ENSG00000146143/ENSG00000101868/ENSG00000076003/ENSG00000130997/ENSG00000048392/ENSG00000162599/ENSG00000167670/ENSG00000174371/ENSG00000013573/ENSG00000132646/ENSG00000104738/ENSG00000129173/ENSG00000160957/ENSG00000166803/ENSG00000133119/ENSG00000159147/ENSG00000163781/ENSG00000092853/ENSG00000136492/ENSG00000101773/ENSG00000198554/ENSG00000147601/ENSG00000132383/ENSG00000132740/ENSG00000143971/ENSG00000167325/ENSG00000183763/ENSG00000113456/ENSG00000162521/ENSG00000115942/ENSG00000107815/ENSG00000111877/ENSG00000171848/ENSG00000112118/ENSG00000132780/ENSG00000187790/ENSG00000134452/ENSG00000178295/ENSG00000154920/ENSG00000149136/ENSG00000106028/ENSG00000163918/ENSG00000128951/ENSG00000100297/ENSG00000035928/ENSG00000104889/ENSG00000049541/ENSG00000164306/ENSG00000138376/ENSG00000004700/ENSG00000175643/ENSG00000121988/ENSG00000138311/ENSG00000101347/ENSG00000135336/ENSG00000111653/ENSG00000062822/ENSG00000168496/ENSG00000113318/ENSG00000111445/ENSG00000093009/ENSG00000115350/ENSG00000168411/ENSG00000113522/ENSG00000178966/ENSG00000069275/ENSG00000140534/ENSG00000135913/ENSG00000119335/ENSG00000172613/ENSG00000101003/ENSG00000163191/ENSG00000167967/ENSG00000065328","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007018","GO:0007018","GO:0007018","microtubule-based movement",245,0.72317233805668,1.89920541344048,1e-10,1.787e-08,1.60631578947368e-08,1657,"tags=42%, list=14%, signal=37%","ENSG00000169126/ENSG00000146221/ENSG00000183914/ENSG00000174844/ENSG00000183833/ENSG00000152670/ENSG00000154099/ENSG00000172426/ENSG00000179532/ENSG00000151023/ENSG00000164627/ENSG00000181378/ENSG00000145491/ENSG00000131044/ENSG00000079974/ENSG00000162643/ENSG00000198003/ENSG00000080572/ENSG00000213123/ENSG00000144451/ENSG00000138175/ENSG00000112981/ENSG00000100360/ENSG00000158023/ENSG00000101222/ENSG00000141933/ENSG00000152763/ENSG00000141519/ENSG00000039139/ENSG00000165506/ENSG00000135338/ENSG00000156042/ENSG00000128581/ENSG00000129295/ENSG00000138002/ENSG00000167858/ENSG00000141013/ENSG00000166171/ENSG00000197748/ENSG00000165115/ENSG00000163808/ENSG00000118690/ENSG00000163913/ENSG00000272514/ENSG00000171811/ENSG00000137807/ENSG00000160401/ENSG00000126870/ENSG00000118965/ENSG00000084674/ENSG00000187535/ENSG00000121621/ENSG00000186094/ENSG00000141577/ENSG00000155761/ENSG00000032742/ENSG00000119650/ENSG00000138778/ENSG00000256061/ENSG00000101350/ENSG00000111837/ENSG00000204104/ENSG00000284862/ENSG00000161800/ENSG00000158486/ENSG00000123607/ENSG00000100078/ENSG00000109971/ENSG00000125863/ENSG00000004809/ENSG00000118193/ENSG00000090889/ENSG00000126787/ENSG00000138182/ENSG00000068796/ENSG00000131437/ENSG00000114446/ENSG00000159079/ENSG00000156313/ENSG00000187240/ENSG00000186638/ENSG00000154429/ENSG00000158560/ENSG00000117155/ENSG00000122735/ENSG00000047578/ENSG00000112144/ENSG00000105948/ENSG00000163462/ENSG00000277586/ENSG00000100271/ENSG00000126756/ENSG00000196659/ENSG00000122970/ENSG00000112290/ENSG00000112984/ENSG00000140463/ENSG00000150672/ENSG00000264364/ENSG00000147596/ENSG00000162069/ENSG00000237649","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007059","GO:0007059","GO:0007059","chromosome segregation",227,0.679379791164578,1.78561873887485,1e-10,1.787e-08,1.60631578947368e-08,1740,"tags=36%, list=15%, signal=31%","ENSG00000196074/ENSG00000141255/ENSG00000066923/ENSG00000077935/ENSG00000167014/ENSG00000249961/ENSG00000143452/ENSG00000162039/ENSG00000100814/ENSG00000181085/ENSG00000100918/ENSG00000171320/ENSG00000160602/ENSG00000120498/ENSG00000203910/ENSG00000175305/ENSG00000013810/ENSG00000212916/ENSG00000123219/ENSG00000137807/ENSG00000080986/ENSG00000117650/ENSG00000163611/ENSG00000168802/ENSG00000166451/ENSG00000159055/ENSG00000124688/ENSG00000109805/ENSG00000128944/ENSG00000121621/ENSG00000129810/ENSG00000136982/ENSG00000112742/ENSG00000198901/ENSG00000138411/ENSG00000146670/ENSG00000177602/ENSG00000143228/ENSG00000138778/ENSG00000178999/ENSG00000102901/ENSG00000167842/ENSG00000134690/ENSG00000161800/ENSG00000117724/ENSG00000166851/ENSG00000155657/ENSG00000112029/ENSG00000040275/ENSG00000149503/ENSG00000118193/ENSG00000090889/ENSG00000126787/ENSG00000089685/ENSG00000169679/ENSG00000131747/ENSG00000013573/ENSG00000175063/ENSG00000121152/ENSG00000164109/ENSG00000146918/ENSG00000134057/ENSG00000144535/ENSG00000136492/ENSG00000198765/ENSG00000010292/ENSG00000136824/ENSG00000086065/ENSG00000114346/ENSG00000133302/ENSG00000187790/ENSG00000178295/ENSG00000154473/ENSG00000154920/ENSG00000148773/ENSG00000053900/ENSG00000119906/ENSG00000237649/ENSG00000054796/ENSG00000179051/ENSG00000116213/ENSG00000175643","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
