"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030335","GO:0030335","positive regulation of cell migration","7/26","358/10425",1.98610136787245e-05,0.0036797832065062,0.00277128995337765,"THBS1/TIRAP/SWAP70/CPNE3/ITGAX/ITGA4/ETS1",7
"GO:2000147","GO:2000147","positive regulation of cell motility","7/26","366/10425",2.29132346449227e-05,0.0036797832065062,0.00277128995337765,"THBS1/TIRAP/SWAP70/CPNE3/ITGAX/ITGA4/ETS1",7
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","4/26","71/10425",2.63695554385088e-05,0.0036797832065062,0.00277128995337765,"THBS1/TIRAP/SWAP70/ITGA4",4
"GO:0040017","GO:0040017","positive regulation of locomotion","7/26","376/10425",2.726587296846e-05,0.0036797832065062,0.00277128995337765,"THBS1/TIRAP/SWAP70/CPNE3/ITGAX/ITGA4/ETS1",7
"GO:0051272","GO:0051272","positive regulation of cellular component movement","7/26","377/10425",2.77364148252945e-05,0.0036797832065062,0.00277128995337765,"THBS1/TIRAP/SWAP70/CPNE3/ITGAX/ITGA4/ETS1",7
"GO:0042113","GO:0042113","B cell activation","5/26","153/10425",3.27053028035337e-05,0.0036797832065062,0.00277128995337765,"CD79A/TIRAP/SWAP70/ITGA4/VCAM1",5
"GO:0050900","GO:0050900","leukocyte migration","6/26","259/10425",3.36321555956363e-05,0.0036797832065062,0.00277128995337765,"THBS1/TIRAP/SWAP70/ITGAX/ITGA4/VCAM1",6
"GO:0061756","GO:0061756","leukocyte adhesion to vascular endothelial cell","3/26","26/10425",3.447103706329e-05,0.0036797832065062,0.00277128995337765,"ITGA4/VCAM1/ETS1",3
"GO:0002274","GO:0002274","myeloid leukocyte activation","7/26","402/10425",4.18826260613917e-05,0.00397419585071428,0.0029930157337439,"FGL2/THBS1/ADGRE5/HBB/CPNE3/ITGAX/TLR7",7
"GO:0034113","GO:0034113","heterotypic cell-cell adhesion","3/26","29/10425",4.82051103850708e-05,0.00411671642688504,0.00310034973108192,"ITGAX/ITGA4/VCAM1",3
