"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSNFUG00015000040",2.30483618187356,-0.00298536262135271,0.00758575370540874,-0.393548582947547,0.693914348633822,NA
"ENSNFUG00015000041",23.2755763243662,-0.000437035282867332,0.00131758504173316,-0.331694174588118,0.740120199896414,0.962626581720934
"ENSNFUG00015000042",465.947523588313,0.000296298297740634,0.000482599470287209,0.613963164038074,0.539239669041942,0.921467654324634
"ENSNFUG00015000043",1411.12364173971,-0.000528909029733629,0.00128882880716776,-0.410379584000704,0.681527520316005,0.94936971235498
"ENSNFUG00015000044",107.966068771838,-0.00112164942674973,0.000705429109751479,-1.5900243004501,0.111829327618862,0.649386858714817
"ENSNFUG00015000045",265.927273347208,0.000409718001397871,0.000484854406462719,0.845033057216061,0.39809238244272,0.874401338182105
"ENSNFUG00015000046",10.5546220941454,-1.23744108831338e-05,0.00199232100096614,-0.00621105277569884,0.995044328746593,0.999303305872752
"ENSNFUG00015000047",403.383596991755,-7.34669469997559e-05,0.000361753047592465,-0.203085910370879,0.839067884155328,0.978937858673265
"ENSNFUG00015000048",111.895987257907,-4.1208517329222e-05,0.000689010194177756,-0.0598082839375098,0.952308327761923,0.994061664976146
"ENSNFUG00015000049",665.210447480782,7.94151449737085e-05,0.000562545941721053,0.141170949932988,0.887734894809599,0.985296244279121
"ENSNFUG00015000050",262.173437315156,-0.000153156828666134,0.000455650264961401,-0.336128036003905,0.736774317473861,0.962585013213049
"ENSNFUG00015000051",528.007736791143,-0.000449805370803376,0.00059843748752084,-0.751633011272063,0.45227178559058,0.895010647077988
"ENSNFUG00015000052",179.493636417489,0.000362044335695598,0.000568441687518629,0.63690672877283,0.524185599578539,0.919557493903471
"ENSNFUG00015000053",4.7029682975089,0.000942102342414529,0.00293692320253918,0.320778678039663,0.748378118655516,NA
"ENSNFUG00015000054",401.447530476136,-0.000159068478045313,0.000535721968479406,-0.296923567455733,0.766524862912419,0.967172550559424
"ENSNFUG00015000055",38.9675146393613,-0.000359324072856056,0.0015962119881493,-0.225110496302354,0.821893315663653,0.974511957018788
"ENSNFUG00015000056",6.9889566368475,5.10075443845957e-05,0.00195332233566767,0.0261132243527849,0.97916702915186,0.999303305872752
"ENSNFUG00015000058",760.769413929427,-5.51519223830098e-05,0.000278942700220601,-0.197717747549562,0.843265903289805,0.979657827575481
"ENSNFUG00015000063",92.1524613271445,-0.000748553773246805,0.000670538623621598,-1.11634698864004,0.264273635482783,0.803682611352795
"ENSNFUG00015000126",504.355538640211,0.000127219769189556,0.000433463465570271,0.293495944397952,0.769143098982596,0.967267878702845
"ENSNFUG00015000127",352.151881519923,0.000505260506193613,0.000844131345629669,0.598556739788784,0.549468511371864,0.92326075491699
"ENSNFUG00015000133",33.8797232612907,0.00102759515455535,0.000895994714270031,1.14687635785054,0.251432725115442,0.791137938573992
"ENSNFUG00015000165",0.558206704858836,-0.00378682688879834,0.00741492833181534,-0.510703100466953,0.609558969373356,NA
"ENSNFUG00015000166",62.3667104135039,-0.00532686054864547,0.00220069103485133,-2.42053994144858,0.0154974766789159,0.324517317756252
"ENSNFUG00015000167",0.823149871127857,0.00698038943403136,0.0122737553003381,0.568724833045929,0.569542892486346,NA
"ENSNFUG00015000168",49.9402035508708,1.4477085202149e-05,0.00104580123749537,0.0138430561019614,0.988955192016175,0.999303305872752
"ENSNFUG00015000176",131.476443705265,-0.000211526162942099,0.0006947303514202,-0.304472321541282,0.760768076591159,0.966554225154559
