"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0007599","GO:0007599","hemostasis",228,0.540044286954869,2.09518932503549,1e-10,8.61919364278982e-08,6.75650680745103e-08,2004,"tags=25%, list=13%, signal=22%","ENSG00000244734/ENSG00000101981/ENSG00000244734/ENSG00000244734/ENSG00000171564/ENSG00000178732/ENSG00000213931/ENSG00000167711/ENSG00000171557/ENSG00000004939/ENSG00000274286/ENSG00000244734/ENSG00000137801/ENSG00000124491/ENSG00000213931/ENSG00000244734/ENSG00000237412/ENSG00000117601/ENSG00000213931/ENSG00000091583/ENSG00000043462/ENSG00000057593/ENSG00000149131/ENSG00000069018/ENSG00000158856/ENSG00000167711/ENSG00000115956/ENSG00000158856/ENSG00000174059/ENSG00000160323/ENSG00000179348/ENSG00000244734/ENSG00000169704/ENSG00000244734/ENSG00000196415/ENSG00000128271/ENSG00000151702/ENSG00000166501/ENSG00000198734/ENSG00000160999/ENSG00000142615/ENSG00000057593/ENSG00000150594/ENSG00000213931/ENSG00000164690/ENSG00000140093/ENSG00000109758/ENSG00000141968/ENSG00000198517/ENSG00000099937/ENSG00000196415/ENSG00000109991/ENSG00000110080/ENSG00000189114/ENSG00000126218/ENSG00000183087/ENSG00000137509/ENSG00000165059/ENSG00000096968/ENSG00000128271/ENSG00000154127/ENSG00000164220/ENSG00000100311/ENSG00000166501/ENSG00000153208/ENSG00000150594/ENSG00000110756/ENSG00000149781/ENSG00000197461/ENSG00000186115/ENSG00000169313/ENSG00000165025/ENSG00000185532/ENSG00000115414/ENSG00000185022"
"GO:0042060","GO:0042060","wound healing",352,0.494643683482896,2.02226741168191,1e-10,8.61919364278982e-08,6.75650680745103e-08,1712,"tags=19%, list=11%, signal=18%","ENSG00000143954/ENSG00000244734/ENSG00000101981/ENSG00000244734/ENSG00000244734/ENSG00000171564/ENSG00000178732/ENSG00000213931/ENSG00000167711/ENSG00000171557/ENSG00000004939/ENSG00000274286/ENSG00000244734/ENSG00000137801/ENSG00000124491/ENSG00000213931/ENSG00000244734/ENSG00000017427/ENSG00000189143/ENSG00000237412/ENSG00000162552/ENSG00000117601/ENSG00000213931/ENSG00000142871/ENSG00000091583/ENSG00000043462/ENSG00000057593/ENSG00000149131/ENSG00000113721/ENSG00000069018/ENSG00000158856/ENSG00000167711/ENSG00000115956/ENSG00000158856/ENSG00000132703/ENSG00000174059/ENSG00000160323/ENSG00000100292/ENSG00000179348/ENSG00000182533/ENSG00000244734/ENSG00000196581/ENSG00000169704/ENSG00000244734/ENSG00000196415/ENSG00000124762/ENSG00000128271/ENSG00000143954/ENSG00000138639/ENSG00000177791/ENSG00000166501/ENSG00000198734/ENSG00000160999/ENSG00000142615/ENSG00000134954/ENSG00000057593/ENSG00000150594/ENSG00000213931/ENSG00000164690/ENSG00000140093/ENSG00000109758/ENSG00000141968/ENSG00000198517/ENSG00000139567/ENSG00000099937/ENSG00000196415/ENSG00000109991/ENSG00000110080/ENSG00000189114/ENSG00000126218/ENSG00000183087/ENSG00000137509/ENSG00000163513/ENSG00000182704/ENSG00000076706/ENSG00000103175/ENSG00000165059/ENSG00000096968/ENSG00000128271/ENSG00000154127/ENSG00000164220/ENSG00000112562/ENSG00000154764/ENSG00000100311/ENSG00000166501/ENSG00000153208/ENSG00000150594/ENSG00000110756/ENSG00000149781/ENSG00000111145"
"GO:0043408","GO:0043408","regulation of MAPK cascade",468,0.445834229550956,1.85203877097775,1e-10,8.61919364278982e-08,6.75650680745103e-08,1733,"tags=17%, list=11%, signal=16%","ENSG00000106927/ENSG00000185652/ENSG00000034971/ENSG00000207864/ENSG00000188766/ENSG00000171564/ENSG00000141655/ENSG00000167711/ENSG00000171557/ENSG00000274286/ENSG00000136279/ENSG00000137801/ENSG00000108255/ENSG00000056291/ENSG00000100234/ENSG00000101871/ENSG00000165238/ENSG00000162344/ENSG00000164078/ENSG00000124588/ENSG00000150455/ENSG00000017427/ENSG00000019169/ENSG00000133878/ENSG00000167779/ENSG00000142871/ENSG00000168939/ENSG00000113721/ENSG00000167711/ENSG00000146674/ENSG00000134830/ENSG00000124493/ENSG00000037280/ENSG00000075388/ENSG00000136997/ENSG00000176170/ENSG00000182533/ENSG00000099860/ENSG00000130222/ENSG00000135090/ENSG00000154928/ENSG00000124743/ENSG00000166444/ENSG00000147246/ENSG00000174928/ENSG00000099250/ENSG00000187678/ENSG00000177628/ENSG00000162545/ENSG00000135744/ENSG00000169508/ENSG00000112679/ENSG00000162772/ENSG00000106804/ENSG00000116285/ENSG00000150907/ENSG00000116717/ENSG00000069696/ENSG00000138835/ENSG00000150594/ENSG00000019991/ENSG00000138623/ENSG00000213626/ENSG00000036828/ENSG00000165238/ENSG00000148400/ENSG00000034971/ENSG00000188906/ENSG00000102468/ENSG00000120907/ENSG00000111432/ENSG00000182578/ENSG00000158517/ENSG00000182578/ENSG00000156427/ENSG00000183087/ENSG00000170890/ENSG00000004975/ENSG00000066336/ENSG00000157404/ENSG00000164056/ENSG00000071553/ENSG00000198369/ENSG00000130427/ENSG00000169252/ENSG00000120875/ENSG00000182621/ENSG00000154764/ENSG00000085276/ENSG00000164620/ENSG00000174130/ENSG00000153233/ENSG00000100311/ENSG00000122694/ENSG00000140443/ENSG00000101871/ENSG00000174804/ENSG00000174343/ENSG00000150594/ENSG00000198121/ENSG00000138193/ENSG00000075213/ENSG00000165731/ENSG00000110651/ENSG00000066336"
"GO:0048514","GO:0048514","blood vessel morphogenesis",455,0.445212100217417,1.84611483988587,1e-10,8.61919364278982e-08,6.75650680745103e-08,1991,"tags=22%, list=13%, signal=20%","ENSG00000138795/ENSG00000207864/ENSG00000151617/ENSG00000112333/ENSG00000167711/ENSG00000109101/ENSG00000168505/ENSG00000105991/ENSG00000135821/ENSG00000137801/ENSG00000284202/ENSG00000161381/ENSG00000112116/ENSG00000136859/ENSG00000162367/ENSG00000169330/ENSG00000179388/ENSG00000151617/ENSG00000267200/ENSG00000136110/ENSG00000106511/ENSG00000183287/ENSG00000171812/ENSG00000125730/ENSG00000054598/ENSG00000162552/ENSG00000142871/ENSG00000091583/ENSG00000069122/ENSG00000154734/ENSG00000113721/ENSG00000159216/ENSG00000167711/ENSG00000174059/ENSG00000037280/ENSG00000100292/ENSG00000118526/ENSG00000121853/ENSG00000176170/ENSG00000179348/ENSG00000008196/ENSG00000106991/ENSG00000125730/ENSG00000184304/ENSG00000154928/ENSG00000135821/ENSG00000164532/ENSG00000138639/ENSG00000164683/ENSG00000122592/ENSG00000122786/ENSG00000099250/ENSG00000140678/ENSG00000101280/ENSG00000166501/ENSG00000114315/ENSG00000124212/ENSG00000106804/ENSG00000134954/ENSG00000111241/ENSG00000116717/ENSG00000183072/ENSG00000139610/ENSG00000019991/ENSG00000260001/ENSG00000132329/ENSG00000064300/ENSG00000164690/ENSG00000148400/ENSG00000184113/ENSG00000128165/ENSG00000168214/ENSG00000084674/ENSG00000091129/ENSG00000199150/ENSG00000139567/ENSG00000145147/ENSG00000164736/ENSG00000186810/ENSG00000106688/ENSG00000184937/ENSG00000139610/ENSG00000187498/ENSG00000156427/ENSG00000148848/ENSG00000137509/ENSG00000105997/ENSG00000128917/ENSG00000124212/ENSG00000265107/ENSG00000119630/ENSG00000066336/ENSG00000163513/ENSG00000265107/ENSG00000182963/ENSG00000076706/ENSG00000130066/ENSG00000079337/ENSG00000112562/ENSG00000173269/ENSG00000154764/ENSG00000066056/ENSG00000166501/ENSG00000164120/ENSG00000174804/ENSG00000125730/ENSG00000144891/ENSG00000169418/ENSG00000204291/ENSG00000184481/ENSG00000114019/ENSG00000133639/ENSG00000111145/ENSG00000066336/ENSG00000166825/ENSG00000189058/ENSG00000105538/ENSG00000203883/ENSG00000127329/ENSG00000116194/ENSG00000133121/ENSG00000197461/ENSG00000172889/ENSG00000048052/ENSG00000069667/ENSG00000143878/ENSG00000108175/ENSG00000177606/ENSG00000165025/ENSG00000115414/ENSG00000178878/ENSG00000163874/ENSG00000123384"
"GO:0050817","GO:0050817","coagulation",226,0.541128983599836,2.10724986505884,1e-10,8.61919364278982e-08,6.75650680745103e-08,2004,"tags=25%, list=13%, signal=22%","ENSG00000244734/ENSG00000101981/ENSG00000244734/ENSG00000244734/ENSG00000171564/ENSG00000178732/ENSG00000213931/ENSG00000167711/ENSG00000171557/ENSG00000004939/ENSG00000274286/ENSG00000244734/ENSG00000137801/ENSG00000124491/ENSG00000213931/ENSG00000244734/ENSG00000237412/ENSG00000117601/ENSG00000213931/ENSG00000091583/ENSG00000043462/ENSG00000057593/ENSG00000149131/ENSG00000069018/ENSG00000158856/ENSG00000167711/ENSG00000115956/ENSG00000158856/ENSG00000174059/ENSG00000160323/ENSG00000179348/ENSG00000244734/ENSG00000169704/ENSG00000244734/ENSG00000196415/ENSG00000128271/ENSG00000166501/ENSG00000198734/ENSG00000160999/ENSG00000142615/ENSG00000057593/ENSG00000150594/ENSG00000213931/ENSG00000164690/ENSG00000140093/ENSG00000109758/ENSG00000141968/ENSG00000198517/ENSG00000099937/ENSG00000196415/ENSG00000109991/ENSG00000110080/ENSG00000189114/ENSG00000126218/ENSG00000183087/ENSG00000137509/ENSG00000165059/ENSG00000096968/ENSG00000128271/ENSG00000154127/ENSG00000164220/ENSG00000100311/ENSG00000166501/ENSG00000153208/ENSG00000150594/ENSG00000110756/ENSG00000149781/ENSG00000197461/ENSG00000186115/ENSG00000169313/ENSG00000165025/ENSG00000185532/ENSG00000115414/ENSG00000185022"
"GO:0050900","GO:0050900","leukocyte migration",269,0.528904827646611,2.09522452575976,1e-10,8.61919364278982e-08,6.75650680745103e-08,2956,"tags=34%, list=19%, signal=28%","ENSG00000171522/ENSG00000160683/ENSG00000141655/ENSG00000112175/ENSG00000186111/ENSG00000137801/ENSG00000007908/ENSG00000150455/ENSG00000211899/ENSG00000133789/ENSG00000075340/ENSG00000237412/ENSG00000130876/ENSG00000130300/ENSG00000057593/ENSG00000261371/ENSG00000115232/ENSG00000147573/ENSG00000174600/ENSG00000174059/ENSG00000134830/ENSG00000100292/ENSG00000119919/ENSG00000162692/ENSG00000123454/ENSG00000169347/ENSG00000196415/ENSG00000169347/ENSG00000122592/ENSG00000188372/ENSG00000140678/ENSG00000101336/ENSG00000138135/ENSG00000101280/ENSG00000177628/ENSG00000169508/ENSG00000100600/ENSG00000106804/ENSG00000184371/ENSG00000057593/ENSG00000196639/ENSG00000084674/ENSG00000169347/ENSG00000063660/ENSG00000162512/ENSG00000141968/ENSG00000145147/ENSG00000196415/ENSG00000171522/ENSG00000110080/ENSG00000168918/ENSG00000186810/ENSG00000182578/ENSG00000162897/ENSG00000182578/ENSG00000183087/ENSG00000170890/ENSG00000119630/ENSG00000157404/ENSG00000127129/ENSG00000177398/ENSG00000147443/ENSG00000015413/ENSG00000149564/ENSG00000172817/ENSG00000127129/ENSG00000182621/ENSG00000100311/ENSG00000133789/ENSG00000153208/ENSG00000154721/ENSG00000136160/ENSG00000117407/ENSG00000183018/ENSG00000021488/ENSG00000089060/ENSG00000128340/ENSG00000165731/ENSG00000119919/ENSG00000110651/ENSG00000189058/ENSG00000141655/ENSG00000107562/ENSG00000147443/ENSG00000120129/ENSG00000169313/ENSG00000165025/ENSG00000090863/ENSG00000115414/ENSG00000113296/ENSG00000167207/ENSG00000167193/ENSG00000035664/ENSG00000168811/ENSG00000177105/ENSG00000169439/ENSG00000110651/ENSG00000129244/ENSG00000164022/ENSG00000160255/ENSG00000124126/ENSG00000168329/ENSG00000151651/ENSG00000113384/ENSG00000204305/ENSG00000173531/ENSG00000145675/ENSG00000182197/ENSG00000160691/ENSG00000151490/ENSG00000166923/ENSG00000184588/ENSG00000166923/ENSG00000121966/ENSG00000168003/ENSG00000143369/ENSG00000188372/ENSG00000102181/ENSG00000213949/ENSG00000115414/ENSG00000153898/ENSG00000215183/ENSG00000204472/ENSG00000107099"
"GO:0007596","GO:0007596","blood coagulation",225,0.541558704589674,2.11101960615656,1.09400463281104e-10,8.61919364278982e-08,6.75650680745103e-08,2004,"tags=25%, list=13%, signal=22%","ENSG00000244734/ENSG00000101981/ENSG00000244734/ENSG00000244734/ENSG00000171564/ENSG00000178732/ENSG00000213931/ENSG00000167711/ENSG00000171557/ENSG00000004939/ENSG00000274286/ENSG00000244734/ENSG00000137801/ENSG00000124491/ENSG00000213931/ENSG00000244734/ENSG00000237412/ENSG00000117601/ENSG00000213931/ENSG00000091583/ENSG00000043462/ENSG00000057593/ENSG00000149131/ENSG00000069018/ENSG00000158856/ENSG00000167711/ENSG00000115956/ENSG00000158856/ENSG00000174059/ENSG00000160323/ENSG00000179348/ENSG00000244734/ENSG00000169704/ENSG00000244734/ENSG00000196415/ENSG00000128271/ENSG00000166501/ENSG00000198734/ENSG00000160999/ENSG00000142615/ENSG00000057593/ENSG00000150594/ENSG00000213931/ENSG00000164690/ENSG00000140093/ENSG00000109758/ENSG00000141968/ENSG00000198517/ENSG00000099937/ENSG00000196415/ENSG00000109991/ENSG00000110080/ENSG00000189114/ENSG00000126218/ENSG00000183087/ENSG00000137509/ENSG00000165059/ENSG00000096968/ENSG00000128271/ENSG00000154127/ENSG00000164220/ENSG00000100311/ENSG00000166501/ENSG00000153208/ENSG00000150594/ENSG00000110756/ENSG00000149781/ENSG00000197461/ENSG00000186115/ENSG00000169313/ENSG00000165025/ENSG00000185532/ENSG00000115414/ENSG00000185022"
"GO:0019932","GO:0019932","second-messenger-mediated signaling",210,0.546005417689618,2.12006315635384,1.31958596854547e-10,9.09689577066036e-08,7.13097312212666e-08,1969,"tags=28%, list=13%, signal=24%","ENSG00000012124/ENSG00000160683/ENSG00000115641/ENSG00000072954/ENSG00000182759/ENSG00000156097/ENSG00000137801/ENSG00000163794/ENSG00000007908/ENSG00000136931/ENSG00000185149/ENSG00000163273/ENSG00000175471/ENSG00000017427/ENSG00000106128/ENSG00000158856/ENSG00000174600/ENSG00000115956/ENSG00000158856/ENSG00000184451/ENSG00000171532/ENSG00000162692/ENSG00000167100/ENSG00000176170/ENSG00000172399/ENSG00000244165/ENSG00000147246/ENSG00000122420/ENSG00000177791/ENSG00000133019/ENSG00000078295/ENSG00000101850/ENSG00000135744/ENSG00000171408/ENSG00000068383/ENSG00000173585/ENSG00000118160/ENSG00000071282/ENSG00000186642/ENSG00000114757/ENSG00000196639/ENSG00000173578/ENSG00000151067/ENSG00000109991/ENSG00000188906/ENSG00000183134/ENSG00000186810/ENSG00000068024/ENSG00000171435/ENSG00000175471/ENSG00000273079/ENSG00000127129/ENSG00000168959/ENSG00000010671/ENSG00000148730/ENSG00000156097/ENSG00000079337/ENSG00000127129/ENSG00000131196/ENSG00000112541/ENSG00000166148/ENSG00000112186/ENSG00000173578/ENSG00000136160/ENSG00000144891/ENSG00000169418/ENSG00000091428/ENSG00000198121/ENSG00000138193/ENSG00000118729/ENSG00000155962/ENSG00000101082/ENSG00000143318/ENSG00000169313/ENSG00000165025/ENSG00000180535/ENSG00000185532"
"GO:0003013","GO:0003013","circulatory system process",442,0.436654473699641,1.80230053878362,2.53383483204495e-10,1.55267767763643e-07,1.21712978423492e-07,1743,"tags=22%, list=11%, signal=20%","ENSG00000180509/ENSG00000244734/ENSG00000207864/ENSG00000244734/ENSG00000244734/ENSG00000151617/ENSG00000171564/ENSG00000163217/ENSG00000072954/ENSG00000167711/ENSG00000171557/ENSG00000274286/ENSG00000157103/ENSG00000113749/ENSG00000244734/ENSG00000163794/ENSG00000130598/ENSG00000185313/ENSG00000105605/ENSG00000152779/ENSG00000171385/ENSG00000163273/ENSG00000151617/ENSG00000244734/ENSG00000106511/ENSG00000112499/ENSG00000075461/ENSG00000054598/ENSG00000059804/ENSG00000163217/ENSG00000108878/ENSG00000162989/ENSG00000149131/ENSG00000167711/ENSG00000129682/ENSG00000095303/ENSG00000113389/ENSG00000174059/ENSG00000100292/ENSG00000135312/ENSG00000184845/ENSG00000123454/ENSG00000122585/ENSG00000182533/ENSG00000244734/ENSG00000103647/ENSG00000118432/ENSG00000163406/ENSG00000111245/ENSG00000244734/ENSG00000111199/ENSG00000177674/ENSG00000164532/ENSG00000128271/ENSG00000164326/ENSG00000185313/ENSG00000121064/ENSG00000133019/ENSG00000067191/ENSG00000151702/ENSG00000102032/ENSG00000171303/ENSG00000173826/ENSG00000162545/ENSG00000135744/ENSG00000198734/ENSG00000181072/ENSG00000145244/ENSG00000079215/ENSG00000175084/ENSG00000130037/ENSG00000101160/ENSG00000188338/ENSG00000043591/ENSG00000087258/ENSG00000118160/ENSG00000186642/ENSG00000183072/ENSG00000150594/ENSG00000196639/ENSG00000113749/ENSG00000036828/ENSG00000151067/ENSG00000184113/ENSG00000128165/ENSG00000105711/ENSG00000149452/ENSG00000139567/ENSG00000145147/ENSG00000142408/ENSG00000102468/ENSG00000120907/ENSG00000115902/ENSG00000102683/ENSG00000188338/ENSG00000106688/ENSG00000068024/ENSG00000183087/ENSG00000137509/ENSG00000128917/ENSG00000265107/ENSG00000151229/ENSG00000127129/ENSG00000265107/ENSG00000137491/ENSG00000130427/ENSG00000182963/ENSG00000096968/ENSG00000168398/ENSG00000128271/ENSG00000136717/ENSG00000169252/ENSG00000112499/ENSG00000169836/ENSG00000127129/ENSG00000072274/ENSG00000130598/ENSG00000163817/ENSG00000159167/ENSG00000006283/ENSG00000149575/ENSG00000176387/ENSG00000166148/ENSG00000100311/ENSG00000158296/ENSG00000136160/ENSG00000144891/ENSG00000150594/ENSG00000169418/ENSG00000101405/ENSG00000151577/ENSG00000118729/ENSG00000075213/ENSG00000059804/ENSG00000155962/ENSG00000147100/ENSG00000166825"
"GO:0006873","GO:0006873","cellular ion homeostasis",464,0.430872814674066,1.78722285977706,4.66576739389359e-10,2.57317071773232e-07,2.01708491439168e-07,1750,"tags=19%, list=11%, signal=17%","ENSG00000171522/ENSG00000155886/ENSG00000160683/ENSG00000012223/ENSG00000125910/ENSG00000151617/ENSG00000175868/ENSG00000115616/ENSG00000110169/ENSG00000072954/ENSG00000158578/ENSG00000004939/ENSG00000168509/ENSG00000131183/ENSG00000079689/ENSG00000185149/ENSG00000151617/ENSG00000164756/ENSG00000128285/ENSG00000133789/ENSG00000047457/ENSG00000069018/ENSG00000204882/ENSG00000174600/ENSG00000112936/ENSG00000187258/ENSG00000184451/ENSG00000134830/ENSG00000100292/ENSG00000135312/ENSG00000184845/ENSG00000136997/ENSG00000179348/ENSG00000182533/ENSG00000113739/ENSG00000008196/ENSG00000179331/ENSG00000118432/ENSG00000111199/ENSG00000125510/ENSG00000148346/ENSG00000147246/ENSG00000148346/ENSG00000122420/ENSG00000071967/ENSG00000197696/ENSG00000171303/ENSG00000166501/ENSG00000120280/ENSG00000162438/ENSG00000104369/ENSG00000136867/ENSG00000130037/ENSG00000173585/ENSG00000118160/ENSG00000178623/ENSG00000069696/ENSG00000173578/ENSG00000036828/ENSG00000151067/ENSG00000088836/ENSG00000068724/ENSG00000078589/ENSG00000171522/ENSG00000204442/ENSG00000109991/ENSG00000188906/ENSG00000102468/ENSG00000120907/ENSG00000172137/ENSG00000186810/ENSG00000106688/ENSG00000170890/ENSG00000138449/ENSG00000176720/ENSG00000112077/ENSG00000273079/ENSG00000127129/ENSG00000168959/ENSG00000071553/ENSG00000079689/ENSG00000130427/ENSG00000113732/ENSG00000096968/ENSG00000168398/ENSG00000049860/ENSG00000154127/ENSG00000162946/ENSG00000164220/ENSG00000127129/ENSG00000072274/ENSG00000159167/ENSG00000133107/ENSG00000166148/ENSG00000185989/ENSG00000166501/ENSG00000123892/ENSG00000198959/ENSG00000133789/ENSG00000173578/ENSG00000136160/ENSG00000174343/ENSG00000175197/ENSG00000144891/ENSG00000101405/ENSG00000198121/ENSG00000151577/ENSG00000138193/ENSG00000089060/ENSG00000118729/ENSG00000155962/ENSG00000225697/ENSG00000143553"
