"","X","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","immune_system_processes","inflammatory_response","regulation_of_immune_system_processes","regulation_of_inflammatory_response"
"GO:0000280","GO:0000280","GO:0000280","nuclear division",293,-0.568018299003411,-1.89561193390777,1e-10,3.93928571428571e-08,3.09473684210526e-08,2741,"tags=40%, list=18%, signal=33%","ENSG00000089053/ENSG00000116213/ENSG00000119906/ENSG00000178966/ENSG00000168556/ENSG00000072864/ENSG00000114251/ENSG00000154473/ENSG00000183765/ENSG00000133302/ENSG00000134278/ENSG00000113522/ENSG00000068796/ENSG00000079616/ENSG00000127564/ENSG00000185627/ENSG00000181773/ENSG00000113456/ENSG00000164114/ENSG00000188425/ENSG00000149311/ENSG00000108106/ENSG00000068796/ENSG00000132436/ENSG00000112941/ENSG00000072864/ENSG00000083535/ENSG00000172113/ENSG00000179218/ENSG00000196074/ENSG00000104983/ENSG00000101350/ENSG00000154429/ENSG00000154229/ENSG00000107831/ENSG00000053900/ENSG00000154920/ENSG00000162039/ENSG00000054796/ENSG00000124006/ENSG00000163806/ENSG00000212916/ENSG00000103056/ENSG00000181085/ENSG00000141255/ENSG00000086065/ENSG00000146670/ENSG00000143228/ENSG00000178295/ENSG00000136492/ENSG00000074054/ENSG00000085999/ENSG00000198765/ENSG00000198901/ENSG00000288000/ENSG00000173715/ENSG00000077935/ENSG00000051180/ENSG00000161800/ENSG00000173809/ENSG00000198901/ENSG00000167842/ENSG00000120498/ENSG00000124688/ENSG00000164109/ENSG00000136982/ENSG00000237649/ENSG00000138411/ENSG00000136824/ENSG00000138182/ENSG00000010292/ENSG00000143452/ENSG00000129810/ENSG00000172680/ENSG00000204410/ENSG00000133101/ENSG00000149503/ENSG00000124205/ENSG00000040275/ENSG00000161800/ENSG00000100918/ENSG00000112029/ENSG00000152670/ENSG00000249961/ENSG00000128944/ENSG00000175063/ENSG00000137090/ENSG00000121152/ENSG00000163611/ENSG00000178999/ENSG00000136122/ENSG00000101057/ENSG00000100814/ENSG00000118193/ENSG00000088325/ENSG00000148773/ENSG00000146918/ENSG00000177602/ENSG00000011426/ENSG00000131747/ENSG00000197275/ENSG00000138182/ENSG00000137807/ENSG00000152670/ENSG00000121621/ENSG00000066923/ENSG00000170312/ENSG00000109805/ENSG00000128789/ENSG00000090889/ENSG00000160207/ENSG00000126787/ENSG00000137807/ENSG00000013810/ENSG00000117724/ENSG00000077935/ENSG00000157456/ENSG00000138778/ENSG00000087586/ENSG00000112742/ENSG00000169679/ENSG00000117650/ENSG00000198901/ENSG00000134057/ENSG00000168802/ENSG00000134690/ENSG00000166851/ENSG00000188425/ENSG00000156509/ENSG00000113575/ENSG00000080986/ENSG00000123219/ENSG00000138798/ENSG00000107831","FALSE","FALSE","FALSE","FALSE"
"GO:0006260","GO:0006260","GO:0006260","DNA replication",216,-0.590444476385699,-1.93583100736014,1e-10,3.93928571428571e-08,3.09473684210526e-08,3159,"tags=46%, list=21%, signal=37%","ENSG00000187790/ENSG00000138311/ENSG00000166508/ENSG00000263761/ENSG00000140534/ENSG00000121988/ENSG00000020922/ENSG00000138376/ENSG00000167325/ENSG00000111653/ENSG00000035928/ENSG00000177302/ENSG00000204371/ENSG00000049541/ENSG00000111445/ENSG00000106399/ENSG00000178966/ENSG00000128951/ENSG00000198783/ENSG00000151164/ENSG00000135336/ENSG00000168411/ENSG00000131153/ENSG00000183765/ENSG00000062822/ENSG00000113522/ENSG00000092853/ENSG00000147601/ENSG00000100297/ENSG00000205835/ENSG00000140451/ENSG00000256525/ENSG00000134452/ENSG00000113456/ENSG00000149311/ENSG00000149136/ENSG00000006634/ENSG00000172613/ENSG00000101868/ENSG00000101347/ENSG00000146143/ENSG00000163918/ENSG00000112312/ENSG00000159147/ENSG00000154920/ENSG00000162521/ENSG00000112118/ENSG00000174371/ENSG00000048392/ENSG00000065328/ENSG00000132740/ENSG00000189057/ENSG00000138375/ENSG00000097046/ENSG00000285816/ENSG00000160949/ENSG00000133119/ENSG00000160957/ENSG00000163781/ENSG00000152193/ENSG00000178295/ENSG00000136492/ENSG00000117748/ENSG00000111877/ENSG00000119335/ENSG00000076003/ENSG00000115942/ENSG00000106028/ENSG00000198554/ENSG00000178460/ENSG00000143971/ENSG00000051180/ENSG00000073111/ENSG00000181938/ENSG00000167670/ENSG00000132646/ENSG00000204086/ENSG00000104738/ENSG00000132780/ENSG00000147536/ENSG00000161610/ENSG00000171848/ENSG00000166803/ENSG00000136982/ENSG00000132383/ENSG00000105486/ENSG00000167325/ENSG00000129173/ENSG00000162599/ENSG00000162599/ENSG00000112029/ENSG00000013573/ENSG00000143476/ENSG00000159259/ENSG00000164815/ENSG00000183763/ENSG00000171320/ENSG00000146263/ENSG00000165891/ENSG00000170312/ENSG00000145386/ENSG00000146648/ENSG00000161692/ENSG00000168802/ENSG00000111328/ENSG00000111732/ENSG00000100479/ENSG00000113575/ENSG00000138798","FALSE","FALSE","FALSE","FALSE"
"GO:0006281","GO:0006281","GO:0006281","DNA repair",415,-0.517519823052868,-1.75984705884092,1e-10,3.93928571428571e-08,3.09473684210526e-08,4015,"tags=44%, list=26%, signal=33%","ENSG00000140718/ENSG00000067369/ENSG00000104889/ENSG00000163840/ENSG00000004700/ENSG00000111358/ENSG00000185122/ENSG00000113318/ENSG00000093009/ENSG00000168090/ENSG00000076242/ENSG00000141510/ENSG00000110107/ENSG00000069275/ENSG00000175073/ENSG00000140455/ENSG00000108055/ENSG00000103152/ENSG00000154767/ENSG00000164190/ENSG00000165280/ENSG00000145736/ENSG00000010295/ENSG00000166199/ENSG00000118655/ENSG00000100823/ENSG00000225830/ENSG00000141030/ENSG00000084073/ENSG00000105325/ENSG00000110768/ENSG00000123562/ENSG00000102978/ENSG00000187555/ENSG00000070950/ENSG00000083642/ENSG00000152457/ENSG00000115274/ENSG00000187790/ENSG00000138311/ENSG00000164754/ENSG00000128513/ENSG00000166508/ENSG00000198924/ENSG00000166848/ENSG00000163961/ENSG00000149923/ENSG00000101442/ENSG00000012061/ENSG00000140534/ENSG00000121988/ENSG00000178028/ENSG00000096717/ENSG00000020922/ENSG00000054965/ENSG00000138376/ENSG00000137337/ENSG00000004487/ENSG00000143799/ENSG00000078900/ENSG00000035928/ENSG00000163104/ENSG00000068878/ENSG00000172273/ENSG00000136319/ENSG00000119906/ENSG00000183624/ENSG00000049541/ENSG00000111445/ENSG00000106399/ENSG00000178966/ENSG00000183161/ENSG00000115392/ENSG00000087206/ENSG00000169592/ENSG00000198783/ENSG00000151164/ENSG00000168411/ENSG00000131153/ENSG00000183765/ENSG00000133302/ENSG00000134278/ENSG00000062822/ENSG00000113522/ENSG00000092853/ENSG00000079616/ENSG00000130726/ENSG00000100297/ENSG00000140451/ENSG00000256525/ENSG00000077152/ENSG00000221829/ENSG00000116717/ENSG00000134452/ENSG00000115233/ENSG00000113456/ENSG00000011485/ENSG00000189403/ENSG00000116062/ENSG00000149311/ENSG00000147400/ENSG00000170430/ENSG00000132436/ENSG00000112941/ENSG00000149136/ENSG00000198690/ENSG00000112039/ENSG00000172613/ENSG00000214941/ENSG00000064655/ENSG00000156384/ENSG00000101868/ENSG00000101347/ENSG00000175792/ENSG00000163918/ENSG00000160117/ENSG00000154920/ENSG00000162039/ENSG00000112118/ENSG00000174371/ENSG00000048392/ENSG00000140525/ENSG00000109674/ENSG00000054796/ENSG00000132740/ENSG00000136518/ENSG00000138375/ENSG00000125319/ENSG00000097046/ENSG00000188486/ENSG00000070193/ENSG00000141255/ENSG00000160949/ENSG00000183207/ENSG00000133119/ENSG00000160957/ENSG00000163781/ENSG00000146670/ENSG00000178295/ENSG00000158169/ENSG00000136492/ENSG00000117748/ENSG00000163029/ENSG00000111877/ENSG00000181544/ENSG00000085999/ENSG00000089280/ENSG00000198765/ENSG00000076003/ENSG00000095002/ENSG00000198554/ENSG00000178460/ENSG00000143971/ENSG00000185504/ENSG00000164104/ENSG00000109685/ENSG00000051180/ENSG00000073111/ENSG00000167670/ENSG00000196584/ENSG00000132646/ENSG00000204086/ENSG00000111802/ENSG00000104738/ENSG00000276043/ENSG00000147536/ENSG00000083093/ENSG00000166803/ENSG00000197837/ENSG00000124795/ENSG00000132383/ENSG00000129355/ENSG00000076248/ENSG00000188486/ENSG00000175854/ENSG00000105486/ENSG00000204410/ENSG00000177143/ENSG00000100918/ENSG00000013573/ENSG00000163312/ENSG00000143476/ENSG00000159259/ENSG00000188486/ENSG00000197275/ENSG00000183763/ENSG00000171320/ENSG00000146263/ENSG00000170312/ENSG00000160207/ENSG00000146648/ENSG00000111206/ENSG00000185480/ENSG00000111802/ENSG00000100479/ENSG00000101204/ENSG00000104313","FALSE","FALSE","FALSE","FALSE"
"GO:0007059","GO:0007059","GO:0007059","chromosome segregation",228,-0.607505523519601,-1.98811504922772,1e-10,3.93928571428571e-08,3.09473684210526e-08,3255,"tags=42%, list=21%, signal=33%","ENSG00000070950/ENSG00000083642/ENSG00000058804/ENSG00000130724/ENSG00000187790/ENSG00000164754/ENSG00000175334/ENSG00000213024/ENSG00000131462/ENSG00000198586/ENSG00000020922/ENSG00000144535/ENSG00000086827/ENSG00000163104/ENSG00000182628/ENSG00000177302/ENSG00000089053/ENSG00000116213/ENSG00000119906/ENSG00000178966/ENSG00000072864/ENSG00000179051/ENSG00000152253/ENSG00000154473/ENSG00000133302/ENSG00000079616/ENSG00000149311/ENSG00000112941/ENSG00000072864/ENSG00000083535/ENSG00000196074/ENSG00000053900/ENSG00000154920/ENSG00000162039/ENSG00000160602/ENSG00000054796/ENSG00000075188/ENSG00000212916/ENSG00000181085/ENSG00000141255/ENSG00000086065/ENSG00000146670/ENSG00000143228/ENSG00000178295/ENSG00000136492/ENSG00000163029/ENSG00000198765/ENSG00000198901/ENSG00000077935/ENSG00000161800/ENSG00000198901/ENSG00000167842/ENSG00000120498/ENSG00000124688/ENSG00000164109/ENSG00000136982/ENSG00000237649/ENSG00000138411/ENSG00000136824/ENSG00000114346/ENSG00000010292/ENSG00000143452/ENSG00000129810/ENSG00000172680/ENSG00000149503/ENSG00000159055/ENSG00000040275/ENSG00000161800/ENSG00000100918/ENSG00000112029/ENSG00000013573/ENSG00000249961/ENSG00000128944/ENSG00000175063/ENSG00000166451/ENSG00000121152/ENSG00000102901/ENSG00000163611/ENSG00000178999/ENSG00000100814/ENSG00000089685/ENSG00000118193/ENSG00000148773/ENSG00000146918/ENSG00000177602/ENSG00000131747/ENSG00000137807/ENSG00000171320/ENSG00000121621/ENSG00000066923/ENSG00000109805/ENSG00000128789/ENSG00000090889/ENSG00000126787/ENSG00000137807/ENSG00000013810/ENSG00000117724/ENSG00000077935/ENSG00000138778/ENSG00000112742/ENSG00000169679/ENSG00000117650/ENSG00000198901/ENSG00000134057/ENSG00000168802/ENSG00000134690/ENSG00000166851/ENSG00000080986/ENSG00000123219","FALSE","FALSE","FALSE","FALSE"
"GO:0007596","GO:0007596","GO:0007596","blood coagulation",225,0.545312522663751,2.19918957845345,1e-10,3.93928571428571e-08,3.09473684210526e-08,1657,"tags=24%, list=11%, signal=22%","ENSG00000244734/ENSG00000101981/ENSG00000244734/ENSG00000244734/ENSG00000171564/ENSG00000178732/ENSG00000171557/ENSG00000167711/ENSG00000213931/ENSG00000004939/ENSG00000137801/ENSG00000244734/ENSG00000274286/ENSG00000124491/ENSG00000213931/ENSG00000244734/ENSG00000117601/ENSG00000057593/ENSG00000149131/ENSG00000091583/ENSG00000213931/ENSG00000244734/ENSG00000069018/ENSG00000167711/ENSG00000043462/ENSG00000115956/ENSG00000158856/ENSG00000158856/ENSG00000174059/ENSG00000160323/ENSG00000169704/ENSG00000196415/ENSG00000179348/ENSG00000164690/ENSG00000198734/ENSG00000166501/ENSG00000244734/ENSG00000237412/ENSG00000140093/ENSG00000142615/ENSG00000099937/ENSG00000109991/ENSG00000150594/ENSG00000057593/ENSG00000196415/ENSG00000128271/ENSG00000128271/ENSG00000141968/ENSG00000126218/ENSG00000169313/ENSG00000213931/ENSG00000160999/ENSG00000110080/ENSG00000137509/ENSG00000189114/ENSG00000183087/ENSG00000164220/ENSG00000165059/ENSG00000154127/ENSG00000149781/ENSG00000126231/ENSG00000198517/ENSG00000096968/ENSG00000109758/ENSG00000165025/ENSG00000153208/ENSG00000166501/ENSG00000105825/ENSG00000197461/ENSG00000110756","FALSE","FALSE","FALSE","FALSE"
"GO:0007599","GO:0007599","GO:0007599","hemostasis",228,0.544179783059541,2.19641114357451,1e-10,3.93928571428571e-08,3.09473684210526e-08,1657,"tags=24%, list=11%, signal=22%","ENSG00000244734/ENSG00000101981/ENSG00000244734/ENSG00000244734/ENSG00000171564/ENSG00000178732/ENSG00000171557/ENSG00000167711/ENSG00000213931/ENSG00000004939/ENSG00000137801/ENSG00000244734/ENSG00000274286/ENSG00000124491/ENSG00000213931/ENSG00000244734/ENSG00000117601/ENSG00000057593/ENSG00000149131/ENSG00000091583/ENSG00000213931/ENSG00000244734/ENSG00000069018/ENSG00000167711/ENSG00000043462/ENSG00000115956/ENSG00000158856/ENSG00000158856/ENSG00000174059/ENSG00000160323/ENSG00000169704/ENSG00000196415/ENSG00000179348/ENSG00000164690/ENSG00000198734/ENSG00000166501/ENSG00000151702/ENSG00000244734/ENSG00000237412/ENSG00000140093/ENSG00000142615/ENSG00000099937/ENSG00000109991/ENSG00000150594/ENSG00000057593/ENSG00000196415/ENSG00000128271/ENSG00000128271/ENSG00000141968/ENSG00000126218/ENSG00000169313/ENSG00000213931/ENSG00000160999/ENSG00000110080/ENSG00000137509/ENSG00000189114/ENSG00000183087/ENSG00000164220/ENSG00000165059/ENSG00000154127/ENSG00000149781/ENSG00000126231/ENSG00000198517/ENSG00000096968/ENSG00000109758/ENSG00000165025/ENSG00000153208/ENSG00000166501/ENSG00000105825/ENSG00000197461/ENSG00000110756","FALSE","FALSE","FALSE","FALSE"
"GO:0009611","GO:0009611","GO:0009611","response to wounding",438,0.434478308463716,1.8469073081247,1e-10,3.93928571428571e-08,3.09473684210526e-08,1694,"tags=18%, list=11%, signal=16%","ENSG00000244734/ENSG00000143954/ENSG00000101981/ENSG00000244734/ENSG00000244734/ENSG00000171564/ENSG00000178732/ENSG00000171557/ENSG00000167711/ENSG00000213931/ENSG00000004939/ENSG00000137801/ENSG00000244734/ENSG00000274286/ENSG00000124491/ENSG00000213931/ENSG00000040608/ENSG00000244734/ENSG00000117601/ENSG00000057593/ENSG00000149131/ENSG00000091583/ENSG00000172037/ENSG00000213931/ENSG00000162552/ENSG00000142871/ENSG00000244734/ENSG00000069018/ENSG00000167711/ENSG00000043462/ENSG00000115956/ENSG00000113721/ENSG00000017427/ENSG00000132703/ENSG00000158856/ENSG00000158856/ENSG00000189143/ENSG00000174059/ENSG00000160323/ENSG00000100292/ENSG00000169704/ENSG00000196581/ENSG00000196415/ENSG00000179348/ENSG00000182533/ENSG00000164690/ENSG00000099250/ENSG00000124762/ENSG00000198734/ENSG00000166501/ENSG00000244734/ENSG00000277586/ENSG00000138639/ENSG00000237412/ENSG00000140093/ENSG00000142615/ENSG00000099937/ENSG00000134954/ENSG00000109991/ENSG00000150594/ENSG00000057593/ENSG00000196415/ENSG00000128271/ENSG00000117318/ENSG00000128271/ENSG00000141968/ENSG00000126218/ENSG00000169313/ENSG00000213931/ENSG00000189143/ENSG00000139567/ENSG00000160999/ENSG00000106688/ENSG00000110080/ENSG00000137509/ENSG00000189114/ENSG00000152518/ENSG00000183087/ENSG00000164220/ENSG00000076706/ENSG00000165059/ENSG00000103175/ENSG00000163513/ENSG00000154127/ENSG00000149781/ENSG00000126231/ENSG00000112562/ENSG00000154764/ENSG00000198517/ENSG00000096968/ENSG00000109758/ENSG00000182704/ENSG00000111145/ENSG00000185924/ENSG00000165025/ENSG00000153208/ENSG00000166501/ENSG00000105825/ENSG00000189058/ENSG00000197461/ENSG00000110756/ENSG00000137261/ENSG00000111186","FALSE","FALSE","FALSE","FALSE"
"GO:0042060","GO:0042060","GO:0042060","wound healing",352,0.493697642611246,2.08226398304886,1e-10,3.93928571428571e-08,3.09473684210526e-08,1657,"tags=20%, list=11%, signal=18%","ENSG00000244734/ENSG00000143954/ENSG00000101981/ENSG00000244734/ENSG00000244734/ENSG00000171564/ENSG00000178732/ENSG00000171557/ENSG00000167711/ENSG00000213931/ENSG00000004939/ENSG00000137801/ENSG00000244734/ENSG00000274286/ENSG00000124491/ENSG00000213931/ENSG00000244734/ENSG00000117601/ENSG00000057593/ENSG00000149131/ENSG00000091583/ENSG00000213931/ENSG00000162552/ENSG00000142871/ENSG00000244734/ENSG00000069018/ENSG00000167711/ENSG00000043462/ENSG00000115956/ENSG00000113721/ENSG00000017427/ENSG00000132703/ENSG00000158856/ENSG00000158856/ENSG00000189143/ENSG00000174059/ENSG00000160323/ENSG00000100292/ENSG00000169704/ENSG00000196581/ENSG00000196415/ENSG00000179348/ENSG00000182533/ENSG00000164690/ENSG00000124762/ENSG00000198734/ENSG00000166501/ENSG00000244734/ENSG00000138639/ENSG00000237412/ENSG00000140093/ENSG00000142615/ENSG00000099937/ENSG00000134954/ENSG00000109991/ENSG00000150594/ENSG00000057593/ENSG00000196415/ENSG00000128271/ENSG00000128271/ENSG00000141968/ENSG00000126218/ENSG00000169313/ENSG00000213931/ENSG00000189143/ENSG00000139567/ENSG00000160999/ENSG00000110080/ENSG00000137509/ENSG00000189114/ENSG00000183087/ENSG00000164220/ENSG00000076706/ENSG00000165059/ENSG00000103175/ENSG00000163513/ENSG00000154127/ENSG00000149781/ENSG00000126231/ENSG00000112562/ENSG00000154764/ENSG00000198517/ENSG00000096968/ENSG00000109758/ENSG00000182704/ENSG00000111145/ENSG00000165025/ENSG00000153208/ENSG00000166501/ENSG00000105825/ENSG00000197461/ENSG00000110756","FALSE","FALSE","FALSE","FALSE"
"GO:0044782","GO:0044782","GO:0044782","cilium organization",290,-0.583363506682847,-1.94497530347243,1e-10,3.93928571428571e-08,3.09473684210526e-08,3371,"tags=51%, list=22%, signal=41%","ENSG00000007168/ENSG00000175216/ENSG00000129295/ENSG00000106477/ENSG00000007168/ENSG00000179941/ENSG00000149483/ENSG00000084731/ENSG00000198718/ENSG00000118096/ENSG00000119977/ENSG00000171811/ENSG00000144451/ENSG00000104237/ENSG00000148019/ENSG00000214413/ENSG00000169379/ENSG00000131462/ENSG00000188229/ENSG00000138175/ENSG00000048342/ENSG00000167552/ENSG00000100078/ENSG00000117245/ENSG00000070761/ENSG00000135931/ENSG00000205084/ENSG00000196659/ENSG00000156313/ENSG00000143951/ENSG00000116213/ENSG00000130638/ENSG00000087903/ENSG00000117155/ENSG00000122970/ENSG00000072864/ENSG00000119333/ENSG00000187240/ENSG00000075945/ENSG00000196230/ENSG00000164066/ENSG00000205835/ENSG00000168385/ENSG00000123607/ENSG00000131437/ENSG00000169126/ENSG00000187535/ENSG00000105948/ENSG00000213397/ENSG00000147400/ENSG00000137601/ENSG00000173588/ENSG00000175970/ENSG00000160401/ENSG00000155530/ENSG00000111837/ENSG00000112144/ENSG00000072864/ENSG00000083535/ENSG00000166596/ENSG00000167461/ENSG00000136811/ENSG00000125409/ENSG00000147874/ENSG00000078668/ENSG00000122735/ENSG00000122507/ENSG00000101350/ENSG00000101222/ENSG00000180376/ENSG00000155755/ENSG00000160226/ENSG00000174225/ENSG00000135541/ENSG00000138002/ENSG00000140463/ENSG00000118965/ENSG00000113966/ENSG00000284862/ENSG00000173226/ENSG00000138686/ENSG00000214367/ENSG00000011143/ENSG00000137601/ENSG00000163913/ENSG00000162643/ENSG00000163093/ENSG00000181085/ENSG00000125863/ENSG00000213123/ENSG00000135338/ENSG00000159079/ENSG00000155761/ENSG00000176225/ENSG00000135315/ENSG00000264364/ENSG00000144061/ENSG00000074054/ENSG00000198003/ENSG00000204104/ENSG00000119661/ENSG00000100360/ENSG00000177042/ENSG00000165115/ENSG00000151849/ENSG00000188343/ENSG00000188229/ENSG00000119636/ENSG00000187049/ENSG00000188229/ENSG00000114446/ENSG00000154099/ENSG00000126870/ENSG00000105479/ENSG00000272514/ENSG00000187726/ENSG00000141577/ENSG00000118690/ENSG00000039139/ENSG00000139323/ENSG00000119661/ENSG00000137821/ENSG00000032742/ENSG00000181378/ENSG00000198331/ENSG00000119650/ENSG00000138175/ENSG00000161996/ENSG00000141013/ENSG00000122735/ENSG00000172426/ENSG00000165506/ENSG00000197603/ENSG00000079974/ENSG00000156042/ENSG00000134874/ENSG00000100490/ENSG00000136811/ENSG00000183638/ENSG00000110318/ENSG00000126001/ENSG00000117155/ENSG00000103494/ENSG00000141519/ENSG00000122417/ENSG00000024422/ENSG00000108641/ENSG00000112981/ENSG00000164675/ENSG00000158428/ENSG00000128581/ENSG00000103995/ENSG00000131351/ENSG00000244607/ENSG00000158079/ENSG00000152240/ENSG00000080572/ENSG00000141013/ENSG00000256061/ENSG00000170312/ENSG00000142731/ENSG00000160188/ENSG00000113966/ENSG00000165533/ENSG00000167858/ENSG00000144451/ENSG00000214513/ENSG00000117650/ENSG00000166851/ENSG00000152763/ENSG00000086300/ENSG00000142609/ENSG00000170264/ENSG00000138587/ENSG00000099204/ENSG00000170264/ENSG00000149483/ENSG00000169856/ENSG00000264364","FALSE","FALSE","FALSE","FALSE"
"GO:0050817","GO:0050817","GO:0050817","coagulation",226,0.544733830685214,2.19569660543722,1e-10,3.93928571428571e-08,3.09473684210526e-08,1657,"tags=24%, list=11%, signal=22%","ENSG00000244734/ENSG00000101981/ENSG00000244734/ENSG00000244734/ENSG00000171564/ENSG00000178732/ENSG00000171557/ENSG00000167711/ENSG00000213931/ENSG00000004939/ENSG00000137801/ENSG00000244734/ENSG00000274286/ENSG00000124491/ENSG00000213931/ENSG00000244734/ENSG00000117601/ENSG00000057593/ENSG00000149131/ENSG00000091583/ENSG00000213931/ENSG00000244734/ENSG00000069018/ENSG00000167711/ENSG00000043462/ENSG00000115956/ENSG00000158856/ENSG00000158856/ENSG00000174059/ENSG00000160323/ENSG00000169704/ENSG00000196415/ENSG00000179348/ENSG00000164690/ENSG00000198734/ENSG00000166501/ENSG00000244734/ENSG00000237412/ENSG00000140093/ENSG00000142615/ENSG00000099937/ENSG00000109991/ENSG00000150594/ENSG00000057593/ENSG00000196415/ENSG00000128271/ENSG00000128271/ENSG00000141968/ENSG00000126218/ENSG00000169313/ENSG00000213931/ENSG00000160999/ENSG00000110080/ENSG00000137509/ENSG00000189114/ENSG00000183087/ENSG00000164220/ENSG00000165059/ENSG00000154127/ENSG00000149781/ENSG00000126231/ENSG00000198517/ENSG00000096968/ENSG00000109758/ENSG00000165025/ENSG00000153208/ENSG00000166501/ENSG00000105825/ENSG00000197461/ENSG00000110756","FALSE","FALSE","FALSE","FALSE"
