"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation",117,-0.714216910772489,-2.25909154967081,1e-10,2.92222222222222e-08,2.25789473684211e-08,927,"tags=37%, list=7%, signal=34%","ENSG00000112941/ENSG00000143228/ENSG00000077935/ENSG00000178295/ENSG00000138411/ENSG00000146670/ENSG00000164109/ENSG00000161800/ENSG00000124688/ENSG00000198901/ENSG00000010292/ENSG00000112029/ENSG00000040275/ENSG00000136982/ENSG00000149503/ENSG00000161800/ENSG00000129810/ENSG00000237649/ENSG00000178999/ENSG00000136824/ENSG00000100918/ENSG00000121152/ENSG00000167842/ENSG00000128944/ENSG00000175063/ENSG00000118193/ENSG00000121621/ENSG00000146918/ENSG00000177602/ENSG00000137807/ENSG00000109805/ENSG00000128789/ENSG00000117724/ENSG00000137807/ENSG00000013810/ENSG00000090889/ENSG00000126787/ENSG00000198901/ENSG00000112742/ENSG00000138778/ENSG00000077935/ENSG00000169679/ENSG00000168802/ENSG00000117650/ENSG00000166851/ENSG00000134057/ENSG00000134690/ENSG00000080986/ENSG00000123219"
"GO:0000226","GO:0000226","microtubule cytoskeleton organization",404,-0.556934286841226,-1.91779090516702,1e-10,2.92222222222222e-08,2.25789473684211e-08,2168,"tags=40%, list=16%, signal=34%","ENSG00000175216/ENSG00000047410/ENSG00000152661/ENSG00000164695/ENSG00000101004/ENSG00000076826/ENSG00000109917/ENSG00000149269/ENSG00000181163/ENSG00000117155/ENSG00000102781/ENSG00000101222/ENSG00000168061/ENSG00000160789/ENSG00000086827/ENSG00000151746/ENSG00000126756/ENSG00000165280/ENSG00000176623/ENSG00000096717/ENSG00000118200/ENSG00000105948/ENSG00000172757/ENSG00000058453/ENSG00000166004/ENSG00000184368/ENSG00000169126/ENSG00000136811/ENSG00000213024/ENSG00000182628/ENSG00000115561/ENSG00000131462/ENSG00000183765/ENSG00000152253/ENSG00000019144/ENSG00000167552/ENSG00000132436/ENSG00000134278/ENSG00000131437/ENSG00000108961/ENSG00000116213/ENSG00000072864/ENSG00000131899/ENSG00000184368/ENSG00000088833/ENSG00000164114/ENSG00000151422/ENSG00000034677/ENSG00000196230/ENSG00000130640/ENSG00000101350/ENSG00000175764/ENSG00000115266/ENSG00000187446/ENSG00000179636/ENSG00000065613/ENSG00000138002/ENSG00000068796/ENSG00000204899/ENSG00000140463/ENSG00000163462/ENSG00000118690/ENSG00000131899/ENSG00000261308/ENSG00000086065/ENSG00000083535/ENSG00000122735/ENSG00000188229/ENSG00000103540/ENSG00000177082/ENSG00000124006/ENSG00000186868/ENSG00000130779/ENSG00000116717/ENSG00000108395/ENSG00000072864/ENSG00000212916/ENSG00000104983/ENSG00000198003/ENSG00000068796/ENSG00000155761/ENSG00000154429/ENSG00000213397/ENSG00000155380/ENSG00000180376/ENSG00000074054/ENSG00000160401/ENSG00000044459/ENSG00000147874/ENSG00000284862/ENSG00000104237/ENSG00000181085/ENSG00000171533/ENSG00000214367/ENSG00000102981/ENSG00000188229/ENSG00000272514/ENSG00000204104/ENSG00000136811/ENSG00000188229/ENSG00000143228/ENSG00000119661/ENSG00000162643/ENSG00000141013/ENSG00000141577/ENSG00000151849/ENSG00000181378/ENSG00000178295/ENSG00000139323/ENSG00000187726/ENSG00000039139/ENSG00000137941/ENSG00000165506/ENSG00000074935/ENSG00000110318/ENSG00000105479/ENSG00000096093/ENSG00000141519/ENSG00000122735/ENSG00000147316/ENSG00000137821/ENSG00000167216/ENSG00000084764/ENSG00000183638/ENSG00000176225/ENSG00000119661/ENSG00000164109/ENSG00000117632/ENSG00000138100/ENSG00000164118/ENSG00000196584/ENSG00000161800/ENSG00000146425/ENSG00000117155/ENSG00000131351/ENSG00000166803/ENSG00000198901/ENSG00000072832/ENSG00000103995/ENSG00000154099/ENSG00000112029/ENSG00000040275/ENSG00000126001/ENSG00000156876/ENSG00000149503/ENSG00000080572/ENSG00000161800/ENSG00000129810/ENSG00000237649/ENSG00000172426/ENSG00000178999/ENSG00000177143/ENSG00000168309/ENSG00000101057/ENSG00000166483/ENSG00000244607/ENSG00000141013/ENSG00000128944/ENSG00000131044/ENSG00000163611/ENSG00000136122/ENSG00000088325/ENSG00000121621/ENSG00000160188/ENSG00000087586/ENSG00000152240/ENSG00000137807/ENSG00000100078/ENSG00000256061/ENSG00000170312/ENSG00000112984/ENSG00000137807/ENSG00000013810/ENSG00000090889/ENSG00000126787/ENSG00000123473/ENSG00000198901/ENSG00000112742/ENSG00000157456/ENSG00000138778/ENSG00000111640/ENSG00000144451/ENSG00000117650/ENSG00000166851/ENSG00000066279/ENSG00000134057/ENSG00000162063/ENSG00000152763/ENSG00000142731/ENSG00000142609/ENSG00000080986"
"GO:0000280","GO:0000280","nuclear division",283,-0.627589159598993,-2.13011247261818,1e-10,2.92222222222222e-08,2.25789473684211e-08,2206,"tags=41%, list=17%, signal=35%","ENSG00000172113/ENSG00000133302/ENSG00000089053/ENSG00000131462/ENSG00000183765/ENSG00000132436/ENSG00000134278/ENSG00000162039/ENSG00000116213/ENSG00000072864/ENSG00000020922/ENSG00000113522/ENSG00000088833/ENSG00000164114/ENSG00000128789/ENSG00000164754/ENSG00000181773/ENSG00000175334/ENSG00000101350/ENSG00000178966/ENSG00000167244/ENSG00000196074/ENSG00000068796/ENSG00000141255/ENSG00000154473/ENSG00000185627/ENSG00000204899/ENSG00000149311/ENSG00000108106/ENSG00000086065/ENSG00000083535/ENSG00000124006/ENSG00000179218/ENSG00000053900/ENSG00000072864/ENSG00000168556/ENSG00000212916/ENSG00000127564/ENSG00000163806/ENSG00000104983/ENSG00000068796/ENSG00000154429/ENSG00000074054/ENSG00000154229/ENSG00000054796/ENSG00000181085/ENSG00000085999/ENSG00000103056/ENSG00000112941/ENSG00000143228/ENSG00000198765/ENSG00000077935/ENSG00000178295/ENSG00000173715/ENSG00000120498/ENSG00000136492/ENSG00000138411/ENSG00000146670/ENSG00000173809/ENSG00000154920/ENSG00000288000/ENSG00000051180/ENSG00000164109/ENSG00000161800/ENSG00000124688/ENSG00000198901/ENSG00000143452/ENSG00000010292/ENSG00000112029/ENSG00000040275/ENSG00000138182/ENSG00000136982/ENSG00000149503/ENSG00000133101/ENSG00000161800/ENSG00000129810/ENSG00000237649/ENSG00000204410/ENSG00000178999/ENSG00000136824/ENSG00000101057/ENSG00000137090/ENSG00000100918/ENSG00000121152/ENSG00000167842/ENSG00000197275/ENSG00000128944/ENSG00000138182/ENSG00000163611/ENSG00000175063/ENSG00000136122/ENSG00000118193/ENSG00000088325/ENSG00000121621/ENSG00000100814/ENSG00000146918/ENSG00000148773/ENSG00000177602/ENSG00000087586/ENSG00000249961/ENSG00000137807/ENSG00000131747/ENSG00000152670/ENSG00000160207/ENSG00000011426/ENSG00000170312/ENSG00000109805/ENSG00000128789/ENSG00000117724/ENSG00000137807/ENSG00000013810/ENSG00000090889/ENSG00000126787/ENSG00000198901/ENSG00000112742/ENSG00000157456/ENSG00000138778/ENSG00000077935/ENSG00000169679/ENSG00000168802/ENSG00000117650/ENSG00000166851/ENSG00000152670/ENSG00000134057/ENSG00000066923/ENSG00000156509/ENSG00000134690/ENSG00000080986/ENSG00000123219/ENSG00000017427/ENSG00000138798"
"GO:0000819","GO:0000819","sister chromatid segregation",143,-0.700702040719916,-2.2598098698798,1e-10,2.92222222222222e-08,2.25789473684211e-08,927,"tags=33%, list=7%, signal=31%","ENSG00000112941/ENSG00000143228/ENSG00000077935/ENSG00000178295/ENSG00000138411/ENSG00000146670/ENSG00000164109/ENSG00000161800/ENSG00000124688/ENSG00000198901/ENSG00000143452/ENSG00000010292/ENSG00000112029/ENSG00000040275/ENSG00000136982/ENSG00000013573/ENSG00000149503/ENSG00000161800/ENSG00000129810/ENSG00000237649/ENSG00000178999/ENSG00000136824/ENSG00000100918/ENSG00000121152/ENSG00000167842/ENSG00000128944/ENSG00000175063/ENSG00000118193/ENSG00000121621/ENSG00000146918/ENSG00000177602/ENSG00000137807/ENSG00000131747/ENSG00000171320/ENSG00000109805/ENSG00000128789/ENSG00000117724/ENSG00000137807/ENSG00000013810/ENSG00000090889/ENSG00000126787/ENSG00000198901/ENSG00000112742/ENSG00000138778/ENSG00000077935/ENSG00000169679/ENSG00000168802/ENSG00000117650/ENSG00000166851/ENSG00000134057/ENSG00000066923/ENSG00000134690/ENSG00000080986/ENSG00000123219"
"GO:0002274","GO:0002274","myeloid leukocyte activation",396,0.411181860378143,1.94037932590843,1e-10,2.92222222222222e-08,2.25789473684211e-08,1797,"tags=24%, list=14%, signal=22%","ENSG00000244734/ENSG00000196664/ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000137801/ENSG00000127951/ENSG00000103196/ENSG00000123146/ENSG00000261371/ENSG00000100292/ENSG00000140678/ENSG00000143119/ENSG00000101160/ENSG00000148346/ENSG00000148346/ENSG00000104419/ENSG00000244734/ENSG00000173372/ENSG00000064601/ENSG00000066336/ENSG00000127129/ENSG00000043462/ENSG00000110934/ENSG00000163191/ENSG00000170266/ENSG00000196415/ENSG00000010671/ENSG00000101425/ENSG00000137509/ENSG00000001036/ENSG00000185475/ENSG00000188906/ENSG00000109861/ENSG00000198805/ENSG00000092531/ENSG00000165025/ENSG00000118432/ENSG00000104763/ENSG00000241839/ENSG00000177105/ENSG00000051620/ENSG00000049860/ENSG00000158825/ENSG00000109323/ENSG00000038002/ENSG00000023697/ENSG00000102393/ENSG00000174130/ENSG00000110719/ENSG00000066336/ENSG00000096968/ENSG00000164713/ENSG00000130038/ENSG00000000938/ENSG00000033327/ENSG00000196743/ENSG00000197746/ENSG00000137265/ENSG00000085719/ENSG00000128340/ENSG00000165168/ENSG00000033627/ENSG00000139370/ENSG00000108405/ENSG00000141012/ENSG00000125810/ENSG00000164733/ENSG00000103544/ENSG00000151651/ENSG00000197081/ENSG00000077585/ENSG00000185896/ENSG00000204472/ENSG00000204386/ENSG00000160255/ENSG00000100299/ENSG00000124126/ENSG00000093072/ENSG00000134516/ENSG00000196415/ENSG00000184599/ENSG00000143162/ENSG00000127329/ENSG00000101916/ENSG00000105514/ENSG00000110442/ENSG00000114520/ENSG00000163513/ENSG00000100554/ENSG00000157404/ENSG00000255587/ENSG00000198805/ENSG00000138246/ENSG00000180448/ENSG00000164251/ENSG00000172057/ENSG00000197548/ENSG00000115828/ENSG00000080824/ENSG00000130038/ENSG00000165102/ENSG00000204386/ENSG00000100284/ENSG00000127129/ENSG00000115607/ENSG00000179348/ENSG00000005893/ENSG00000183020/ENSG00000160796/ENSG00000168214/ENSG00000166825/ENSG00000025434/ENSG00000126368/ENSG00000068001/ENSG00000139725/ENSG00000183020/ENSG00000171132/ENSG00000148444/ENSG00000156127"
"GO:0006260","GO:0006260","DNA replication",209,-0.633366818954546,-2.11581140868349,1e-10,2.92222222222222e-08,2.25789473684211e-08,2506,"tags=47%, list=19%, signal=38%","ENSG00000121988/ENSG00000140521/ENSG00000004700/ENSG00000107815/ENSG00000084073/ENSG00000113318/ENSG00000177302/ENSG00000069275/ENSG00000187790/ENSG00000035928/ENSG00000111445/ENSG00000172613/ENSG00000140534/ENSG00000183765/ENSG00000176208/ENSG00000161036/ENSG00000020922/ENSG00000113522/ENSG00000147601/ENSG00000204371/ENSG00000128951/ENSG00000167325/ENSG00000138311/ENSG00000168411/ENSG00000256525/ENSG00000178966/ENSG00000049541/ENSG00000165283/ENSG00000198783/ENSG00000062822/ENSG00000065328/ENSG00000131153/ENSG00000134452/ENSG00000140451/ENSG00000163918/ENSG00000006634/ENSG00000149311/ENSG00000149136/ENSG00000135336/ENSG00000101347/ENSG00000106399/ENSG00000097046/ENSG00000138375/ENSG00000132740/ENSG00000152193/ENSG00000146143/ENSG00000048392/ENSG00000162521/ENSG00000119335/ENSG00000138376/ENSG00000285816/ENSG00000092853/ENSG00000174371/ENSG00000101868/ENSG00000106028/ENSG00000115942/ENSG00000178460/ENSG00000163781/ENSG00000160957/ENSG00000160949/ENSG00000189057/ENSG00000100297/ENSG00000143971/ENSG00000112118/ENSG00000178295/ENSG00000136492/ENSG00000133119/ENSG00000112312/ENSG00000111877/ENSG00000154920/ENSG00000181938/ENSG00000117748/ENSG00000051180/ENSG00000198554/ENSG00000159147/ENSG00000104738/ENSG00000132646/ENSG00000076003/ENSG00000166803/ENSG00000167670/ENSG00000132383/ENSG00000112029/ENSG00000105486/ENSG00000147536/ENSG00000136982/ENSG00000013573/ENSG00000073111/ENSG00000171848/ENSG00000132780/ENSG00000164815/ENSG00000165891/ENSG00000167325/ENSG00000129173/ENSG00000146263/ENSG00000159259/ENSG00000171320/ENSG00000170312/ENSG00000162599/ENSG00000143476/ENSG00000183763/ENSG00000100479/ENSG00000161692/ENSG00000145386/ENSG00000168802/ENSG00000111328/ENSG00000146648/ENSG00000138798"
"GO:0006261","GO:0006261","DNA-dependent DNA replication",120,-0.688011523932544,-2.18135619314107,1e-10,2.92222222222222e-08,2.25789473684211e-08,2506,"tags=58%, list=19%, signal=47%","ENSG00000121988/ENSG00000140521/ENSG00000004700/ENSG00000107815/ENSG00000084073/ENSG00000113318/ENSG00000069275/ENSG00000187790/ENSG00000035928/ENSG00000111445/ENSG00000140534/ENSG00000183765/ENSG00000161036/ENSG00000020922/ENSG00000147601/ENSG00000138311/ENSG00000168411/ENSG00000256525/ENSG00000049541/ENSG00000165283/ENSG00000198783/ENSG00000062822/ENSG00000065328/ENSG00000131153/ENSG00000134452/ENSG00000163918/ENSG00000006634/ENSG00000135336/ENSG00000101347/ENSG00000106399/ENSG00000097046/ENSG00000138375/ENSG00000146143/ENSG00000285816/ENSG00000101868/ENSG00000106028/ENSG00000115942/ENSG00000178460/ENSG00000163781/ENSG00000160957/ENSG00000160949/ENSG00000100297/ENSG00000143971/ENSG00000112118/ENSG00000178295/ENSG00000133119/ENSG00000112312/ENSG00000111877/ENSG00000154920/ENSG00000181938/ENSG00000117748/ENSG00000051180/ENSG00000198554/ENSG00000159147/ENSG00000104738/ENSG00000132646/ENSG00000076003/ENSG00000132383/ENSG00000112029/ENSG00000105486/ENSG00000147536/ENSG00000136982/ENSG00000013573/ENSG00000073111/ENSG00000164815/ENSG00000165891/ENSG00000129173/ENSG00000146263/ENSG00000183763/ENSG00000100479/ENSG00000161692/ENSG00000168802/ENSG00000111328"
"GO:0006281","GO:0006281","DNA repair",407,-0.560487340667179,-1.93085710388839,1e-10,2.92222222222222e-08,2.25789473684211e-08,2936,"tags=42%, list=22%, signal=34%","ENSG00000115274/ENSG00000141030/ENSG00000128908/ENSG00000204991/ENSG00000187555/ENSG00000175073/ENSG00000067369/ENSG00000189046/ENSG00000113456/ENSG00000141510/ENSG00000130726/ENSG00000137074/ENSG00000181163/ENSG00000169188/ENSG00000152457/ENSG00000149923/ENSG00000166508/ENSG00000166848/ENSG00000102978/ENSG00000128513/ENSG00000168090/ENSG00000119906/ENSG00000079616/ENSG00000004487/ENSG00000101442/ENSG00000121988/ENSG00000140521/ENSG00000004700/ENSG00000165280/ENSG00000154767/ENSG00000096717/ENSG00000084073/ENSG00000169189/ENSG00000113318/ENSG00000069275/ENSG00000145736/ENSG00000187790/ENSG00000035928/ENSG00000169592/ENSG00000111445/ENSG00000110107/ENSG00000070950/ENSG00000172613/ENSG00000140534/ENSG00000123562/ENSG00000133302/ENSG00000183765/ENSG00000122678/ENSG00000137337/ENSG00000163104/ENSG00000087206/ENSG00000132436/ENSG00000103152/ENSG00000134278/ENSG00000162039/ENSG00000114026/ENSG00000020922/ENSG00000113522/ENSG00000166199/ENSG00000214941/ENSG00000221829/ENSG00000138311/ENSG00000164754/ENSG00000136936/ENSG00000168411/ENSG00000175792/ENSG00000256525/ENSG00000178966/ENSG00000049541/ENSG00000198783/ENSG00000062822/ENSG00000131153/ENSG00000178028/ENSG00000118655/ENSG00000143799/ENSG00000141255/ENSG00000100823/ENSG00000064655/ENSG00000136319/ENSG00000134452/ENSG00000140451/ENSG00000163918/ENSG00000183624/ENSG00000189403/ENSG00000112319/ENSG00000156384/ENSG00000115233/ENSG00000149311/ENSG00000183161/ENSG00000149136/ENSG00000115392/ENSG00000198690/ENSG00000101347/ENSG00000106399/ENSG00000183207/ENSG00000077152/ENSG00000116717/ENSG00000097046/ENSG00000011485/ENSG00000112039/ENSG00000170430/ENSG00000138375/ENSG00000132740/ENSG00000172273/ENSG00000048392/ENSG00000181544/ENSG00000163029/ENSG00000138376/ENSG00000125319/ENSG00000054796/ENSG00000092853/ENSG00000116062/ENSG00000174371/ENSG00000136518/ENSG00000101868/ENSG00000085999/ENSG00000160117/ENSG00000089280/ENSG00000158169/ENSG00000178460/ENSG00000163781/ENSG00000112941/ENSG00000109674/ENSG00000160957/ENSG00000160949/ENSG00000198765/ENSG00000140525/ENSG00000100297/ENSG00000143971/ENSG00000112118/ENSG00000178295/ENSG00000164104/ENSG00000136492/ENSG00000133119/ENSG00000095002/ENSG00000146670/ENSG00000111877/ENSG00000154920/ENSG00000117748/ENSG00000076248/ENSG00000188486/ENSG00000051180/ENSG00000198554/ENSG00000124795/ENSG00000109685/ENSG00000104738/ENSG00000196584/ENSG00000132646/ENSG00000197837/ENSG00000076003/ENSG00000166803/ENSG00000167670/ENSG00000185504/ENSG00000132383/ENSG00000083093/ENSG00000276043/ENSG00000111802/ENSG00000105486/ENSG00000147536/ENSG00000013573/ENSG00000073111/ENSG00000204410/ENSG00000175854/ENSG00000177143/ENSG00000163312/ENSG00000100918/ENSG00000129355/ENSG00000197275/ENSG00000188486/ENSG00000146263/ENSG00000159259/ENSG00000171320/ENSG00000160207/ENSG00000170312/ENSG00000143476/ENSG00000183763/ENSG00000100479/ENSG00000146648/ENSG00000185480/ENSG00000111206/ENSG00000111802/ENSG00000101204"
"GO:0006310","GO:0006310","DNA recombination",193,-0.620653482377128,-2.05649224115231,1e-10,2.92222222222222e-08,2.25789473684211e-08,2705,"tags=50%, list=20%, signal=40%","ENSG00000169188/ENSG00000152457/ENSG00000149923/ENSG00000166508/ENSG00000166848/ENSG00000004487/ENSG00000127152/ENSG00000101442/ENSG00000121988/ENSG00000004700/ENSG00000169189/ENSG00000177614/ENSG00000113318/ENSG00000069275/ENSG00000187790/ENSG00000169592/ENSG00000122678/ENSG00000163104/ENSG00000132436/ENSG00000162039/ENSG00000189060/ENSG00000020922/ENSG00000113522/ENSG00000214941/ENSG00000138311/ENSG00000164754/ENSG00000168411/ENSG00000175792/ENSG00000144034/ENSG00000178966/ENSG00000131153/ENSG00000143799/ENSG00000100823/ENSG00000134452/ENSG00000140451/ENSG00000183624/ENSG00000189403/ENSG00000156384/ENSG00000115233/ENSG00000149311/ENSG00000156502/ENSG00000187475/ENSG00000198690/ENSG00000101347/ENSG00000182481/ENSG00000106399/ENSG00000183207/ENSG00000097046/ENSG00000187475/ENSG00000132740/ENSG00000181544/ENSG00000144381/ENSG00000163029/ENSG00000211460/ENSG00000125319/ENSG00000054796/ENSG00000116062/ENSG00000174371/ENSG00000136518/ENSG00000187475/ENSG00000085999/ENSG00000089280/ENSG00000187475/ENSG00000178460/ENSG00000187475/ENSG00000160957/ENSG00000160949/ENSG00000198765/ENSG00000167136/ENSG00000100297/ENSG00000112118/ENSG00000178295/ENSG00000164104/ENSG00000173715/ENSG00000120498/ENSG00000136492/ENSG00000095002/ENSG00000111877/ENSG00000154920/ENSG00000117748/ENSG00000076248/ENSG00000188486/ENSG00000051180/ENSG00000109685/ENSG00000104738/ENSG00000196584/ENSG00000076003/ENSG00000132383/ENSG00000083093/ENSG00000147536/ENSG00000073111/ENSG00000204410/ENSG00000175854/ENSG00000163312/ENSG00000168152/ENSG00000100918/ENSG00000182481/ENSG00000197275/ENSG00000188486/ENSG00000100814/ENSG00000146263/ENSG00000131747/ENSG00000160207/ENSG00000185480/ENSG00000183324"
"GO:0007059","GO:0007059","chromosome segregation",224,-0.657438740987602,-2.20530012718533,1e-10,2.92222222222222e-08,2.25789473684211e-08,2319,"tags=40%, list=17%, signal=33%","ENSG00000177302/ENSG00000187790/ENSG00000110200/ENSG00000070950/ENSG00000213024/ENSG00000182628/ENSG00000133302/ENSG00000089053/ENSG00000131462/ENSG00000152253/ENSG00000163104/ENSG00000162039/ENSG00000116213/ENSG00000072864/ENSG00000020922/ENSG00000179051/ENSG00000128789/ENSG00000164754/ENSG00000175334/ENSG00000178966/ENSG00000196074/ENSG00000141255/ENSG00000154473/ENSG00000149311/ENSG00000086065/ENSG00000083535/ENSG00000053900/ENSG00000072864/ENSG00000212916/ENSG00000160602/ENSG00000163029/ENSG00000054796/ENSG00000181085/ENSG00000112941/ENSG00000143228/ENSG00000198765/ENSG00000075188/ENSG00000077935/ENSG00000178295/ENSG00000120498/ENSG00000136492/ENSG00000138411/ENSG00000146670/ENSG00000154920/ENSG00000164109/ENSG00000161800/ENSG00000124688/ENSG00000198901/ENSG00000143452/ENSG00000010292/ENSG00000112029/ENSG00000040275/ENSG00000136982/ENSG00000013573/ENSG00000149503/ENSG00000114346/ENSG00000161800/ENSG00000129810/ENSG00000237649/ENSG00000178999/ENSG00000136824/ENSG00000166451/ENSG00000100918/ENSG00000121152/ENSG00000167842/ENSG00000159055/ENSG00000102901/ENSG00000128944/ENSG00000163611/ENSG00000175063/ENSG00000118193/ENSG00000089685/ENSG00000121621/ENSG00000100814/ENSG00000146918/ENSG00000148773/ENSG00000177602/ENSG00000249961/ENSG00000137807/ENSG00000131747/ENSG00000171320/ENSG00000109805/ENSG00000128789/ENSG00000117724/ENSG00000137807/ENSG00000013810/ENSG00000090889/ENSG00000126787/ENSG00000198901/ENSG00000112742/ENSG00000138778/ENSG00000077935/ENSG00000169679/ENSG00000168802/ENSG00000117650/ENSG00000166851/ENSG00000134057/ENSG00000066923/ENSG00000134690/ENSG00000080986/ENSG00000123219"
