"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0050853","GO:0050853","B cell receptor signaling pathway",38,0.780014436704409,2.48422778453874,4.49598841214179e-08,8.29277310915395e-06,6.79538865631885e-06,1106,"tags=33%, list=8%, signal=30%","ENSG00000211899/ENSG00000012124/ENSG00000196092/ENSG00000105369/ENSG00000159216/ENSG00000081189/ENSG00000131378/ENSG00000166501/ENSG00000010671/ENSG00000166501/ENSG00000131378/ENSG00000110651/ENSG00000196950/ENSG00000110651/ENSG00000165025"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation",117,-0.72827285178022,-2.32932747214297,1e-10,4.86272727272727e-08,3.98468899521531e-08,913,"tags=36%, list=7%, signal=34%","ENSG00000138411/ENSG00000164754/ENSG00000143228/ENSG00000112941/ENSG00000124688/ENSG00000100918/ENSG00000136982/ENSG00000146670/ENSG00000164109/ENSG00000129810/ENSG00000178999/ENSG00000161800/ENSG00000112029/ENSG00000161800/ENSG00000198901/ENSG00000128789/ENSG00000149503/ENSG00000040275/ENSG00000167842/ENSG00000010292/ENSG00000121152/ENSG00000128944/ENSG00000077935/ENSG00000013810/ENSG00000121621/ENSG00000137807/ENSG00000237649/ENSG00000109805/ENSG00000178295/ENSG00000136824/ENSG00000168802/ENSG00000198901/ENSG00000177602/ENSG00000117650/ENSG00000137807/ENSG00000112742/ENSG00000175063/ENSG00000138778/ENSG00000169679/ENSG00000123219/ENSG00000146918/ENSG00000118193/ENSG00000117724/ENSG00000126787/ENSG00000090889/ENSG00000166851/ENSG00000134057/ENSG00000080986/ENSG00000134690"
"GO:0000819","GO:0000819","sister chromatid segregation",143,-0.711478425150868,-2.31358911761435,1e-10,4.86272727272727e-08,3.98468899521531e-08,1236,"tags=33%, list=9%, signal=30%","ENSG00000138411/ENSG00000164754/ENSG00000143452/ENSG00000143228/ENSG00000112941/ENSG00000124688/ENSG00000100918/ENSG00000136982/ENSG00000146670/ENSG00000164109/ENSG00000129810/ENSG00000178999/ENSG00000161800/ENSG00000013573/ENSG00000112029/ENSG00000161800/ENSG00000198901/ENSG00000128789/ENSG00000149503/ENSG00000040275/ENSG00000167842/ENSG00000010292/ENSG00000121152/ENSG00000128944/ENSG00000077935/ENSG00000171320/ENSG00000013810/ENSG00000121621/ENSG00000137807/ENSG00000237649/ENSG00000109805/ENSG00000178295/ENSG00000136824/ENSG00000168802/ENSG00000198901/ENSG00000177602/ENSG00000117650/ENSG00000137807/ENSG00000112742/ENSG00000175063/ENSG00000131747/ENSG00000138778/ENSG00000169679/ENSG00000123219/ENSG00000066923/ENSG00000146918/ENSG00000118193/ENSG00000117724/ENSG00000126787/ENSG00000090889/ENSG00000166851/ENSG00000134057/ENSG00000080986/ENSG00000134690"
"GO:0016126","GO:0016126","sterol biosynthetic process",64,-0.773807450874471,-2.30374584349102,1e-10,4.86272727272727e-08,3.98468899521531e-08,1456,"tags=53%, list=11%, signal=47%","ENSG00000278540/ENSG00000099194/ENSG00000172893/ENSG00000111684/ENSG00000170522/ENSG00000198911/ENSG00000170271/ENSG00000118137/ENSG00000132196/ENSG00000100003/ENSG00000143815/ENSG00000015520/ENSG00000099194/ENSG00000132196/ENSG00000109929/ENSG00000084674/ENSG00000167508/ENSG00000130203/ENSG00000001626/ENSG00000166394/ENSG00000148377/ENSG00000084674/ENSG00000169710/ENSG00000147383/ENSG00000099194/ENSG00000167910/ENSG00000160752/ENSG00000079459/ENSG00000116133/ENSG00000147155/ENSG00000149809/ENSG00000110921/ENSG00000001630/ENSG00000112972/ENSG00000052802/ENSG00000133935/ENSG00000113161/ENSG00000160285/ENSG00000104549"
"GO:0006695","GO:0006695","cholesterol biosynthetic process",59,-0.7810289475331,-2.29600927579318,1.4322971572662e-10,5.29303960547558e-08,4.33730198801553e-08,1456,"tags=53%, list=11%, signal=48%","ENSG00000278540/ENSG00000099194/ENSG00000172893/ENSG00000111684/ENSG00000170522/ENSG00000198911/ENSG00000118137/ENSG00000132196/ENSG00000100003/ENSG00000143815/ENSG00000015520/ENSG00000099194/ENSG00000132196/ENSG00000109929/ENSG00000084674/ENSG00000167508/ENSG00000130203/ENSG00000001626/ENSG00000148377/ENSG00000084674/ENSG00000169710/ENSG00000147383/ENSG00000099194/ENSG00000167910/ENSG00000160752/ENSG00000079459/ENSG00000116133/ENSG00000147155/ENSG00000149809/ENSG00000110921/ENSG00000001630/ENSG00000112972/ENSG00000052802/ENSG00000113161/ENSG00000160285/ENSG00000104549"
"GO:1902653","GO:1902653","secondary alcohol biosynthetic process",59,-0.7810289475331,-2.29600927579318,1.4322971572662e-10,5.29303960547558e-08,4.33730198801553e-08,1456,"tags=53%, list=11%, signal=48%","ENSG00000278540/ENSG00000099194/ENSG00000172893/ENSG00000111684/ENSG00000170522/ENSG00000198911/ENSG00000118137/ENSG00000132196/ENSG00000100003/ENSG00000143815/ENSG00000015520/ENSG00000099194/ENSG00000132196/ENSG00000109929/ENSG00000084674/ENSG00000167508/ENSG00000130203/ENSG00000001626/ENSG00000148377/ENSG00000084674/ENSG00000169710/ENSG00000147383/ENSG00000099194/ENSG00000167910/ENSG00000160752/ENSG00000079459/ENSG00000116133/ENSG00000147155/ENSG00000149809/ENSG00000110921/ENSG00000001630/ENSG00000112972/ENSG00000052802/ENSG00000113161/ENSG00000160285/ENSG00000104549"
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",76,0.642966969957182,2.27945624223719,1.52721424963653e-07,1.85660659575131e-05,1.52136845346567e-05,3333,"tags=76%, list=24%, signal=58%","ENSG00000158552/ENSG00000231500/ENSG00000167526/ENSG00000233927/ENSG00000162244/ENSG00000164587/ENSG00000182899/ENSG00000197756/ENSG00000174748/ENSG00000125691/ENSG00000156482/ENSG00000171858/ENSG00000142534/ENSG00000145592/ENSG00000182774/ENSG00000083845/ENSG00000221983/ENSG00000105640/ENSG00000063177/ENSG00000109475/ENSG00000112306/ENSG00000134419/ENSG00000147604/ENSG00000114391/ENSG00000198242/ENSG00000136942/ENSG00000148303/ENSG00000108107/ENSG00000137154/ENSG00000161016/ENSG00000105372/ENSG00000142937/ENSG00000188846/ENSG00000110700/ENSG00000065308/ENSG00000198918/ENSG00000122406/ENSG00000166441/ENSG00000170889/ENSG00000089009/ENSG00000008988/ENSG00000171863/ENSG00000118181/ENSG00000198755/ENSG00000145425/ENSG00000174444/ENSG00000108298/ENSG00000115268/ENSG00000149273/ENSG00000122026/ENSG00000163682/ENSG00000142541/ENSG00000142676/ENSG00000131469/ENSG00000058262/ENSG00000105193/ENSG00000197958/ENSG00000130255/ENSG00000172809/ENSG00000168028"
"GO:0098813","GO:0098813","nuclear chromosome segregation",179,-0.68781254629141,-2.27449548095058,1e-10,4.86272727272727e-08,3.98468899521531e-08,1236,"tags=31%, list=9%, signal=28%","ENSG00000138411/ENSG00000164754/ENSG00000054796/ENSG00000143452/ENSG00000198765/ENSG00000143228/ENSG00000112941/ENSG00000124688/ENSG00000136492/ENSG00000100918/ENSG00000136982/ENSG00000154920/ENSG00000146670/ENSG00000100814/ENSG00000164109/ENSG00000129810/ENSG00000178999/ENSG00000161800/ENSG00000013573/ENSG00000112029/ENSG00000249961/ENSG00000161800/ENSG00000198901/ENSG00000128789/ENSG00000149503/ENSG00000040275/ENSG00000163611/ENSG00000167842/ENSG00000010292/ENSG00000121152/ENSG00000128944/ENSG00000114346/ENSG00000077935/ENSG00000171320/ENSG00000013810/ENSG00000121621/ENSG00000137807/ENSG00000237649/ENSG00000109805/ENSG00000178295/ENSG00000136824/ENSG00000168802/ENSG00000198901/ENSG00000177602/ENSG00000117650/ENSG00000137807/ENSG00000112742/ENSG00000175063/ENSG00000131747/ENSG00000138778/ENSG00000169679/ENSG00000123219/ENSG00000066923/ENSG00000146918/ENSG00000118193/ENSG00000117724/ENSG00000126787/ENSG00000090889/ENSG00000166851/ENSG00000134057/ENSG00000080986/ENSG00000134690"
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane",80,0.625279662735393,2.25255637829224,1.72193642098566e-07,1.95971019486219e-05,1.60585515274004e-05,3768,"tags=77%, list=28%, signal=56%","ENSG00000158552/ENSG00000231500/ENSG00000167526/ENSG00000233927/ENSG00000162244/ENSG00000164587/ENSG00000182899/ENSG00000197756/ENSG00000174748/ENSG00000125691/ENSG00000156482/ENSG00000171858/ENSG00000142534/ENSG00000145592/ENSG00000182774/ENSG00000083845/ENSG00000221983/ENSG00000105640/ENSG00000063177/ENSG00000109475/ENSG00000112306/ENSG00000134419/ENSG00000147604/ENSG00000114391/ENSG00000198242/ENSG00000136942/ENSG00000148303/ENSG00000108107/ENSG00000137154/ENSG00000161016/ENSG00000105372/ENSG00000142937/ENSG00000188846/ENSG00000110700/ENSG00000065308/ENSG00000198918/ENSG00000122406/ENSG00000166441/ENSG00000170889/ENSG00000089009/ENSG00000008988/ENSG00000171863/ENSG00000118181/ENSG00000198755/ENSG00000145425/ENSG00000174444/ENSG00000108298/ENSG00000115268/ENSG00000149273/ENSG00000122026/ENSG00000163682/ENSG00000142541/ENSG00000142676/ENSG00000131469/ENSG00000058262/ENSG00000105193/ENSG00000197958/ENSG00000130255/ENSG00000172809/ENSG00000168028/ENSG00000163479/ENSG00000137818/ENSG00000138326/ENSG00000089157"
"GO:0042743","GO:0042743","hydrogen peroxide metabolic process",30,0.754699720385801,2.24901239838222,8.63334567280582e-06,0.000439430472069591,0.000360084715430878,52,"tags=22%, list=0%, signal=22%","ENSG00000213931/ENSG00000244734/ENSG00000244734/ENSG00000244734/ENSG00000213931/ENSG00000244734/ENSG00000244734/ENSG00000188536/ENSG00000213931"
