"","TermID","Name","Frequency","PlotX","PlotY","LogSize","Value","Uniqueness","Dispensability","Representative","Eliminated","immune_system_processes","inflammatory_response","regulation_of_immune_system_processes","regulation_of_inflammatory_response","immune_response_regulating_signaling_pathway","cytokine_production","cytokine_mediated_signaling_pathway","defence_response_to_other_organism","leukocyte_proliferation"
"GO:0040013","GO:0040013"," negative regulation of locomotion",1.78642093956696," 0.200179295453538"," 2.02362406685629",2.50105926221775,-6.13940147069438,0.910890077699276,0," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0048514","GO:0048514"," blood vessel morphogenesis",2.29521171349426," -6.35561145849762"," 0.313360746436957",2.60959440922522,-5.62596728288034,0.888446538303887,0," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0001570","GO:0001570"," vasculogenesis",0.390072926677596," null"," null",1.84509804001426,-1.70485298863345,0.898862484247845,0.75055515," 48514"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0001944","GO:0001944"," vasculature development",2.86053479563571," null"," null",2.70500795933334,-5.87968956722502,0.904399196065606,0.78162048," 48514"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0001525","GO:0001525"," angiogenesis",1.78076770874555," null"," null",2.4996870826184,-4.76028510483658,0.890435810456916,0.89662331," 48514"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0001568","GO:0001568"," blood vessel development",2.741816948386," null"," null",2.68663626926229,-5.45488559875866,0.900407010059335,0.93679094," 48514"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0098813","GO:0098813"," nuclear chromosome segregation",1.25501724235401," 4.77628350303613"," 5.41761169362164",2.34830486304816,-7.31312008726321,0.887615704698198,0," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007064","GO:0007064"," mitotic sister chromatid cohesion",0.107411385606874," null"," null",1.30102999566398,-1.32890873057697,0.844514364836971,0.72702661," 98813"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0008608","GO:0008608"," attachment of spindle microtubules to kinetochore",0.130024308892532," null"," null",1.38021124171161,-3.51675058998536,0.906209424228535,0.73962749," 98813"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0051304","GO:0051304"," chromosome separation",0.15263723217819," null"," null",1.44715803134222,-3.69772376971615,0.906175486117588,0.75054483," 98813"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0051310","GO:0051310"," metaphase plate congression",0.350500310927695," null"," null",1.79934054945358,-4.69369760584763,0.847055349619005,0.81274099," 98813"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0000070","GO:0000070"," mitotic sister chromatid segregation",0.655774775284075," null"," null",2.06818586174616,-7.31312008726321,0.820008211249576,0.86687595," 98813"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007062","GO:0007062"," sister chromatid cohesion",0.271355079427893," null"," null",1.69019608002851,-3.42113291218448,0.842680891221104,0.87261469," 98813"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0000819","GO:0000819"," sister chromatid segregation",0.814065238283679," null"," null",2.16136800223497,-7.31312008726321,0.828253373932492,0.88727431," 98813"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007080","GO:0007080"," mitotic metaphase plate congression",0.288314771892136," null"," null",1.7160033436348,-2.98473053591323,0.78395267275254,0.94123121," 98813"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0051303","GO:0051303"," establishment of chromosome localization",0.435298773248912," null"," null",1.89209460269048,-4.82654620883536,0.937513105520153,0.97148091," 98813"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0050673","GO:0050673"," epithelial cell proliferation",0.497484312284471," -5.6731884771063"," 5.12525610604299",1.94939000664491,-1.96344240490385,0.988325185797819,0.00494796," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0006260","GO:0006260"," DNA replication",1.08542031771157," 5.87828805171268"," -3.26654621877233",2.28555730900777,-7.31312008726321,0.949415996464914,0.00538164," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0051301","GO:0051301"," cell division",2.79269602577873," -5.41586156909562"," 6.04589965683142",2.69460519893357,-7.31312008726321,0.994383403301066,0.00602087," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0050900","GO:0050900"," leukocyte migration",1.27763016563966," -4.37259250858506"," -4.47600432416475",2.35602585719312,-7.31312008726321,0.889859363027729,0.00603441," null"," False","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0061919","GO:0061919"," process utilizing autophagic mechanism",1.53202555260331," -4.62196443539184"," 6.66468013991462",2.4345689040342,-1.83182094921785,0.994741431877487,0.00617568," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007059","GO:0007059"," chromosome segregation",1.58855786081746," -1.85568742473306"," 7.99194385851324",2.45024910831936,-7.31312008726321,0.994721131983057,0.00620466," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0000280","GO:0000280"," nuclear division",1.73554186217423," 6.19369754393747"," 2.0486117271495",2.48855071650044,-7.31312008726321,0.900505386224528,0.00627661," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007143","GO:0007143"," female meiotic nuclear division",0.163943693821019," null"," null",1.47712125471966,-1.40083772262328,0.829661866310074,0.74597069," 280"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007131","GO:0007131"," reciprocal meiotic recombination",0.316580925999209," null"," null",1.75587485567249,-1.67254411730615,0.802540076579782,0.79601458," 280"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0140013","GO:0140013"," meiotic nuclear division",0.893210469783481," null"," null",2.20139712432045,-3.25942656808718,0.837342484195747,0.89013965," 280"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0070192","GO:0070192"," chromosome organization involved in meiotic cell cycle",0.384419695856182," null"," null",1.83884909073726,-2.49447385868074,0.838440894391374,0.89269801," 280"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0140014","GO:0140014"," mitotic nuclear division",0.944089547176211," null"," null",2.22530928172586,-7.31312008726321,0.839030544704476,0.89579701," 280"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:1903046","GO:1903046"," meiotic cell cycle process",0.972355701283283," null"," null",2.2380461031288,-3.30571790853469,0.889487473642424,0.91380369," 280"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0045132","GO:0045132"," meiotic chromosome segregation",0.503137543105885," null"," null",1.95424250943932,-3.07691698631759,0.83946058599131,0.91669868," 280"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007127","GO:0007127"," meiosis I",0.695347391033976," null"," null",2.09342168516224,-2.8540431436991,0.840652042041523,0.94731783," 280"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0061982","GO:0061982"," meiosis I cell cycle process",0.706653852676805," null"," null",2.10037054511756,-2.9550077639308,0.891324233132353,0.94889786," 280"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0140527","GO:0140527"," reciprocal homologous recombination",0.316580925999209," null"," null",1.75587485567249,-1.67254411730615,0.940502223817973,0.99064395," 280"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0098609","GO:0098609"," cell-cell adhesion",2.90010741138561," 3.49724279171518"," 6.72894327815909",2.71096311899528,-3.53481966795146,0.980827010539747,0.00672931," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0045540","GO:0045540"," regulation of cholesterol biosynthetic process",0.10175815478546," -3.79555223623994"," 6.80521049203715",1.27875360095283,-4.76028510483658,0.96125361618712,0.02735449," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0090181","GO:0090181"," regulation of cholesterol metabolic process",0.175250155463848," null"," null",1.50514997831991,-4.02678145101382,0.960644935261091,0.79044246," 45540"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0106118","GO:0106118"," regulation of sterol biosynthetic process",0.10175815478546," null"," null",1.27875360095283,-4.76028510483658,0.962901005416673,0.8129477," 45540"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0045939","GO:0045939"," negative regulation of steroid metabolic process",0.146984001356775," null"," null",1.43136376415899,-1.50477607510193,0.943973634191857,0.81302838," 45540"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0010894","GO:0010894"," negative regulation of steroid biosynthetic process",0.130024308892532," null"," null",1.38021124171161,-1.48470754801679,0.94323396605481,0.82766982," 45540"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0050878","GO:0050878"," regulation of body fluid levels",2.0747357114591," 1.82393418449945"," 4.65772787076396",2.56584781867352,-4.44967711633923,0.951774183872677,0.02880922," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0043087","GO:0043087"," regulation of GTPase activity",1.9560178642094," -1.16192922458289"," 7.369379160467",2.54032947479087,-1.98813807344996,0.971858224326883,0.02914379," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007346","GO:0007346"," regulation of mitotic cell cycle",2.41392956074397," 2.15622963306541"," 7.04879037919923",2.63144376901317,-4.83649832393935,0.886592753941666,0.03853232," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0045786","GO:0045786"," negative regulation of cell cycle",1.90513878681667," null"," null",2.52891670027765,-1.51718676990672,0.87550458630085,0.70776224," 7346"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0051983","GO:0051983"," regulation of chromosome segregation",0.508790773927299," -4.73685362256848"," 5.84473549968314",1.95904139232109,-3.94042996753366,0.974886266099473,0.03896665," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0051783","GO:0051783"," regulation of nuclear division",0.785799084176607," 0.921003063365068"," 7.44969020307927",2.14612803567824,-3.83340134304832,0.925195498910255,0.04094298," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0019932","GO:0019932"," second-messenger-mediated signaling",1.28328339646108," 2.64150911602534"," -5.9363835133117",2.35793484700045,-3.75618940484082,0.914097552261544,0.04342842," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0050678","GO:0050678"," regulation of epithelial cell proliferation",1.92775171010232," -0.548136889559773"," 7.97875158627754",2.53402610605613,-1.39883678907836,0.967532919429166,0.0457317," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0010942","GO:0010942"," positive regulation of cell death",3.24495449149189," -2.07480411464339"," 1.97152355453272",2.75966784468963,-3.614310707187,0.945347815316647,0.0490615," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0060627","GO:0060627"," regulation of vesicle-mediated transport",2.95098648877834," -2.28143327414007"," -1.59573449188139",2.71850168886727,-1.95054290740125,0.946627190910641,0.05047935," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0050865","GO:0050865"," regulation of cell activation",3.70286618802646," -6.26499294545927"," 5.42546129721595",2.81690383937566,-3.18387251339633,0.968868176543328,0.05218324," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0043408","GO:0043408"," regulation of MAPK cascade",3.66329357227656," 1.50956265421771"," -0.845739929314593",2.81224469680037,-2.89096477967594,0.931042173292185,0.05314158," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0030155","GO:0030155"," regulation of cell adhesion",4.12120526881113," -2.63203981712395"," 7.74807078506016",2.86332286012046,-2.88514898616142,0.968460048323738,0.05410675," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0036296","GO:0036296"," response to increased oxygen levels",0.169596924642433," -4.98768622100847"," 6.34642810560231",1.49136169383427,-1.40075925028591,0.978056031945714,0.08124802," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0042743","GO:0042743"," hydrogen peroxide metabolic process",0.214822771213749," -3.37304347214268"," 7.46527560561435",1.5910646070265,-3.35710983045375,0.975323316648367,0.10459608," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0042744","GO:0042744"," hydrogen peroxide catabolic process",0.146984001356775," null"," null",1.43136376415899,-2.31466862352217,0.970174120461283,0.81589489," 42743"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0010506","GO:0010506"," regulation of autophagy",1.80338063203121," -2.38145788990945"," 6.14033597540069",2.50514997831991,-2.51025530168257,0.958825788178534,0.11375476," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0072593","GO:0072593"," reactive oxygen species metabolic process",0.554016620498615," -4.02027295561782"," 5.06998933110728",1.99563519459755,-2.69287013186966,0.976144646262926,0.11479188," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0009617","GO:0009617"," response to bacterium",4.04206003731132," -5.43255358792768"," -5.48427516906767",2.85491302230786,-2.51710701924768,0.958305297174964,0.1153092," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0032637","GO:0032637"," interleukin-8 production",0.0310927695177794," 3.61375071792837"," -2.67855690506688",0.778151250383644,-1.7338000300057,0.949125476418201,0.12439316," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"GO:0001974","GO:0001974"," blood vessel remodeling",0.197863078749505," -6.62891678311893"," 4.33991514297445",1.55630250076729,-3.0170364009625,0.965722238748281,0.12582739," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0048771","GO:0048771"," tissue remodeling",0.542710158855786," -7.05484210661491"," 3.52516799382785",1.98677173426624,-1.71389260241069,0.962447037134062,0.13994864," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0090130","GO:0090130"," tissue migration",0.542710158855786," -6.6918789249655"," 3.73554846742529",1.98677173426624,-1.81054780435208,0.962447037134062,0.13994864," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0007292","GO:0007292"," female gamete generation",0.757532930069535," -6.05052394436217"," 3.5476790046958",2.13033376849501,-1.30668707467856,0.945838269233625,0.14533972," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0015874","GO:0015874"," norepinephrine transport",0.0395726157499011," -3.74080279956508"," -6.61287487578327",0.903089986991944,-2.06946347557221,0.964640263233296,0.14588702," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0048243","GO:0048243"," norepinephrine secretion",0.00565323082141444," null"," null",0.301029995663981,-1.58953647353499,0.943948793993658,0.8023225," 15874"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0050817","GO:0050817"," coagulation",0.972355701283283," -6.72262930834973"," 3.21861118024224",2.2380461031288,-4.60257343129676,0.960252195935873,0.14965546," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0032757","GO:0032757"," positive regulation of interleukin-8 production",0.350500310927695," -1.71075024720898"," 3.65931854419264",1.79934054945358,-2.18741251830883,0.940414567173014,0.15703869," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
