"","TermID","Name","Frequency","PlotX","PlotY","LogSize","Value","Uniqueness","Dispensability","Representative","Eliminated","immune_system_processes","inflammatory_response","regulation_of_immune_system_processes","regulation_of_inflammatory_response","immune_response_regulating_signaling_pathway","cytokine_production","cytokine_mediated_signaling_pathway","defence_response_to_other_organism","leukocyte_proliferation"
"GO:0007610","GO:0007610"," behavior",3.08666402849228," 3.35108222632959"," -2.0257378511868",2.73798732633343,1.3262426198643,1,0," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0050853","GO:0050853"," B cell receptor signaling pathway",0.734920006783877," -2.6160901560242"," -1.12074169125671",2.11727129565576,2.47457621648607,0.805052976313385,0," null"," False","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"GO:0002224","GO:0002224"," toll-like receptor signaling pathway",0.333540618463452," null"," null",1.77815125038364,2.0593960787628,0.880550975325235,0.71766188," 50853"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0002221","GO:0002221"," pattern recognition receptor signaling pathway",0.480524619820227," null"," null",1.93449845124357,1.96221665938605,0.877854599362621,0.74322259," 50853"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0034162","GO:0034162"," toll-like receptor 9 signaling pathway",0.0452258465713155," null"," null",0.954242509439325,1.93040551092523,0.898323322070546,0.79263368," 50853"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0002429","GO:0002429"," immune response-activating cell surface receptor signaling pathway",1.47549324438917," null"," null",2.41830129131975,1.62750381637369,0.791475436771897,0.91002585," 50853"," True","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"GO:0002768","GO:0002768"," immune response-regulating cell surface receptor signaling pathway",1.61682401492453," null"," null",2.45788189673399,1.64959271729581,0.857330758343209,0.91344409," 50853"," True","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"GO:0002757","GO:0002757"," immune response-activating signal transduction",1.47549324438917," null"," null",2.41830129131975,1.62750381637369,0.796893522165886,0.92223323," 50853"," True","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"GO:0006613","GO:0006613"," cotranslational protein targeting to membrane",0.118717847249703," -4.08570512749059"," 6.21373118550361",1.34242268082221,2.29401227599501,0.920689192680203,0.00411209," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0032438","GO:0032438"," melanosome organization",0.15263723217819," 6.82127090390215"," 2.90480441630667",1.44715803134222,2.0811813673102,0.911168739200127,0.00420276," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0048753","GO:0048753"," pigment granule organization",0.158290462999604," null"," null",1.46239799789896,2.09192712444416,0.910917029033457,0.90185561," 32438"," True","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"GO:0042743","GO:0042743"," hydrogen peroxide metabolic process",0.214822771213749," 1.05366599805087"," -2.53048713410594",1.5910646070265,2.26259155133165,0.968448122812878,0.00433266," null"," False","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
