GENE,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,FDR_p_values
ENSG00000139970,0.948061979296568,0.938618702805035,0.125495904243101,100.395448565613,8.61330197302226E-08,2,10.8797451232367,-13.7594902464734,-11.2032609280123,0.173241441799728,11,14,0.000951985200568
ENSG00000109424,0.92984013895196,0.917083800579589,0.275527693264143,72.8924015504257,4.50285499142277E-07,2,-0.130065171184189,8.26013034236838,10.8163596608294,0.835070607310054,11,14,0.002126514539647
ENSG00000241370,0.920638327658178,0.906208932686937,0.236970126868569,63.8029750722829,8.86868969701984E-07,2,1.98049163148798,4.03901673702404,6.59524605548507,0.617703251309162,11,14,0.002126514539647
ENSG00000239249,0.9176895089032,0.902723965067418,0.555910039048429,61.3201577552464,1.08393580115959E-06,2,-9.95692189381383,27.9138437876277,30.4700731060887,3.39939568666308,11,14,0.002126514539647
ENSG00000078579,0.915520894409589,0.900161057029514,0.114614461946758,59.6048559470578,1.25060796269685E-06,2,12.1495329601702,-16.2990659203404,-13.7428366018794,0.144501223760793,11,14,0.002126514539647
ENSG00000122180,0.915520894409589,0.900161057029514,0.114614461946758,59.6048559470578,1.25060796269685E-06,2,12.1495329601702,-16.2990659203404,-13.7428366018794,0.144501223760793,11,14,0.002126514539647
ENSG00000199574,0.910339841026451,0.894037993940351,0.11080927650612,55.8427420045348,1.73499119497692E-06,2,12.6222219255702,-17.2444438511404,-14.6882145326794,0.135065653357908,11,14,0.002357348215655
ENSG00000024048,0.909595517439154,0.893158338791727,0.060840130591572,55.3376912759636,1.81570298024118E-06,2,21.0160742445021,-34.0321484890043,-31.4759191705432,0.040716736394395,11,14,0.002357348215655
ENSG00000188554,0.909361420044893,0.892881678234873,0.080541717694553,55.1805623248304,1.84171323994437E-06,2,17.0887148847362,-26.1774297694724,-23.6212004510114,0.071356651181079,11,14,0.002357348215655
ENSG00000178974,0.900614123951491,0.882543964669944,0.073879261219497,49.8398553061557,3.05693135247095E-06,2,18.2975186609735,-28.5950373219469,-26.0388080034859,0.060039597621726,11,14,0.00296601678447
ENSG00000004660,0.897846753822544,0.879273436335734,0.145339744628696,48.3406776662355,3.55538753897459E-06,2,8.82453188484508,-9.64906376969017,-7.09283445122913,0.23236005505608,11,14,0.00296601678447
ENSG00000108799,0.89755526585327,0.878928950553864,0.212266371670921,48.1874837521898,3.61154490088337E-06,2,3.52178145292505,0.956437094149892,3.51266641261093,0.495627137965713,11,14,0.00296601678447
ENSG00000124134,0.895169343953657,0.876109224672504,0.296132101741598,46.9655688272005,4.09907316594712E-06,2,-1.13971018347341,10.2794203669468,12.8356496854078,0.96463643850086,11,14,0.003152901964904
ENSG00000167280,0.894970332969212,0.875874029872705,0.122902702173498,46.866156682071,4.14205572804248E-06,2,11.1720667952596,-14.3441335905193,-11.7879042720583,0.166155816217024,11,14,0.003152901964904
ENSG00000136231,0.894347392796313,0.875137827850188,0.303817956625877,46.5573996758696,4.27898932129063E-06,2,-1.49843289348649,10.996865786973,13.553095105434,1.01535885845156,11,14,0.003152901964904
ENSG00000048052,0.890415848076841,0.870491456818084,0.168543492217974,44.6897391500243,5.23133618451483E-06,2,6.75085521104313,-5.50171042208626,-2.94548110362523,0.312475996459331,11,14,0.00350420261693
ENSG00000095464,0.889528223939844,0.869442446474362,0.229722907915263,44.2864721302667,5.46867795943852E-06,2,2.41533515649606,3.16932968700788,5.72555900546891,0.580498758631489,11,14,0.003555444890982
ENSG00000176454,0.885465419836937,0.86464095071638,0.105029625454188,42.5204318396213,6.67039350955058E-06,2,13.3721744329834,-18.7443488659668,-16.1881195475057,0.121343444453518,11,14,0.003965934614013
ENSG00000142675,0.885009604268945,0.864102259590572,0.126782195169269,42.330081504056,6.81771161875183E-06,2,10.7369802216358,-13.4739604432715,-10.9177311248105,0.176810975131324,11,14,0.003965934614013
ENSG00000166257,0.881804898976859,0.860314880609015,0.166386214021999,41.0332315162805,7.93043699279993E-06,2,6.93120536718973,-5.86241073437946,-3.30618141591842,0.304528094382318,11,14,0.004342422621794
ENSG00000138185,0.880728351288925,0.859042596977821,0.142018865585921,40.6132218715553,8.33594277109529E-06,2,9.14813016838527,-10.2962603367705,-7.74003101830951,0.22186294000543,11,14,0.004387286070359
ENSG00000010803,0.879859813871523,0.858016143666345,0.146771041837712,40.2798524976342,8.6753229805262E-06,2,8.68733516210312,-9.37467032420624,-6.81844100574521,0.236959125943401,11,14,0.004459721267082
ENSG00000185176,0.879092932857741,0.857109829740967,0.62441270332972,39.9894832038951,8.98430063738915E-06,2,-11.5837926274984,31.1675852549969,33.7238145734579,4.28880346487482,11,14,0.004482589991464
ENSG00000213906,0.878749928850355,0.856704461368602,0.357336901016035,39.8607981244976,9.12538111811281E-06,2,-3.76993768078974,15.5398753615795,18.0961046800405,1.40458626910518,11,14,0.004482589991464
ENSG00000119535,0.874661132304231,0.851872247268637,0.234499577896627,38.3810410618197,1.09514523643342E-05,2,2.12721580841811,3.74556838316378,6.30179770162481,0.604890572370657,11,14,0.004850346688408
ENSG00000099194,0.874403869446215,0.851568209345527,0.32425176116226,38.2911580217409,1.10756552152555E-05,2,-2.40971472687278,12.8194294537456,15.3756587722066,1.1565312507851,11,14,0.004850346688408
