,ID,group,full_ID,rnaseq_ID,sra,age,Q
15,1305,YMT16,YM.16wk.8,D16,SRR5344335,old,2.66819064288065
13,1009,YMT16,YM.16wk.3,D15,SRR5344336,old,3.2193381382401
14,1026,YMT16,YM.16wk.4,D14,SRR5344337,old,2.19221520943941
16,999,YMT16,YM.16wk.1,D13,SRR5344338,old,57.2140008993253
5,1301,SMT16,SM.16wk.6,C12,SRR5344340,old,9.32025730184383
4,1298,SMT16,SM.16wk.5,C11,SRR5344341,old,2.6412707091999
3,1015,SMT16,SM.16wk.2,C10,SRR5344342,old,6.92170011168437
8,940,WT16,WT.16wk.7,B8,SRR5344343,old,4.03259696971968
7,938,WT16,WT.16wk.6,B7,SRR5344344,old,6.26595711821514
6,402,WT16,WT.16wk.2,B6,SRR5344345,old,4.27977062535888
12,1414,YI6,YI.6wk.4,A18,SRR5344347,young,35.8003377137399
9,1403,YI6,YI.6wk.1,A17,SRR5344348,young,146.5217465951
11,1412,YI6,YI.6wk.3,A3,SRR5344349,young,150.412101200091
10,1409,YI6,YI.6wk.2,A2,SRR5344350,young,14.1736940037593
