sample_name	unit_name	fq1	fq2	sra	adapters	strandedness
SRR5344335	lane1	SRR5344335_1.fastq.gz	SRR5344335_2.fastq.gz			
SRR5344336	lane1	SRR5344336_1.fastq.gz	SRR5344336_2.fastq.gz			
SRR5344337	lane1	SRR5344337_1.fastq.gz	SRR5344337_2.fastq.gz			
SRR5344338	lane1	SRR5344338_1.fastq.gz	SRR5344338_2.fastq.gz			
SRR5344340	lane1	SRR5344340_1.fastq.gz	SRR5344340_2.fastq.gz			
SRR5344341	lane1	SRR5344341_1.fastq.gz	SRR5344341_2.fastq.gz			
SRR5344342	lane1	SRR5344342_1.fastq.gz	SRR5344342_2.fastq.gz			
SRR5344343	lane1	SRR5344343_1.fastq.gz	SRR5344343_2.fastq.gz			
SRR5344344	lane1	SRR5344344_1.fastq.gz	SRR5344344_2.fastq.gz			
SRR5344345	lane1	SRR5344345_1.fastq.gz	SRR5344345_2.fastq.gz			
SRR5344347	lane1	SRR5344347_1.fastq.gz	SRR5344347_2.fastq.gz			
SRR5344348	lane1	SRR5344348_1.fastq.gz	SRR5344348_2.fastq.gz			
SRR5344349	lane1	SRR5344349_1.fastq.gz	SRR5344349_2.fastq.gz			
SRR5344350	lane1	SRR5344350_1.fastq.gz	SRR5344350_2.fastq.gz			
