,ID,group,full_ID,rnaseq_ID,sra,age,Q
15,1305,YMT16,YM.16wk.8,D16,SRR5344335,old,89.667
13,1009,YMT16,YM.16wk.3,D15,SRR5344336,old,92.9415
14,1026,YMT16,YM.16wk.4,D14,SRR5344337,old,82.0525
16,999,YMT16,YM.16wk.1,D13,SRR5344338,old,554.527
5,1301,SMT16,SM.16wk.6,C12,SRR5344340,old,139.062
4,1298,SMT16,SM.16wk.5,C11,SRR5344341,old,137.5925
3,1015,SMT16,SM.16wk.2,C10,SRR5344342,old,159.7085
8,940,WT16,WT.16wk.7,B8,SRR5344343,old,76.2395
7,938,WT16,WT.16wk.6,B7,SRR5344344,old,183.4635
6,402,WT16,WT.16wk.2,B6,SRR5344345,old,60.759
12,1414,YI6,YI.6wk.4,A18,SRR5344347,young,334.1155
9,1403,YI6,YI.6wk.1,A17,SRR5344348,young,411.7195
11,1412,YI6,YI.6wk.3,A3,SRR5344349,young,642.306
10,1409,YI6,YI.6wk.2,A2,SRR5344350,young,391.336
