Unnamed: 0,n,r,CI95%,p-val,HGNC.symbol
ENSG00000026036,7,-0.37384818585898333,[-0.91  0.63],0.4653526934072585,RTEL1-TNFRSF6B
ENSG00000067182,7,0.9363894133778841,[0.52 0.99],0.005940766123227383,TNFRSF1A
ENSG00000079691,7,0.7044887797099222,[-0.25  0.96],0.1180872853448907,CARMIL1
ENSG00000081985,7,0.8605995225118664,[0.16 0.98],0.02779429027574981,IL12RB2
ENSG00000095752,7,-0.08579093598956894,[-0.84  0.78],0.8716293102932471,IL11
ENSG00000102524,7,0.6421570809042448,[-0.35  0.96],0.1691661610477537,TNFSF13B
ENSG00000109320,7,0.8470079108444992,[0.11 0.98],0.033319358279323176,NFKB1
ENSG00000112116,7,-0.14900757803277007,[-0.86  0.75],0.7781428598235383,IL17F
ENSG00000113302,7,-0.19638433976378522,[-0.87  0.73],0.7092104490060712,IL12B
ENSG00000115590,7,0.5785170895206974,[-0.44  0.95],0.22903400061105633,IL1R2
ENSG00000115604,7,0.2986098391268768,[-0.68  0.89],0.5653984378948014,IL18R1
ENSG00000115607,7,0.15812299182284284,[-0.75  0.86],0.7647922774035605,IL18RAP
ENSG00000118503,7,0.9152108097681786,[0.4  0.99],0.010479026659602217,TNFAIP3
ENSG00000120659,7,0.7115894659094646,[-0.24  0.97],0.11277586840905897,TNFSF11
ENSG00000120725,7,-0.8215096727348725,[-0.98 -0.03],0.04494495184591278,SIL1
ENSG00000121858,7,0.8272964364677857,[0.05 0.98],0.04216420806522615,TNFSF10
ENSG00000123496,7,0.10238906296166764,[-0.77  0.84],0.8469531044631328,IL13RA2
ENSG00000123610,7,-0.4123256536011883,[-0.92  0.6 ],0.4165617657718711,TNFAIP6
ENSG00000125538,7,0.8151090812493347,[0.01 0.98],0.048116761912089856,IL1B
ENSG00000125735,7,0.6418509476448024,[-0.35  0.96],0.16943609290333936,TNFSF14
ENSG00000127863,7,-0.2135251411917607,[-0.87  0.72],0.6845799125904225,TNFRSF19
ENSG00000131013,7,-0.012727495953968826,[-0.82  0.81],0.9809097869271931,PPIL4
ENSG00000133466,7,0.06089007572336689,[-0.79  0.83],0.9087777644775616,C1QTNF6
ENSG00000136634,7,0.8315312268319656,[0.06 0.98],0.04018187389019867,IL10
ENSG00000137168,7,-0.5336920325355662,[-0.94  0.49],0.27546695099662544,PPIL1
ENSG00000140398,7,-0.23032743690334456,[-0.88  0.71],0.660618363769966,NEIL1
ENSG00000141655,7,0.4933912705761794,[-0.53  0.93],0.31996743276111084,TNFRSF11A
ENSG00000144730,7,0.49695568991173716,[-0.53  0.93],0.31593178561016594,IL17RD
ENSG00000144802,7,0.928974226908305,[0.48 0.99],0.007387840210925141,NFKBIZ
ENSG00000145861,7,0.13097539879851014,[-0.76  0.85],0.8046603141493246,C1QTNF2
ENSG00000146072,7,-0.7891240495395067,[-0.98  0.06],0.06201431356880846,TNFRSF21
ENSG00000146232,7,0.4885142228170596,[-0.54  0.93],0.32551968401939335,NFKBIE
ENSG00000163145,7,0.048418357240491997,[-0.79  0.83],0.9274292186201363,C1QTNF7
ENSG00000163154,7,-0.34090912774276394,[-0.9   0.65],0.5084463730339113,TNFAIP8L2
ENSG00000163701,7,0.4044633792474488,[-0.61  0.92],0.4263881396599708,IL17RE
ENSG00000163702,7,0.20116202607062958,[-0.73  0.87],0.7023270883342146,IL17RC
ENSG00000164761,7,0.3696491327020832,[-0.63  0.91],0.4707808186505134,TNFRSF11B
ENSG00000167604,7,0.5543612548687227,[-0.47  0.94],0.25364027051914373,NFKBID
ENSG00000167994,7,0.6456691555432603,[-0.35  0.96],0.1660823407038944,RAB3IL1
ENSG00000168811,7,-0.76302290137976,[-0.97  0.13],0.0775831207406558,IL12A
ENSG00000169306,7,-0.43926174616502495,[-0.92  0.58],0.3834853513499631,IL1RAPL1
ENSG00000172247,7,0.14807432718482882,[-0.75  0.86],0.7795118485433926,C1QTNF4
ENSG00000172458,7,-0.09888160591759101,[-0.84  0.77],0.8521610021337293,IL17D
ENSG00000177663,7,0.7230869319641829,[-0.21  0.97],0.1044043065378591,IL17RA
ENSG00000184163,7,0.41991006495094446,[-0.59  0.92],0.40715511085487677,C1QTNF12
ENSG00000185215,7,0.25435676754504477,[-0.7   0.88],0.6266929550223962,TNFAIP2
ENSG00000185250,7,0.0047939023072970655,[-0.81  0.81],0.9928092016245856,PPIL6
ENSG00000185361,7,0.4700628554254248,[-0.55  0.93],0.3468380467925187,TNFAIP8L1
ENSG00000188263,7,0.5847397797560482,[-0.43  0.95],0.22285762146717764,IL17REL
ENSG00000196083,7,0.5414720291623996,[-0.48  0.94],0.2671695785714645,IL1RAP
ENSG00000204498,7,-0.24589536747938395,[-0.88  0.71],0.6385909229077236,NFKBIL1
ENSG00000214960,7,0.38167638495578343,[-0.62  0.91],0.45528613175520827,CRPPA
ENSG00000223953,7,0.45573530152342523,[-0.56  0.93],0.3637239431166054,C1QTNF5
ENSG00000240654,7,-0.4374459753163372,[-0.92  0.58],0.3856856451351292,C1QTNF9
